BE0000048	凝血酶原
BE0000107	癌胚抗原相关细胞粘附分子1
BE0000102	丙氨酸——乙醛酸转氨酶2，线粒体
BE0000378	谷氨酸脱羧酶1
BE0000323	胱硫醚β合酶
BE0000392	犬尿氨酸酶
BE0000331	丝氨酸羟甲基转移酶，胞浆
BE0000151	线粒体半胱氨酸脱硫酶
BE0000529	天冬氨酸氨基转移酶，细胞质
BE0000424	鸟氨酸转氨酶，线粒体
BE0000404	鸟氨酸脱羧酶
BE0000727	犬尿氨酸\/α-己二酸氨基转移酶，线粒体
BE0000253	4-氨基丁酸转氨酶，线粒体
BE0000181	吡哆醇-5'-磷酸氧化酶
BE0000778	鞘氨醇-1-磷酸裂解酶1
BE0000692	酪氨酸转氨酶
BE0000273	犬尿氨酸-酮戊二酸转氨酶1
BE0000007	肝型糖原磷酸化酶
BE0000660	丝氨酸棕榈酰转移酶2
BE0000079	半胱氨酸亚磺酸脱羧酶
BE0000002	组氨酸脱羧酶
BE0000448	精氨酸脱羧酶
BE0000164	L-丝氨酸脱水酶\/L-苏氨酸脱氨酶
BE0000518	2-氨基-3-酮丁酸辅酶A连接酶，线粒体
BE0000618	甘氨酸脱氢酶[脱羧]，线粒体
BE0000667	丙氨酸转氨酶1
BE0000603	磷酸丝氨酸转氨酶
BE0000409	5-氨基乙酰丙酸合酶，非特异性，线粒体
BE0000316	丝氨酸丙酮酸转氨酶
BE0000278	磷酸吡哆醛磷酸酶
BE0000441	丝氨酸棕榈酰转移酶1
BE0000791	胱硫醚γ裂解酶
BE0000517	支链氨基酸氨基转移酶，胞浆
BE0000721	支链氨基酸转氨酶，线粒体
BE0002149	脯氨酸合酶共转录细菌同源蛋白
BE0000383	天冬氨酸转氨酶，线粒体
BE0002150	糖原磷酸化酶，脑型
BE0000916	肌型糖原磷酸化酶
BE0002151	芳香-L-氨基酸脱羧酶
BE0002152	天冬氨酸转氨酶
BE0002154	丝氨酸羟甲基转移酶
BE0002155	硒代半胱氨酸裂解酶变体
BE0002156	磷酸化酶
BE0002158	5-氨基乙酰丙酸合酶
BE0002159	谷氨酸脱羧酶2（胰岛和大脑，65kDa）
BE0002160	DDC蛋白
BE0002162	犬尿氨酸-酮戊二酸转氨酶3
BE0002163	谷氨酸脱羧酶样蛋白1
BE0004605	硒代半胱氨酸裂解酶
BE0004612	免疫球蛋白超家族成员10
BE0002164	5-磷酸羟基-L-赖氨酸磷酸裂解酶
BE0002165	谷氨酸脱羧酶1（脑，67kDa）
BE0000292	丝氨酸羟甲基转移酶，线粒体
BE0000898	5-氨基乙酰丙酸合酶，红系特异性，线粒体
BE0002166	丙氨酸转氨酶2
BE0002167	钼辅因子硫化酶
BE0002168	丝氨酸脱水酶样
BE0002170	肝脏过氧体丙氨酸：乙醛酸转氨酶
BE0000388	丝氨酸消旋酶
BE0002171	O-磷酸丝氨酸-tRNA（Sec）硒转移酶
BE0002172	丝氨酸棕榈酰转移酶3
BE0002173	谷氨酸脱羧酶
BE0002174	丙氨酸乙醛酸转氨酶同系物
BE0000734	蛋氨酸合酶
BE0000777	甲基丙二酰辅酶A变位酶，线粒体
BE0000763	蛋氨酸合酶还原酶
BE0000320	甲基丙二酸尿A型蛋白，线粒体
BE0002175	甲基丙二酸尿与高胱氨酸尿C型蛋白
BE0002176	亚甲基四氢叶酸还原酶
BE0000617	C-1-四氢叶酸合酶，细胞质
BE0000268	双功能亚甲基四氢叶酸脱氢酶\/环水解酶，线粒体
BE0000010	线粒体氨基甲基转移酶
BE0000933	胞浆10-甲酰四氢叶酸脱氢酶
BE0000822	甲酰转移酶环脱氨酶
BE0001240	双功能嘌呤生物合成蛋白PURH
BE0002177	甲硫酰-tRNA甲酰转移酶，线粒体
BE0000740	组氨酸——tRNA连接酶，细胞质
BE0000285	钠偶联中性氨基酸转运体3
BE0000086	组氨酸解氨酶
BE0000372	甘氨酸N-甲基转移酶
BE0000101	S-腺苷甲硫氨酸脱羧酶原酶
BE0000304	S-腺苷蛋氨酸合酶亚型-2
BE0000407	S-腺苷甲硫氨酸合酶亚型-1
BE0002089	邻苯二酚O-甲基转移酶
BE0008997	Cap特异性mRNA（核苷-2'-O-）-甲基转移酶1
BE0005015	亚砷酸甲基转移酶
BE0000449	单羧酸转运蛋白4
BE0000178	单羧酸转运蛋白8
BE0000386	单羧酸转运蛋白6
BE0000046	丙酮酸激酶PKLR
BE0000174	单羧酸转运蛋白7
BE0000440	单羧酸转运蛋白2
BE0000098	丙酮酸脱氢酶E1组分β亚单位，线粒体
BE0000088	丙酮酸激酶
BE0000195	单羧酸转运蛋白5
BE0000361	单羧酸转运蛋白3
BE0000669	单羧酸转运蛋白1
BE0000698	丙酮酸羧化酶，线粒体
BE0000789	大中性氨基酸转运体小亚基2
BE0000038	苯丙氨酸——tRNA连接酶α亚单位
BE0000753	苯丙氨酸-4-羟化酶
BE0000028	苯丙氨酸——tRNA连接酶，线粒体
BE0000561	苯丙氨酸——tRNA连接酶β亚单位
BE0000614	酪氨酸3-单加氧酶
BE0000544	丙酰辅酶A羧化酶β链，线粒体
BE0000159	生物素——蛋白质连接酶
BE0000072	甲基巴豆酰辅酶A羧化酶β链，线粒体
BE0000702	乙酰辅酶A羧化酶2
BE0000445	甲基巴豆酰辅酶A羧化酶亚单位α，线粒体
BE0000492	丙酰辅酶A羧化酶α链，线粒体
BE0000626	乙酰辅酶A羧化酶1
BE0000494	磷酸胆碱胞苷基转移酶B
BE0000426	乙酰胆碱酯酶
BE0000615	磷酸胆碱胞苷基转移酶A
BE0002179	磷脂酶D2
BE0002180	胆碱酯酶
BE0002181	磷脂酶D1
BE0002186	磷酸乙醇胺\/磷酸胆碱磷酸酶
BE0002341	神经元乙酰胆碱受体亚单位α-7
BE0000212	高亲和力阳离子氨基酸转运体1
BE0000052	阳离子氨基酸转运体4
BE0000136	阳离子氨基酸转运体3
BE0000562	低亲和力阳离子氨基酸转运体2
BE0000198	赖氨酸-tRNA连接酶
BE0000263	一氧化氮合酶，内皮细胞
BE0000520	精氨琥珀酸裂解酶
BE0000005	诱导型一氧化氮合酶
BE0000758	精氨酸酶-2，线粒体
BE0000671	精氨琥珀酸合酶
BE0001361	透明质酸裂解酶
BE0001225	木糖异构酶
BE0002192	前胶原赖氨酸，2-酮戊二酸5-双加氧酶2
BE0002195	前胶原赖氨酸，2-酮戊二酸5-双加氧酶3
BE0002197	γ-丁烷双加氧酶
BE0000138	多巴胺β羟化酶
BE0002200	肽基甘氨酸α酰胺化单加氧酶
BE0002202	脯氨酰3-羟化酶1
BE0002206	脯氨酰3-羟化酶2
BE0002208	脯氨酰3-羟化酶3
BE0000060	脯氨酰4-羟化酶亚单位α-1
BE0002210	含2-氧戊二酸和铁依赖性加氧酶结构域的蛋白质1
BE0002203	含2-氧戊二酸和铁依赖性加氧酶结构域的蛋白质2
BE0002205	α-酮戊二酸依赖性双加氧酶alkB同系物2
BE0002213	α-酮戊二酸依赖性双加氧酶alkB同系物3
BE0002215	赖氨酸特异性去甲基酶5D
BE0000087	前胶原赖氨酸，2-酮戊二酸5-双加氧酶1
BE0002221	线粒体三甲基赖氨酸双加氧酶
BE0002223	跨膜脯氨酰4-羟化酶
BE0002217	Egl九同系物1
BE0002211	Egl九同系物2
BE0002219	Egl九同系物3
BE0000964	精胺合酶
BE0000566	精胺氧化酶
BE0000509	细胞外钙敏感受体
BE0000172	β-1肾上腺素能受体
BE0000694	β-2肾上腺素能受体
BE0003317	胰腺核糖核酸酶
BE0003751	溶菌酶C
BE0000277	钙结合线粒体载体蛋白Aralar2
BE0000187	天冬氨酰化酶
BE0000219	天冬酰胺合成酶[谷氨酰胺水解]
BE0000481	氨基酰化酶-1
BE0000725	天冬氨酸——tRNA连接酶，细胞质
BE0000235	钙结合线粒体载体蛋白Aralar1
BE0000528	天冬氨酰\/天冬酰胺基β羟化酶
BE0002225	多功能蛋白ADE2
BE0002228	腺苷酸琥珀酸合成酶同工酶2
BE0001054	兴奋性氨基酸转运体3
BE0000788	精氨琥珀酸合成酶，CRA_a亚型
BE0002229	天冬氨酸——tRNA连接酶，线粒体
BE0002230	异天冬氨酰肽酶\/L-天冬酰胺酶
BE0009692	腺苷酸琥珀酸合成酶
BE0000306	鸟氨酸氨甲酰转移酶，线粒体
BE0000286	精氨酸酶-1
BE0000371	鸟氨酸脱羧酶抗酶1
BE0000258	线粒体鸟氨酸转运体2
BE0000201	线粒体鸟氨酸转运体1
BE0000347	甘氨酸氨基转移酶，线粒体
BE0000874	CTP合成酶1
BE0000374	酰胺磷酸核糖转移酶
BE0002240	谷氨酰胺合成酶
BE0000958	环腺苷酸反应元件结合蛋白1
BE0000487	cAMP特异性3'，5'-环磷酸二酯酶4B
BE0000254	5'-AMP活化蛋白激酶亚单位β-1
BE0001473	组氨酸三联体核苷酸结合蛋白1
BE0001287	cAMP特异性3'，5'-环磷酸二酯酶4D
BE0000350	乙酰辅酶A合成酶，细胞质
BE0000677	5'-AMP活化蛋白激酶催化亚单位α-1
BE0000269	腺苷酸环化酶1型
BE0000639	长链脂肪酸——辅酶A连接酶1
BE0002431	果糖-1,6-二磷酸酯酶1
BE0003540	腺苷激酶
BE0004907	5'-AMP活化蛋白激酶
BE0000888	脂肪酸去饱和酶1
BE0002246	脂肪酸去饱和酶2
BE0000986	钠\/钙交换器1
BE0001023	瞬时受体电位阳离子通道亚家族V成员1
BE0000071	过氧化物酶体增殖物激活受体α
BE0001777	胆汁酸受体
BE0001007	过氧化物酶体增殖物激活受体δ
BE0000215	过氧化物酶体增殖物激活受体γ
BE0000412	维甲酸受体RXRα
BE0009936	超长链脂肪酸蛋白质2的伸长
BE0009375	超长链脂肪酸蛋白质5的伸长
BE0000063	丝氨酸-tRNA连接酶，细胞质
BE0001534	蛋氨酸氨基肽酶2
BE0000845	甜菜碱——同型半胱氨酸S-甲基转移酶1
BE0002249	S-甲基甲硫氨酸——同型半胱氨酸S-甲基转移酶BHMT2
BE0000363	酪氨酸——tRNA连接酶，线粒体
BE0000230	酪氨酸——tRNA连接酶，细胞质
BE0000779	维生素D3受体
BE0008987	同源框蛋白Hox-A10
BE0000030	胱氨酸\/谷氨酸转运体
BE0000035	胱氨酸
BE0002258	琥珀酸受体1
BE0000152	琥珀酸半醛脱氢酶，线粒体
BE0000370	核黄素激酶
BE0003327	核黄素合酶
BE0000595	黄素还原酶（NADPH）
BE0000259	β-1,4-半乳糖基转移酶1
BE0002263	β-1,4-半乳糖基转移酶4
BE0002265	N-乙酰-D-葡萄糖胺激酶
BE0002266	N-乙酰氨基葡萄糖-1-磷酸二酯α-N-乙酰氨基葡萄糖酶
BE0000391	α-N-乙酰氨基葡萄糖苷酶
BE0000109	N-酰基葡萄糖胺2-差向异构酶
BE0000824	代谢型谷氨酸受体1
BE0000833	代谢型谷氨酸受体4
BE0000827	谷氨酸受体亲离子性红藻氨酸4
BE0000828	谷氨酸受体促离子型红藻氨酸5
BE0000834	代谢型谷氨酸受体7
BE0000835	代谢型谷氨酸受体8
BE0002267	兴奋性氨基酸转运体5
BE0002268	5-氧丙烷酶
BE0002235	磷酸核糖甲酰甘氨酸脒合酶
BE0000396	谷氨酸受体离子型
BE0000825	谷氨酰胺酶肾亚型，线粒体
BE0000188	双功能谷氨酸\/脯氨酸-tRNA连接酶
BE0001115	兴奋性氨基酸转运体1
BE0000884	兴奋性氨基酸转运体2
BE0000166	谷氨酸——半胱氨酸连接酶催化亚单位
BE0002270	兴奋性氨基酸转运体4
BE0000755	谷氨酸脱氢酶2，线粒体
BE0000321	GMP合酶[谷氨酰胺水解]
BE0000365	谷氨酸受体离子型
BE0000700	叶酸聚谷氨酸合酶，线粒体
BE0002271	谷氨酰氨基肽酶
BE0000760	谷氨酸受体离子型
BE0000417	谷氨酸受体离子型
BE0000454	谷氨酸受体离子型
BE0002272	可能是谷氨酸-tRNA连接酶，线粒体
BE0002244	谷氨酰胺依赖性NAD（+）合成酶
BE0002274	N-乙酰谷氨酸合酶，线粒体
BE0000641	谷氨酸受体离子型
BE0000073	α-氨基己二酸半醛合酶，线粒体
BE0000003	谷氨酰胺酶肝亚型，线粒体
BE0002277	天冬氨酰氨基肽酶
BE0004640	羧肽酶Q
BE0000180	谷氨酸脱氢酶1，线粒体
BE0000346	促离子型谷氨酸受体红藻氨酸1
BE0000640	谷氨酸受体1
BE0000606	谷氨酸——半胱氨酸连接酶调节亚单位
BE0000602	谷氨酸脱羧酶2
BE0000829	谷氨酸受体2
BE0000831	谷氨酸受体3
BE0000830	谷氨酸受体4
BE0000823	δ-1-吡咯啉-5-羧酸合酶
BE0000826	促离子型谷氨酸受体红藻氨酸2
BE0000832	谷氨酸受体促离子型红藻氨酸3
BE0002279	微粒体谷胱甘肽S-转移酶3
BE0001167	造血前列腺素D合酶
BE0002281	谷胱甘肽S-转移酶A1
BE0002189	谷胱甘肽S-转移酶A2
BE0002282	微粒体谷胱甘肽S-转移酶1
BE0002283	S-甲酰谷胱甘肽水解酶
BE0000889	γ-谷氨酰转肽酶1
BE0001189	谷胱甘肽S-转移酶Mu 2
BE0002284	谷胱甘肽氧还蛋白-1
BE0001135	磷脂过氧化氢谷胱甘肽过氧化物酶，线粒体
BE0002285	谷胱甘肽S-转移酶Mu 5
BE0002286	谷胱甘肽过氧化物酶6
BE0001825	羟酰谷氨酸水解酶，线粒体
BE0002287	谷胱甘肽过氧化物酶
BE0002289	谷胱甘肽过氧化物酶7
BE0002290	微粒体谷胱甘肽S-转移酶2
BE0002291	谷胱甘肽S-转移酶ω-2
BE0002292	谷胱甘肽氧还蛋白-2，线粒体
BE0000962	乳糖基谷胱甘肽裂解酶
BE0001117	白三烯C4合酶
BE0000648	谷胱甘肽还原酶，线粒体
BE0000185	谷胱甘肽合成酶
BE0000807	谷胱甘肽S-转移酶Mu 1
BE0000808	谷胱甘肽S-转移酶κ1
BE0000809	谷胱甘肽S-转移酶A3
BE0000810	谷胱甘肽S-转移酶Mu 3
BE0000811	谷胱甘肽S-转移酶A4
BE0000812	谷胱甘肽S-转移酶Mu 4
BE0000813	谷胱甘肽S-转移酶A5
BE0000814	谷胱甘肽S-转移酶P
BE0000815	谷胱甘肽S-转移酶ω-1
BE0000816	谷胱甘肽过氧化物酶1
BE0000817	谷胱甘肽过氧化物酶2
BE0000818	谷胱甘肽S-转移酶θ-1
BE0000819	马来酰乙酸异构酶
BE0000820	附睾分泌型谷胱甘肽过氧化物酶
BE0000821	谷胱甘肽过氧化物酶3
BE0000747	醛糖还原酶
BE0000058	基质金属蛋白酶-9
BE0002638	细胞色素P450 3A4
BE0009997	谷胱甘肽过氧化物酶
BE0002296	甘油二酯激酶γ
BE0002297	二酰甘油激酶δ
BE0002299	磷脂酰丝氨酸合酶2
BE0002300	鞘磷脂磷酸二酯酶4
BE0002301	鞘磷脂磷酸二酯酶3
BE0001001	可能的磷脂转运ATP酶IA
BE0001132	蛋白激酶Cα型
BE0001099	磷脂酰丝氨酸合酶1
BE0000673	磷脂酰丝氨酸脱羧酶原酶
BE0000189	清道夫受体B类成员1
BE0000998	甘氨酸-tRNA连接酶
BE0002303	胆汁酸辅酶A：氨基酸N-酰基转移酶
BE0002304	N-花生四烯酸甘氨酸受体
BE0002305	甘氨酸N-酰基转移酶
BE0002306	甘氨酸N-酰基转移酶样蛋白2
BE0002307	甘氨酸N-酰基转移酶样蛋白1
BE0002309	过氧化物酶体肌氨酸氧化酶
BE0000534	谷氨酸受体离子型
BE0000433	甘氨酸受体亚单位α-1
BE0000055	甘氨酸受体β亚单位
BE0000414	甘氨酸受体亚单位α-3
BE0000745	甘氨酸受体亚单位α-2
BE0000042	吡哆醛激酶
BE0000714	肌酸激酶M型
BE0000171	肌酸激酶U型，线粒体
BE0000082	肌酸激酶B型
BE0000410	肌酸激酶S型，线粒体
BE0000375	钠和氯依赖性肌酸转运体1
BE0000567	胍乙酸N-甲基转移酶
BE0000204	可能的亮氨酸-tRNA连接酶，线粒体
BE0000613	亮氨酸羧基甲基转移酶2
BE0000450	亮氨酸羧基甲基转移酶1
BE0000769	亮氨酸——tRNA连接酶，细胞质
BE0002311	色氨酸——tRNA连接酶，线粒体
BE0001343	色氨酸-tRNA连接酶
BE0000228	色氨酸——tRNA连接酶，细胞质
BE0000701	半胱氨酸——tRNA连接酶，细胞质
BE0001145	甲基化DNA——蛋白质半胱氨酸甲基转移酶
BE0002312	可能的半胱氨酸-tRNA连接酶，线粒体
BE0000569	半胱氨酸双加氧酶1型
BE0000157	硫胺素焦磷酸激酶1
BE0004902	电压依赖性钙通道
BE0000017	前列腺素G\/H合酶1
BE0000262	前列腺素G\/H合酶2
BE0000608	N（G），N（G）-二甲基精氨酸二甲胺水解酶2
BE0000766	N（G），N（G）-二甲基精氨酸二甲胺水解酶1
BE0000067	一氧化氮合酶，脑
BE0002313	6型精氨酸脱氨基酶
BE0002314	蛋白精氨酸脱氨基酶1型
BE0002315	3型蛋白精氨酸脱氨基酶
BE0002316	2型蛋白精氨酸脱氨基酶
BE0001092	4型蛋白精氨酸脱氨基酶
BE0000234	苏氨酸——tRNA连接酶，细胞质
BE0002317	苏氨酸-tRNA连接酶，线粒体
BE0000645	UDP葡萄糖6-脱氢酶
BE0000227	乙醇脱氢酶1A
BE0000299	山梨醇脱氢酶
BE0000360	乙醇脱氢酶4
BE0000465	乙醇脱氢酶1C
BE0000400	乙醇脱氢酶1B
BE0000522	乙醇脱氢酶4级mu\/sigma链
BE0000208	甘油-3-磷酸脱氢酶[NAD（+）]，细胞质
BE0000297	L-乳酸脱氢酶A样6A
BE0000009	3类乙醇脱氢酶
BE0000317	3-羟酰基辅酶A脱氢酶2型
BE0000780	苹果酸脱氢酶，线粒体
BE0000425	L-乳酸脱氢酶A链
BE0000148	线粒体依赖酶
BE0000408	过氧化物酶体多功能酶2型
BE0000100	L-乳酸脱氢酶A样6B
BE0000149	L-乳酸脱氢酶C链
BE0000068	L-乳酸脱氢酶B链
BE0000586	过氧化物酶体双功能酶
BE0000377	羟酰辅酶A脱氢酶，线粒体
BE0000328	NADP依赖的苹果酸酶，线粒体
BE0000175	D-β-羟基丁酸脱氢酶，线粒体
BE0000589	胞质苹果酸脱氢酶
BE0000128	3-羟基异丁酸脱氢酶，线粒体
BE0000336	睾酮17β脱氢酶3
BE0000574	3-羟基-3-甲基戊二酰辅酶A还原酶
BE0000604	NADP依赖的苹果酸酶
BE0000161	D-3-磷酸甘油酸脱氢酶
BE0000184	3-酮甾体还原酶
BE0000771	线粒体异柠檬酸脱氢酶[NAD]亚单位γ
BE0000559	线粒体异柠檬酸脱氢酶[NAD]β亚单位
BE0000011	线粒体异柠檬酸脱氢酶[NAD]亚单位α
BE0000194	雌二醇17β脱氢酶1
BE0000006	雌二醇17β脱氢酶2
BE0000570	11顺式视黄醇脱氢酶
BE0000357	GDH\/6PGL内质双功能蛋白
BE0000578	雌二醇17β脱氢酶8
BE0000438	醛酮还原酶家族1成员C4
BE0000722	肌苷-5'-单磷酸脱氢酶2
BE0000592	醛酮还原酶家族1成员C3
BE0000552	15-羟基前列腺素脱氢酶[NAD（+）]
BE0000662	GDP-L-岩藻糖合酶
BE0000126	醛酮还原酶家族1成员C1
BE0000329	皮质类固醇11β脱氢酶同工酶1
BE0000059	3β-羟基类固醇脱氢酶\/δ5-->4-异构酶2型
BE0000051	3β-羟基类固醇脱氢酶\/δ5-->4-异构酶1型
BE0000761	肌苷-5'-单磷酸脱氢酶1
BE0000260	线粒体三功能酶亚单位α
BE0000133	乙醛脱氢酶，线粒体
BE0000131	皮质类固醇11β脱氢酶同工酶2
BE0000622	醛酮还原酶家族1成员C2
BE0000044	甾醇-4-α-羧酸3-脱氢酶，脱羧
BE0000193	乙醛脱氢酶家族3成员B2
BE0000231	甲基丙二酸半醛脱氢酶[酰化]，线粒体
BE0000718	乙醛脱氢酶，二聚NADP优先
BE0000554	视网膜脱氢酶1
BE0000720	睾丸特异性甘油醛-3-磷酸脱氢酶
BE0000287	4-三甲基氨基丁醛脱氢酶
BE0000583	乙醛脱氢酶家族1成员A3
BE0000479	乙醛脱氢酶X，线粒体
BE0000446	乙醛脱氢酶家族3成员B1
BE0000542	甘油醛-3-磷酸脱氢酶
BE0000513	视网膜脱氢酶2
BE0000600	脂肪醛脱氢酶
BE0000135	α-氨基己二酸半醛脱氢酶
BE0000728	吡咯啉-5-羧酸还原酶2
BE0000225	吡咯啉-5-羧酸还原酶1，线粒体
BE0000609	丙酮酸脱氢酶E1组分亚单位α，睾丸特异性，线粒体
BE0000571	丙酮酸脱氢酶E1组分亚单位α，体细胞形式，线粒体
BE0000741	胆绿素还原酶A
BE0000762	短链特异性酰基辅酶A脱氢酶，线粒体
BE0000330	二氢叶酸还原酶
BE0000162	2-酮戊二酸脱氢酶，线粒体
BE0000031	7-脱氢胆固醇还原酶
BE0000220	核糖二氢烟酰胺脱氢酶[醌]
BE0000655	NADH泛醌氧化还原酶链2
BE0000196	NADH泛醌氧化还原酶链3
BE0000307	NADH脱氢酶[泛醌]铁硫蛋白7，线粒体
BE0000244	δ-1-吡咯啉-5-羧酸脱氢酶，线粒体
BE0000160	NADH细胞色素b5还原酶3
BE0000541	NADH脱氢酶[泛醌]1α亚复合物亚基11
BE0000551	NADH泛醌氧化还原酶链4
BE0000540	二氢蝶呤还原酶
BE0000503	NADH泛醌氧化还原酶链1
BE0000008	NAD（P）转氢酶，线粒体
BE0000473	NADH脱氢酶[泛醌]1α亚复合物亚基5
BE0000305	NADH脱氢酶[泛醌]1α亚复合物亚基9，线粒体
BE0000272	NADH泛醌氧化还原酶链4L
BE0000081	NADH脱氢酶[泛醌]1α亚复合物亚单位10，线粒体
BE0000401	NADH脱氢酶[泛醌]1α亚复合物亚单位7
BE0000224	NADH脱氢酶[泛醌]1α亚复合物亚单位1
BE0000348	NADH泛醌氧化还原酶链6
BE0000580	NADH泛醌氧化还原酶链5
