C0000786	['流产（自然流产）']
C0013687	['渗出（形态异常）']
C0013688	['血气渗出（形态异常）']
C0013922	['栓塞（诊断）']
C0013923	['腹主动脉栓塞和血栓形成（诊断）']
C0013924	['不明动脉栓塞和血栓形成']
C0013926	['气栓塞']
C0013928	['脂肪栓塞']
C0013990	['组织中空气的异常聚集']
C0014461	['慢性单灶朗格汉斯细胞组织细胞增生症']
C0014591	['鼻出血（发现）']
C0014595	['上皮萎缩（形态异常）']
C0014860	['食管穿孔（诊断）']
C0015376	['外渗（形态异常）']
C0015378	['造影剂外渗']
C0015402	['眼出血']
C0015668	['细胞脂肪酸分泌增多症']
C0015799	['女性第二性征发育异常（发现）']
C0015924	['胎儿缺氧']
C0015927	['胎儿死亡']
C0015930	['胎儿窘迫']
C0015944	['胎膜早破']
C0015959	['胎儿出血进入母亲循环引起的胎儿失血']
C0016059	['结缔组织增生']
C0016385	['心脏扑动']
C0016398	['口腔局灶性感染']
C0016470	['过敏、食物']
C0016549	['异物反应']
C0016663	['自发性骨折']
C0016665	['骨折不愈合']
C0016809	['手术后心脏功能紊乱（诊断）']
C0016826	['真菌肉芽肿（疾病）']
C0017181	['胃肠道出血']
C0017565	['牙龈出血']
C0017566	['牙龈扩大']
C0017639	['星形胶质细胞增生']
C0018128	['血管移植闭塞']
C0018134	['移植物抗宿主反应（发现）']
C0018188	['上皮样肉芽肿']
C0018193	['身体异物肉芽肿']
C0018194	['巨细胞肉芽肿']
C0018199	['浆细胞肉芽肿']
C0018200	['呼吸道肉芽肿']
C0018273	['混乱、成长']
C0018924	['关节出血']
C0018944	['血肿']
C0018946	['硬膜下血肿']
C0018948	['血量计']
C0019054	['溶血']
C0019064	['心包血肿']
C0019065	['腹部中风']
C0019066	['腹膜出血（非创伤性）']
C0019080	['流血']
C0019081	['肛门直肠出血']
C0019086	['出血性腹水']
C0019123	['胸膜出血']
C0020033	['宿主抗移植物反应']
C0020224	['过量饮酒']
C0020507	['器官或组织异常增大']
C0020510	['结节性增生']
C0020517	['过敏性疾病']
C0020522	['细胞介导的超敏反应']
C0020523	['特应性超敏反应']
C0020542	['肺疾病引起的高血压']
C0020546	['危象性高血压']
C0020564	['扩大']
C0020565	['乳房外观肥大']
C0020566	['毛乳头肥大（疾病）']
C0020569	['涎腺肿大']
C0020572	['充血性增大']
C0020581	['前房前房积血']
C0020683	['血源性休克']
C0020741	['布洛芬过敏']
C0020742	['布洛芬不耐受']
C0020963	['免疫系统耐受']
C0021308	['梗死（形态学异常）']
C0021359	['不能怀孕']
C0021361	['女性不孕症（诊断）']
C0021368	['炎症（限定值）']
C0021369	['炎症伴纤维化']
C0021374	['急性渗出性炎症（形态异常）']
C0021375	['过敏性炎症']
C0021376	['慢性炎症（形态异常）']
C0021378	['慢性破坏性炎症（形态异常）']
C0021381	['渗出性炎症（形态异常）']
C0021385	['坏疽性炎症']
C0021386	['干酪样肉芽肿']
C0021387	['感染后炎症（形态学异常）']
C0021389	['浆液性炎症（形态异常）']
C0021614	['突然死亡突然死亡']
C0021655	['身体对胰岛素没有反应']
C0021870	['脑内血肿']
C0021890	['术中并发症']
C0021893	['胎盘内血肿']
C0022116	['缺血一氧化氮合酶']
C0022865	['分娩并发症']
C0022876	['早产']
C0023052	['喉水肿']
C0023182	['脑脊液引流']
C0023653	['苔藓化障碍']
C0023869	['计算损失']
C0024050	['下消化道出血']
C0024236	['获得性淋巴水肿']
C0024348	['溶解']
C0024524	['组织异常软化']
C0024525	['马拉科普拉基亚']
C0025160	['获得性巨结肠']
C0025222	['大便中的血液改变']
C0025323	['月经期间异常大量出血']
C0025333	['月经水肿（紊乱）']
C0025345	['月经异常（症状）']
C0025476	['牙齿近中漂移']
C0025874	['子宫异常出血']
C0026689	['粘液淋病（紊乱）']
C0026766	['多器官衰竭']
C0026846	['肌萎缩']
C0026962	['散瞳（持续性），非散瞳所致']
C0027046	['心肌变性']
C0027055	['心肌再灌注损伤']
C0027544	['坏死碎片（形态异常）']
C0027626	['侵袭性肿瘤']
C0027645	['肿瘤播种']
C0027686	['病理性血管生成']
C0027687	['表皮下区新生血管']
C0027872	['神经脊髓炎']
C0028778	['块']
C0028949	['月经稀少']
C0029163	['口腔出血（发现）']
C0029396	['异位骨形成']
C0029445	['骨坏死']
C0029461	['放射性骨坏死']
C0029481	['其他血液化学异常']
C0029542	['其他舞蹈病']
C0029601	['其他呼吸困难和呼吸异常']
C0029604	['其他异位妊娠']
C0029630	['其他心脏传导阻滞']
C0029659	['其他淋巴水肿']
C0029712	['其他早搏']
C0029737	['其他休克未提及创伤']
C0029804	['其他指定的出血情况']
C0029813	['皮肤和皮下组织的其他特定局部感染']
C0029857	['其他睾丸功能障碍']
C0030660	['病理过程']
C0030833	['青霉素不耐受']
C0030922	['消化性溃疡出血']
C0031154	['腹膜炎症']
C0031526	['1染色体，Ph']
C0031542	['静脉炎症']
C0031557	['痰（形态异常）']
C0031913	['胆汁色素沉着（形态异常）']
C0032044	['植入胎盘']
C0032045	['疾病（或紊乱）；胎盘']
C0032046	['前置胎盘']
C0032775	['乳腺切除术后淋巴水肿']
C0032776	['绝经后出血']
C0032780	['尸检']
C0032787	['术后并发症']
C0032788	['术后出血']
C0032792	['崩溃术后']
C0032796	['产后闭经']
C0032797	['产后出血']
C0032816	['外伤后头痛']
C0032914	['1、先兆子痫子痫']
C0032962	['复杂妊娠']
C0032984	['腹部妊娠']
C0032987	['渗出']
C0032991	['卵巢妊娠']
C0032993	['发布日期']
C0032994	['输卵管异位妊娠']
C0033074	['年龄相关性听力损失']
C0033677	['热量营养不良蛋白质']
C0033785	['纤维不连']
C0034012	['宪法性增长延迟']
C0034063	['肺水肿']
C0034065	['肺动脉血栓']
C0034084	['先天性漏斗狭窄']
C0034088	['肺动脉瓣功能不全']
C0034189	['败血症']
C0034194	['胃流出道梗阻']
C0034195	['幽门粘膜炎症']
C0034209	['脓胸（诊断）']
C0034214	['皮肤和皮下组织小叶毛细血管瘤']
C0034989	['食管上胃反流（SEGR）']
C0035228	['气道高反应性']
C0035229	['呼吸功能受损']
C0035304	['视网膜退化（紊乱）']
C0035320	['视网膜新生血管']
C0035405	['Rh敏化']
C0035410	['骨骼肌破裂']
C0035441	['风湿性结节']
C0035619	['右心室流出道梗阻']
C0035624	['尸僵']
C0035956	['自发破裂']
C0036089	['唾液管结石']
C0036429	['纤维硬化']
C0036679	['分离']
C0036697	['鼻中隔不耐受']
C0036749	['炎性软组织疾病浆膜炎']
C0036974	['急性循环衰竭']
C0036980	['心源性休克（诊断）']
C0036981	['内毒素性脓毒性休克']
C0036982	['出血性休克']
C0036983	['败血症相关性低血压']
C0036984	['外科休克']
C0036986	['受伤后休克']
C0037099	['肉芽肿；二氧化硅']
C0037154	['单纯性萎缩（形态异常）']
C0037287	['皮肤结节']
C0038279	['产后不孕症']
C0038343	['脓肿；缝']
C0038449	['动脉狭窄（诊断）']
C0038534	['结膜下出血']
C0038536	['皮下气肿']
C0038862	['化脓性炎症']
C0038940	['切口裂开（物理检查）']
C0038941	['切口感染']
C0038967	['肉芽肿缝合线']
C0039342	['异物对纹身染料的反应']
C0039645	['四环素过敏（发现）']
C0039647	['四环素不耐受']
C0040038	['血管内血栓']
C0040046	['血栓性静脉炎']
C0040053	['血栓形成']
C0040428	['磨牙']
C0040444	['迁移，牙齿']
C0040797	['外伤性出血']
C0041254	['色氨酸代谢紊乱（紊乱）']
C0041276	['输卵管；因怀孕而破裂']
C0041582	['溃疡病变']
C0041755	['ADR——药物不良反应']
C0041909	['上消化道出血']
C0042024	['膀胱失禁']
C0042134	['子宫出血']
C0042135	['无张力子宫']
C0042143	['子宫破裂（诊断）']
C0042300	['任何瓣膜结构功能不全（发现）']
C0042484	['静脉淤血']
C0042487	['静脉中的血块']
C0042755	['异常男性化']
C0042782	['内脏肿大（形态异常）']
C0042909	['玻璃体液中的血液']
C0043065	['水电解质失衡']
C0043241	['感染伤口']
C0079026	['自体输血引起的红细胞增多症（疾病）']
C0079027	['手术失血']
C0079581	['胃酸降低']
C0079840	['食物牛奶过敏']
C0079924	['贫酒']
C0085073	['设备相关感染']
C0085257	['阴虚']
C0085258	['阳虚']
C0085298	['心源性猝死']
C0085598	['假产（诊断）']
C0085610	['窦性心动过缓']
C0085611	['房性心律失常（NOS）']
C0085616	['血管痉挛']
C0085617	['动脉痉挛']
C0085618	['静脉痉挛']
C0085621	['麻痹性痉挛']
C0085637	['危象性眼病']
C0085649	['四肢水肿']
C0085654	['肉芽肿注射部位']
C0085660	['无菌性坏死（诊断）']
C0085688	['乳房充血（体格检查）']
C0087086	['血块']
C0149594	['眶周脂肪']
C0149663	['裂开（形态异常）']
C0149770	['直肠脓肿']
C0149777	['皮肤脓肿（诊断）']
C0149814	['堕胎不可避免']
C0149854	['小脑出血']
C0149863	['乙状结肠扭转']
C0149889	['肛瘘']
C0149938	['镇痛性肾病（诊断）']
C0150011	['气道清除障碍']
C0151205	['眼周水肿']
C0151512	['注射部位萎缩']
C0151521	['细菌过度生长']
C0151526	['早产']
C0151531	['植骨松解术']
C0151571	['角膜病变（紊乱）']
C0151601	['结膜；水肿']
C0151603	['阿纳萨卡（发现）']
C0151604	['生殖器水肿']
C0151605	['注射部位水肿']
C0151606	['唇生殖器水肿']
C0151609	['阴囊水肿（疾病）']
C0151610	['舌水肿（疾病）']
C0151614	['耗尽电解质']
C0151615	['栓子臂']
C0151616	['a、 卡洛蒂斯；栓塞']
C0151627	['闭合延迟骨骺']
C0151628	['骨骺过早闭合']
C0151629	['固定喷发']
C0151634	['多灶性早搏']
C0151649	['纤维化注射部位']
C0151654	['心肌纤维化']
C0151661	['周围性坏疽']
C0151686	['增长减缓']
C0151693	['肾上腺出血']
C0151694	['结肠出血']
C0151698	['出血注射部位']
C0151699	['颅内出血']
C0151701	['肺出血']
C0151702	['出血性肌肉']
C0151705	['腹膜后出血']
C0151713	['胃酸增加']
C0151717	['皮肤肥大']
C0151730	['药物作用增强（发现）']
C0151734	['注射部位炎症']
C0151735	['注射反应部位']
C0151739	['小肠穿孔']
C0151746	['肾功能异常']
C0151753	['哺乳期男性']
C0151763	['肝细胞损伤']
C0151795	['注射部位紊乱性坏死']
C0151799	['皮肤坏死']
C0151810	['药物作用缺乏']
C0151811	['皮下硬块']
C0151942	['动脉血栓形成（诊断）']
C0151946	['肺血栓形成']
C0151998	['子宫痉挛（发现）']
C0152085	['关节病；痢疾']
C0152151	['怀孕，三胞胎']
C0152152	['怀孕，四胞胎']
C0152154	['劳累']
C0152155	['劳动威胁']
C0152156	['传送障碍物']
C0152158	['无泌乳']
C0152168	['括约肌痉挛奥迪']
C0152245	['尿外渗（紊乱）']
C0152254	['变胖']
C0152448	['重罪犯（诊断）']
C0152454	['粘附；结膜']
C0153329	['结核病的后期影响（诊断）']
C0153331	['中枢神经系统结核（疾病）的晚期影响']
C0153333	['骨关节结核的晚期效应']
C0153334	['结核病对其他特定器官的晚期影响']
C0153336	['其他和未指明的传染病和寄生虫病的后期影响']
C0153337	['脑炎病毒性，后遗症']
C0154166	['甲状腺出血和梗死']
C0154240	['佝偻病的晚期效应（诊断）']
C0154260	['矿物质代谢紊乱（紊乱）']
C0154261	['其他特定的矿物质代谢紊乱']
C0154275	['免疫球蛋白；IgM选择性缺乏']
C0154715	['婴儿痉挛，未提及难治性癫痫']
C0154716	['婴儿痉挛伴顽固性癫痫（诊断）']
C0154742	['正中神经其他病变']
C0154758	['炎症和毒性神经病（疾病）']
C0154828	['超然；视网膜牵引']
C0154843	['视网膜静脉充血（物理检查）']
C0154846	['视网膜色素上皮出血性脱离']
C0154901	['脉络膜出血和破裂']
C0154937	['室角后退']
C0155003	['暂时失明']
C0155201	['肌源性上睑下垂']
C0155208	['眼睑及眼周退行性疾病']
C0155216	['眼睑出血']
C0155268	['眼眶出血']
C0155278	['眼眶萎缩']
C0155306	['视神经鞘出血']
C0155452	['乳突切除术后并发症']
C0155455	['乳突切除术后腔慢性肉芽肿（诊断）']
C0155530	['耳聋；短暂性脑缺血']
C0155676	['肺动脉瘤（诊断）']
C0155706	['其他双侧束支传导阻滞']
C0155708	['其他特定的传导障碍']
C0155709	['心房颤动和扑动（诊断）']
C0155710	['心室颤动和扑动（诊断）']
C0155711	['心脏病的并发症和定义不清的描述']
C0155712	['腱索断裂']
C0155713	['并发症心脏病乳头肌破裂']
C0155719	['其他和未指明的颅内出血']
C0155724	['椎动脉闭塞和狭窄']
C0155732	['脑血管病；后遗症']
C0155749	['动脉栓塞和血栓性闭塞']
C0155750	['胸主动脉栓塞和血栓形成（疾病）']
C0155755	['髂动脉栓塞和血栓形成']
C0155775	['腔静脉栓塞血栓形成']
C0155776	['肾静脉栓塞和血栓形成']
C0155777	['其他特定静脉的栓塞和血栓形成']
C0155787	['未指明的痔疮伴其他并发症']
C0155901	['其他和未指定外部因素导致的呼吸状况']
C0155902	['辐射引起的急性肺部表现（诊断）']
C0155903	['辐射引起的慢性和其他肺部表现']
C0155921	['并发症气管造口术']
C0156097	['附录增生']
C0156186	['结肠造口术和肠造口术并发症，未指明']
C0156274	['其他膀胱功能紊乱']
C0156276	['膀胱壁出血']
C0156295	['前列腺充血或出血']
C0156299	['囊肿；鞘膜积液']
C0156308	['阴茎水肿（诊断）']
C0156309	['器质性阳痿']
C0156365	['阔韧带血肿']
C0156384	['阴道发育不良（疾病）']
C0156389	['阴道血肿']
C0156395	['外阴肥大（诊断）']
C0156397	['外阴血肿']
C0156403	['月经来潮时出血过多']
C0156406	['性交出血后']
C0156408	['与绝经期开始相关的过度出血']
C0156410	['与人工绝经相关的状态']
C0156416	['子宫源性不孕症（诊断）']
C0156419	['女性血肿囊肿']
C0156427	['自然流产并发迟发性或过多出血']
C0156429	['自然流产，并发迟发性或过多出血，不完全']
C0156456	['流产并发自然流产']
C0156457	['不完全流产伴并发症（紊乱）']
C0156459	['未提及并发症的自然流产']
C0156465	['不完全合法流产伴生殖道或盆腔感染（疾病）']
C0156466	['完全合法流产伴生殖道或盆腔感染（疾病）']
C0156469	['不完全合法流产，出血延迟或过多']
C0156470	['延迟或过度出血的完全合法流产']
C0156472	['因盆腔器官或组织受损而导致流产']
C0156473	['不完全合法流产，盆腔器官或组织受损（疾病）']
C0156477	['不完全合法流产伴肾功能衰竭（疾病）']
C0156478	['完全合法流产伴肾功能衰竭（疾病）']
C0156481	['不完全合法流产伴代谢紊乱（紊乱）']
C0156482	['完全合法流产伴代谢紊乱（紊乱）']
C0156485	['不完全合法堕胎伴休克（紊乱）']
C0156486	['完全合法堕胎伴休克（紊乱）']
C0156489	['合法人工流产，并发栓塞，不完全']
C0156490	['完全合法流产伴栓塞（疾病）']
C0156492	['合法人工流产伴其他特定并发症']
C0156493	['合法人工流产，有其他特定并发症，不完全']
C0156494	['合法人工流产，并伴有其他特定并发症，完成']
C0156498	['合法人工流产，未指明并发症，完全流产']
C0156504	['非法人工流产合并生殖道和盆腔感染']
C0156505	['非法人工流产，合并生殖道和盆腔感染，不完全']
C0156532	['有其他特定并发症的非法人工流产']
C0156533	['非法人工流产，有其他特定并发症，不完全']
C0156534	['非法人工流产，伴有其他特定并发症，完成']
C0156542	['非法人工流产，未提及并发症，完全']
C0156545	['不明原因流产合并生殖道和盆腔感染']
C0156550	['未指明的流产，并发延迟或过度出血，不完全']
C0156556	['流产并发肾功能衰竭（诊断）']
C0156564	['流产合并休克（诊断）']
C0156572	['未指明的流产伴其他特定并发症']
C0156574	['未指定流产，有其他指定并发症，不完全']
C0156575	['未指定流产，伴有其他指定并发症，完全流产']
C0156578	['流产不完全复杂']
C0156579	['流产完全复杂']
C0156580	['未提及并发症的未指明流产']
C0156585	['流产失败后延迟或过度出血（诊断）']
C0156587	['流产未遂并发肾功能衰竭（诊断）']
C0156589	['流产未遂合并休克（诊断）']
C0156590	['流产失败后的栓塞（诊断）']
C0156591	['流产未遂伴其他特定并发症']
C0156592	['流产失败后的并发症（诊断）']
C0156604	['妊娠早期出血']
C0156606	['先兆流产，分娩']
C0156608	['妊娠早期的其他特定出血']
C0156609	['其他规定的妊娠早期出血，未说明护理事件或不适用']
C0156613	['未说明妊娠早期出血，未说明护理事件']
C0156616	['产前出血、胎盘早剥和前置胎盘']
C0156617	['胎盘低植入，无出血']
C0156621	['前置胎盘出血']
C0156631	['与凝血缺陷相关的产前出血']
C0156633	['其他产前出血，未说明护理事件或不适用']
C0156635	['其他产前出血']
C0156637	['未说明产前出血，未说明护理事件']
C0156677	['产前子痫']
C0156699	['妊娠22周后开始过度呕吐']
C0156711	['早产或临产']
C0156716	['其他受威胁的分娩，未说明护理事件或不适用']
C0156723	['妊娠的其他并发症']
C0156728	['妊娠期水肿或体重过度增加，未提及高血压']
C0156756	['c、 怀孕；泌尿生殖道感染']
C0156762	['妊娠期肝脏和胆道疾病、产前状况或并发症']
C0156769	['其他指定并发症，产前']
C0156770	['其他指定的妊娠并发症、产后情况或并发症']
C0156881	['母亲糖耐量异常，分娩，并提及产后并发症']
C0156901	['双胎妊娠合并胎儿丢失和一个胎儿滞留']
C0156905	['三胎妊娠合并胎儿丢失和一个或多个胎儿滞留（es）']
C0156909	['四胎妊娠合并胎儿丢失和一个或多个胎儿滞留']
C0156923	['未指明的多胎妊娠、产前状况或并发症']
C0156964	['妊娠、分娩和分娩比例失调']
C0156977	['妊娠、分娩和分娩时的出口收缩']
C0156996	['妊娠、分娩和分娩中其他来源的比例失调']
C0157000	['未指明的怀孕、分娩和分娩比例']
C0157035	['宫颈机能不全-分娩（紊乱）']
C0157063	['影响母亲护理的胎儿异常（诊断）']
C0157101	['影响母亲管理的胎儿-母亲出血']
C0157123	['影响母亲管理的“大约会”']
C0157124	['胎儿过度生长影响母亲的管理，未说明护理事件']
C0157125	['胎儿过度生长影响母亲的管理，分娩']
C0157126	['胎儿过度生长影响母亲产前管理']
C0157142	['羊水过少-分娩（紊乱）']
C0157146	['胎膜早破-分娩（疾病）']
C0157147	['胎膜早破-产前状况或并发症（诊断）']
C0157152	['人造的胎膜破裂，产后延迟分娩']
C0157155	['人工破膜、产前状况或并发症后延迟分娩（诊断）']
C0157157	['羊膜腔感染-分娩（紊乱）']
C0157179	['分娩期间的全身感染']
C0157199	['分娩开始时胎儿位置不当引起的梗阻']
C0157200	['产程开始时胎儿位置不正引起的梗阻，未说明护理时间或不适用']
C0157201	['产程开始时胎儿位置不当引起的梗阻，分娩时，不论是否提及产前状况']
C0157202	['因分娩时胎儿位置不当、产前状况或并发症引起的梗阻']
C0157208	['分娩过程中骨盆软组织异常引起的梗阻，未说明护理事件或不适用']
C0157223	['试产失败（诊断）']
C0157240	['原发性子宫乏力-分娩（紊乱）']
C0157259	['主动期阻滞']
C0157266	['第二阶段拘捕劳工']
C0157270	['第二胎、三胎等延迟分娩（诊断）']
C0157275	['分娩合并脐带脱垂']
C0157281	['脐带绕颈，压迫，使分娩和分娩复杂，已分娩']
C0157282	['脐带绕颈，压迫，分娩和分娩并发症，产前状况或并发症']
C0157283	['其他和未指明的脐带缠绕，压迫，使分娩和分娩复杂']
C0157303	['分娩期间的其他脐带并发症']
C0157307	['分娩期间脐带并发症（诊断）']
C0157310	['不明脐带并发症导致分娩、产前状况或并发症']
C0157347	['分娩前子宫破裂，不论是否提及产前状况']
C0157357	['子宫倒置、产后情况或并发症']
C0157393	['c、 交付；产后第三期出血']
C0157394	['其他产后即时出血，未说明护理事件或不适用']
C0157395	['其他产后即时出血，分娩，并提及产后并发症']
C0157404	['胎盘和胎膜残留，无出血（诊断）']
C0157408	['胎盘和胎膜残留部分，无出血']
C0157412	['分娩中使用麻醉剂或其他镇静剂的并发症']
C0157425	['分娩和分娩中麻醉或其他镇静的中枢神经系统并发症']
C0157431	['分娩和分娩中麻醉或其他镇静的其他并发症']
C0157443	['其他分娩并发症']
C0157450	['循环的；在分娩期间或分娩后崩溃']
C0157465	['产科手术和程序的其他并发症']
C0157489	['传染少校，产褥期']
C0157524	['妊娠期和产褥期的其他静脉并发症']
C0157535	['产后静脉并发症']
C0157540	['产科（肺）栓塞']
C0157541	['妊娠期空气栓塞']
C0157552	['血凝块；妊娠、分娩或产褥期栓塞']
C0157571	['脑血管病；产褥期']
C0157585	['产科手术伤口的其他并发症']
C0157592	['产褥期并发症及其他']
C0157608	['与分娩相关的乳房脓肿，分娩时，并提及产后并发症']
C0157636	['与分娩有关的乳头破裂（疾病）']
C0157642	['产褥期乳房充血']
C0157656	['产后无乳症，在上一次发作期间分娩（诊断）']
C0157657	['无乳症伴产前情况或并发症（诊断）']
C0157719	['因服用其他指定物质而引起的皮炎']
C0157727	['其他皮肤肥大和萎缩状况']
C0158090	['非因受伤导致的关节脱位和\\/或移位']
C0158094	['病理性手脱位（诊断）']
C0158105	['关节、骨盆和大腿复发性脱位']
C0158150	['肩部积液（物理检查）']
C0158151	['上臂关节积液']
C0158152	['前臂关节积液']
C0158153	['手关节积液']
C0158155	['下肢关节积液']
C0158156	['踝关节和\\/或足部关节积液（紊乱）']
C0158158	['多部位关节积液（紊乱）']
C0158167	['多部位血肿']
C0158178	['间歇性肩关节积水']
C0158307	['肘部区；末端病']
C0158337	['滑膜破裂（疾病）']
C0158350	['腱（鞘）挛缩']
C0158357	['术后诊断（异位钙化）']
C0158359	['韧带松弛（诊断）']
C0158453	['骨折畸形愈合与骨不连']
C0158454	['骨折畸形愈合（紊乱）']
C0158498	['放射后凸']
C0158504	['放射脊柱侧凸']
C0158816	['孕妇妊娠并发症（疾病）对胎儿或新生儿的影响']
C0158817	['宫颈机能不全（疾病）对胎儿或新生儿的影响']
C0158819	['影响胎儿或新生儿的；羊水过少']
C0158820	['影响胎儿或新生儿的；羊水过多']
C0158823	['死母体的，影响胎儿的']
C0158831	['胎盘输血综合征对胎儿和新生儿的影响']
C0158832	['脐带脱垂对胎儿或新生儿的影响（疾病）']
C0158835	['影响胎儿或新生儿的；绒毛膜羊膜炎']
C0158841	['影响胎儿或新生儿的；产钳分娩']
C0158845	['影响胎儿或新生儿的；催产']
C0158916	['其他胎儿或婴儿，不论妊娠期长短，体重较大']
C0158928	['分娩期间因窒息和\\/或缺氧导致胎儿死亡（事件）']
C0158929	['分娩前胎儿窘迫（活产婴儿）']
C0158930	['胎儿窘迫在分娩时首次出现，在活产婴儿中']
C0158931	['出生窒息1分钟Apgar评分0-3分']
C0158950	['与围产期有关的其他感染']
C0158951	['胎儿出血']
C0158957	['胎儿或新生儿肾上腺出血']
C0158959	['其他指定的胎儿或新生儿出血']
C0158968	['其他围产期黄疸']
C0158971	['早产儿高胆红素血症']
C0158975	['其他原因引起的延迟结合导致的其他新生儿黄疸']
C0159009	['涉及胎儿和新生儿体表和体温调节的疾病']
C0159012	['新生儿其他体温过低']
C0159014	['其他和未指明的新生儿水肿']
C0159039	['瘀斑；自发的']
C0159072	['其他非特异性血清酶水平异常']
C0160218	['损伤后蛛网膜下腔、硬膜下和硬膜外出血']
C0160219	['外伤后蛛网膜下腔出血，未提及开放性颅内创伤']
C0160237	['外伤后硬膜下出血，未提及开放性颅内创伤']
C0160248	['头部损伤伴开放性颅内创伤和硬膜下出血，无意识丧失']
C0160273	['外伤后其他和未指明的颅内出血']
C0160283	['外伤合并开放性颅内创伤后的其他和未指明的颅内出血']
C0160408	['脾脏血肿，无包膜破裂，无空腔开放性伤口']
C0160773	['肌肉骨骼和结缔组织损伤的后期效应']
C0160774	['颅骨和面骨骨折的晚期效应']
C0160777	['股骨颈骨折的晚期效应（紊乱）']
C0160778	['下肢骨折的晚期效应（疾病）']
C0160779	['多发性和非特定骨骼骨折的晚期效应']
C0160780	['脱位（紊乱）的后期效应']
C0160782	['损伤肌腱的后期效应']
C0160783	['外伤性截肢（障碍）的远期影响']
C0160784	['皮肤和皮下组织损伤的后期效应']
C0160785	['头部、颈部和躯干开放性创伤的晚期效应（紊乱）']
C0160787	['损伤后期效应，表面效应']
C0160788	['瘀伤的后期效应']
C0160790	['眼部、面部、头部和颈部烧伤的晚期效应']
C0160791	['腕部和手部烧伤后的疾病（疾病）']
C0160792	['四肢烧伤的晚期效应，手腕和手除外']
C0160794	['烧伤后引起的疾病（疾病）']
C0160795	['神经系统损伤（紊乱）的后期效应']
C0160796	['颅神经损伤引起的疾病（疾病）']
C0160797	['损伤脊髓损伤的迟发效应']
C0160799	['上肢神经损伤引起的疾病（疾病）']
C0160800	['下肢神经损伤引起的疾病（疾病）']
C0160802	['其他和未指明伤害的后期影响']
C0160803	['胸部内伤的远期效应']
C0160806	['头部、颈部和四肢血管损伤的晚期效应']
C0160807	['胸部、腹部和骨盆血管损伤的晚期效应']
C0160808	['孔口异物的晚期效应（紊乱）']
C0160809	['某些创伤并发症的后期效应']
C0160814	['辐射的延迟效应']
C0160815	['医疗程序（治疗）的晚期并发症']
C0160822	['面部、颈部和头皮水疱（眼睛除外），感染']
C0161480	['创伤的某些早期并发症（T79）']
C0161741	['水肿热']
C0161754	['麻醉性休克']
C0161760	['心脏瓣膜假体引起的机械并发症（紊乱）']
C0161762	['心脏装置、植入物和移植物的其他机械并发症']
C0161763	['其他血管装置、植入物和移植物的机械并发症']
C0161767	['留置导尿管致机械性并发症']
C0161768	['并发症宫内节育器']
C0161770	['内部矫形装置、植入物和移植物的机械并发症']
C0161781	['神经系统装置、植入物、移植物引起的感染和炎症反应']
C0161786	['其他内部修复装置、植入物和移植物引起的感染和炎症反应']
C0161787	['其他内部修复装置、植入物和移植物的并发症']
C0161801	['移植肺并发症（疾病）']
C0161802	['骨髓移植并发症（诊断）']
C0161803	['移植胰腺并发症（疾病）']
