C0000742	阿贝尔森白血病病毒###ET###MSH [SEP] 阿贝尔森白血病病毒###PT###CSP [SEP] 阿贝尔森小鼠白血病病毒###EQ###NCBI [SEP] 阿贝尔森小鼠白血病病毒###ET###CSP [SEP] 阿贝尔森小鼠白血病病毒###MH###MSH [SEP] 阿贝尔森小鼠白血病病毒###PT###NCI [SEP] 阿贝尔森小鼠白血病病毒###SCN###NCBI [SEP] 阿贝尔森病毒###ET###CSP [SEP] 白血病病毒###PM###MSH [SEP] 阿贝尔森白血病病毒###PM###MSH
C0004120	星状病毒###CN###LNC [SEP] 星状病毒###LPDN###LNC [SEP] 星状病毒###LPN###LNC [SEP] 星状病毒###PN###MTH [SEP] 星状病毒###PT###CHV [SEP] 星状病毒###PT###CSP [SEP] 星状病毒###SY###CHV
C0004418	禽脑脊髓炎病毒（有机体）###FN###SNOMEDCT_US [SEP] 禽脑脊髓炎病毒1###ET###MSH [SEP] 禽脑脊髓炎病毒###EQ###NCBI [SEP] 禽脑脊髓炎病毒###ET###MSH [SEP] 禽脑脊髓炎病毒###LPDN###LNC [SEP] 禽脑脊髓炎病毒###LPN###LNC [SEP] 禽脑脊髓炎病毒###PT###SNOMEDCT_US [SEP] 禽脑脊髓炎病毒###ET###MSH [SEP] 禽脑脊髓炎样病毒###PM###MSH [SEP] 禽脑脊髓炎样病毒###SY###SNOMEDCT_US [SEP] 禽脑脊髓炎病毒###MH###MSH [SEP] 禽脑脊髓炎样病毒###ET###MSH [SEP] 流行性震颤病毒###ET###MSH [SEP] 震颤病毒A###ET###MSH [SEP] 震颤病毒A###SCN###NCBI
C0004419	禽传染性支气管炎病毒（有机体）###FN###SNOMEDCT_US [SEP] 禽传染性支气管炎病毒###ET###CSP [SEP] 禽传染性支气管炎病毒###ET###MSH [SEP] 禽传染性支气管炎病毒###PT###SNOMEDCT_US [SEP] 传染性支气管炎病毒###PM###MSH [SEP] 传染性支气管炎病毒###CN###LNC [SEP] 传染性支气管炎病毒###LPDN###LNC [SEP] 传染性支气管炎病毒###LPN###LNC [SEP] 传染性支气管炎病毒###MH###MSH [SEP] 传染性支气管炎病毒###PT###CHV [SEP] 传染性支气管炎病毒###SY###SNOMEDCT_US [SEP] 鸡传染性支气管炎病毒###ET###MSH [SEP] 传染性支气管炎病毒###PM###MSH
C0004420	禽传染性喉气管炎病毒###CN###LNC [SEP] 禽传染性喉气管炎病毒###EQ###NCBI [SEP] 禽传染性喉气管炎病毒###ET###MSH [SEP] 禽传染性喉气管炎病毒###LPDN###LNC [SEP] 禽传染性喉气管炎病毒###LPN###LNC [SEP] 鸡α疱疹病毒1###SCN###NCBI [SEP] 鸡疱疹病毒1（有机体）###FN###SNOMEDCT_US [SEP] 鸡疱疹病毒1###EQ###NCBI [SEP] 鸡疱疹病毒1###ET###MSH [SEP] 鸡疱疹病毒1###PT###SNOMEDCT_US [SEP] 鸡疱疹病毒1型###EQ###NCBI [SEP] 鸡疱疹病毒1型###ET###MSH [SEP] 鸡疱疹病毒1型###MH###MSH [SEP] 鸡疱疹病毒1型###PN###MTH [SEP] 传染性喉气管炎病毒###EQ###NCBI [SEP] 传染性喉气管炎病毒###SY###SNOMEDCT_US [SEP] 禽传染性喉气管炎病毒###ET###MSH [SEP] 喉气管炎病毒###EQ###NCBI
C0004422	阿尔夫###ET###CSP [SEP] 禽白血病病毒###LPDN###LNC [SEP] 禽白血病病毒###LPN###LNC [SEP] 禽白血病病毒###MH###MSH [SEP] 禽白血病病毒###PN###MTH [SEP] 禽白血病病毒###PT###CSP [SEP] 禽白血病病毒###SCN###NCBI [SEP] 禽白血病病毒###SY###SNOMEDCT_US [SEP] 禽白血病病毒###EQ###NCBI [SEP] 禽白血病病毒###PM###MSH [SEP] 禽白血病病毒###ET###MSH [SEP] 禽白血病病毒###PM###MSH [SEP] 禽白血病病毒###PM###MSH [SEP] 病毒、禽白血病###PM###MSH
C0004423	α逆转录病毒###MH###MSH [SEP] α逆转录病毒###PT###CSP [SEP] α逆转录病毒###PT###NCI [SEP] α逆转录病毒###SCN###NCBI [SEP] α逆转录病毒###SY###SNOMEDCT_US [SEP] α逆转录病毒###PM###MSH [SEP] ALV相关病毒###ET###CSP [SEP] ALV相关逆转录病毒###PM###MSH [SEP] ALV相关逆转录病毒###PM###MSH [SEP] ALV相关病毒###EQ###NCBI [SEP] 禽白血病肉瘤病毒###PM###MSH [SEP] 禽白血病肉瘤病毒###PM###MSH [SEP] 禽白血病肉瘤病毒###ET###MSH [SEP] 禽逆转录病毒###SY###NCI [SEP] 禽C型肿瘤病毒###EQ###NCBI [SEP] 禽C型逆转录病毒群###EQ###NCBI [SEP] 禽C型逆转录病毒群###ET###CSP [SEP] 禽C型逆转录病毒###EQ###NCBI [SEP] α逆转录病毒属（有机体）###FN###SNOMEDCT_US [SEP] α逆转录病毒属###PN###MTH [SEP] α逆转录病毒属###PT###SNOMEDCT_US [SEP] 禽白血病肉瘤病毒###PM###MSH [SEP] 禽白血病肉瘤病毒###PM###MSH [SEP] 逆转录病毒，ALV相关###PM###MSH [SEP] 禽C型逆转录病毒###ET###MSH [SEP] 逆转录病毒，ALV相关###PM###MSH [SEP] 逆转录病毒，ALV相关###ET###MSH [SEP] 禽C型逆转录病毒###SY###NCI [SEP] C型禽逆转录病毒###SY###NCI [SEP] C型禽逆转录病毒###ET###MSH [SEP] 禽白血病肉瘤病毒###PM###MSH [SEP] 病毒，禽白血病肉瘤###PM###MSH
C0004425	禽网状内皮增生症病毒###EQ###NCBI [SEP] 禽网状内皮增生症病毒###ET###CSP [SEP] 网状内皮增生症病毒A REV-A###EQ###NCBI [SEP] 网状内皮增生症病毒REV-A###EQ###NCBI [SEP] 网状内皮增生病毒###ET###CSP [SEP] 网状内皮增生症病毒###LPDN###LNC [SEP] 网状内皮增生症病毒###LPN###LNC [SEP] 网状内皮增生症病毒###MH###MSH [SEP] 网状内皮增生症病毒###PN###MTH [SEP] 网状内皮增生症病毒###SCN###NCBI
C0004429	ASV###ET###CSP [SEP] 禽肉瘤病毒（ASV）###SY###CHV [SEP] 禽肉瘤病毒（有机体）###FN###SNOMEDCT_US [SEP] 禽肉瘤病毒###PM###MSH [SEP] 禽肉瘤病毒###PT###CSP [SEP] 禽肉瘤病毒###PT###SNOMEDCT_US [SEP] 禽肉瘤病毒###SCN###NCBI [SEP] 禽肉瘤病毒###SY###CHV [SEP] 禽肉瘤病毒###EQ###NCBI [SEP] 禽肉瘤病毒###MH###MSH [SEP] 禽肉瘤病毒###PN###MTH [SEP] 禽肉瘤病毒###PT###CHV [SEP] 禽肉瘤病毒###PM###MSH [SEP] 禽肉瘤病毒###ET###MSH [SEP] 禽肉瘤病毒###PM###MSH [SEP] 病毒，禽肉瘤###PM###MSH
C0004651	细菌病毒（有机体）###FN###SNOMEDCT_US [SEP] 细菌病毒###PT###CSP [SEP] 细菌病毒###PT###SNOMEDCT_US [SEP] 细菌病毒###SY###CHV [SEP] 细菌病毒###SY###CHV [SEP] 噬菌体。###SCN###NCBI [SEP] 噬菌体###EQ###NCBI [SEP] 噬菌体###ET###CSP [SEP] 噬菌体###PM###MSH [SEP] 噬菌体###PT###CHV [SEP] 噬菌体###PT###NCI [SEP] 噬菌体###EQ###NCBI [SEP] 噬菌体###IN###NDDF [SEP] 细菌噬菌体###MH###MSH [SEP] 细菌噬菌体###PN###MTH [SEP] 细菌噬菌体###PT###LCH_NW [SEP] 噬菌体###SY###CHV [SEP] 噬菌体。###EQ###NCBI [SEP] 噬菌体###ET###CSP [SEP] 噬菌体###PM###MSH [SEP] 噬菌体###SY###CHV [SEP] 噬菌体###SY###NCI [SEP] 噬菌体###SY###SNOMEDCT_US [SEP] 噬菌###ET###MSH [SEP] 噬菌体###SY###CHV [SEP] 不明噬菌体###EQ###NCBI [SEP] 不明噬菌体###EQ###NCBI [SEP] 病毒、细菌###SY###NCI
C0005670	BK多瘤病毒（有机体）###FN###SNOMEDCT_US [SEP] BK多瘤病毒###EQ###NCBI [SEP] BK多瘤病毒###ET###MSH [SEP] BK多瘤病毒###PT###NCI_CDISC [SEP] bk多瘤病毒###SY###CHV [SEP] BK多瘤病毒###SY###NCI [SEP] BK多瘤病毒###SY###SNOMEDCT_US [SEP] BK病毒###EQ###NCBI [SEP] BK病毒###DN###NCI_CTRP [SEP] BK病毒###EQ###NCBI [SEP] BK病毒###ET###CSP [SEP] BK病毒###LPDN###LNC [SEP] BK病毒###LPN###LNC [SEP] BK病毒###MH###MSH [SEP] bk病毒###PT###CHV [SEP] BK病毒###PT###NCI [SEP] BK病毒###PT###SNOMEDCT_US [SEP] BK病毒###SY###NCI_CDISC [SEP] BKV###SY###NCI [SEP] 人类多瘤病毒（BK型）###EQ###NCBI [SEP] 人多瘤病毒1###SCN###NCBI [SEP] 人多瘤病毒BK###EQ###NCBI [SEP] 人多瘤病毒BK###ET###MSH [SEP] 人多瘤病毒BK###SY###SNOMEDCT_US [SEP] 人多瘤病毒BKV###EQ###NCBI [SEP] 人多瘤病毒BK-BKV###EQ###NCBI [SEP] 人多瘤病毒BK型###SY###SNOMEDCT_US [SEP] 巴波娃病毒###EQ###NCBI [SEP] 巴波娃病毒###SY###NCI [SEP] 多瘤病毒BK###EQ###NCBI [SEP] 多瘤病毒bk###SY###CHV [SEP] 多瘤病毒BK###SY###NCI [SEP] 多瘤病毒BK###SY###SNOMEDCT_US [SEP] 人多瘤病毒BK###PM###MSH [SEP] 人多瘤病毒1型###ET###MSH [SEP] 人多瘤病毒1型###SY###NCBI [SEP] 人多瘤病毒1型###SY###SNOMEDCT_US [SEP] 多瘤病毒BK型###SY###NCI [SEP] 多瘤病毒###ET###MSH
C0005867	蓝舌病毒###ET###MSH [SEP] 蓝舌病毒###PM###MSH [SEP] 蓝舌病毒（有机体）###FN###SNOMEDCT_US [SEP] 蓝舌病毒###EQ###NCBI [SEP] 蓝舌病毒组###EQ###NCBI [SEP] 蓝舌病病毒###CN###LNC [SEP] 蓝舌病病毒###ET###CSP [SEP] 蓝舌病病毒###LPDN###LNC [SEP] 蓝舌病病毒###LPN###LNC [SEP] 蓝舌病病毒###MH###MSH [SEP] 蓝舌病病毒###PN###MTH [SEP] 蓝舌病病毒###PT###LCH_NW [SEP] 蓝舌病病毒###PT###SNOMEDCT_US [SEP] 蓝舌病病毒###SCN###NCBI [SEP] 蓝舌病病毒###PM###MSH [SEP] 绵羊卡他热病毒###ET###CSP [SEP] 绵羊卡他热病毒###ET###MSH
C0006024	博尔纳病病毒（有机体）###FN###SNOMEDCT_US [SEP] 博尔纳病病毒###EQ###NCBI [SEP] 博尔纳病病毒###LPDN###LNC [SEP] 博尔纳病病毒###LPN###LNC [SEP] 博尔纳病病毒###MH###MSH [SEP] 博尔纳病病毒###PT###LCH_NW [SEP] 博尔纳病病毒###PT###SNOMEDCT_US [SEP] 博尔纳病病毒###SCN###NCBI [SEP] 脑脊髓炎病毒###ET###MSH [SEP] 酶性脑脊髓炎病毒###ET###MSH [SEP] 近东马脑脊髓炎病毒###ET###MSH
C0006063	牛腹泻病毒###CN###LNC [SEP] 牛腹泻病毒###ET###MSH [SEP] 牛腹泻病毒###LPDN###LNC [SEP] 牛腹泻病毒###LPN###LNC [SEP] 牛腹泻病毒###SY###SNOMEDCT_US [SEP] 牛腹泻病毒###PM###MSH [SEP] 牛腹泻病毒###SYGB###SNOMEDCT_US [SEP] 牛粘膜病病毒（有机体）###FN###SNOMEDCT_US [SEP] 牛粘膜病病毒###PT###SNOMEDCT_US [SEP] 牛瘟疫病毒###ET###MSH [SEP] 牛瘟疫病毒###PM###MSH [SEP] 牛病毒性腹泻病毒###ET###CSP [SEP] 牛病毒性腹泻病毒###PT###LCH_NW [SEP] 牛病毒性腹泻病毒###ET###MSH [SEP] 牛病毒性腹泻病毒###PN###MTH [SEP] 腹泻病毒###ET###MSH [SEP] 牛腹泻病毒###PM###MSH [SEP] 腹泻病毒，牛病毒###MH###MSH [SEP] 腹泻病毒，牛###PM###MSH [SEP] 粘膜病病毒###ET###CSP [SEP] 牛瘟疫病毒###PM###MSH [SEP] 病毒，牛腹泻###PM###MSH [SEP] 病毒、牛腹泻###PM###MSH
C0006069	BLV###ET###CSP [SEP] BLV###ET###MSH [SEP] blv###SY###CHV [SEP] 牛白血病病毒（BLV）###PT###CHV [SEP] 牛白血病病毒###EQ###NCBI [SEP] 牛白血病病毒###CN###LNC [SEP] 牛白血病病毒###ET###MSH [SEP] 牛白血病病毒###LPDN###LNC [SEP] 牛白血病病毒###LPN###LNC [SEP] 牛白血病病毒###PT###CSP [SEP] 牛白血病病毒###PT###LCH_NW [SEP] 牛白血病病毒###SCN###NCBI [SEP] 牛白血病病毒###SY###CHV [SEP] 牛白血病病毒###EQ###NCBI [SEP] 牛白血病病毒###ET###MSH [SEP] 牛白血病病毒###MH###MSH [SEP] 牛白血病病毒###PN###MTH [SEP] 白血病病毒，牛###PM###MSH [SEP] 牛白血病病毒###PM###MSH [SEP] 病毒，牛白血病###PM###MSH
C0006072	牛乳头瘤病毒（有机体）###FN###SNOMEDCT_US [SEP] 牛乳头状瘤病毒###PN###MTH [SEP] 牛乳头瘤病毒###PT###CSP [SEP] 牛乳头瘤病毒###PT###NCI [SEP] 牛乳头状瘤病毒###PT###SNOMEDCT_US [SEP] 牛乳头状瘤病毒###SCN###NCBI [SEP] BPV###SY###NCI
C0006074	阿勒顿病毒###EQ###NCBI [SEP] 阿勒顿病毒###ET###MSH [SEP] 阿勒顿病毒###SY###SNOMEDCT_US [SEP] BHM病毒###ET###MSH [SEP] 牛疱疹病毒2型###SY###SNOMEDCT_US [SEP] 牛（阿尔法）疱疹病毒2型###SY###SNOMEDCT_US [SEP] 牛α疱疹病毒2###ET###CSP [SEP] 牛α疱疹病毒2###SCN###NCBI [SEP] 牛乳头疱疹病毒###ET###MSH [SEP] 牛疱疹病毒2型（有机体）###FN###SNOMEDCT_US [SEP] 牛疱疹病毒2型###EQ###NCBI [SEP] 牛疱疹病毒2型###ET###MSH [SEP] 牛疱疹病毒2型###LPDN###LNC [SEP] 牛疱疹病毒2型###LPN###LNC [SEP] 牛疱疹病毒2型###PT###SNOMEDCT_US [SEP] 牛疱疹病毒2型###EQ###NCBI [SEP] 牛乳房炎病毒###ET###MSH [SEP] 牛乳房炎病毒###PM###MSH [SEP] 牛乳头炎病毒###ET###CSP [SEP] 牛乳头炎病毒###SY###SNOMEDCT_US [SEP] 牛溃疡性乳腺炎病毒###EQ###NCBI [SEP] 牛溃疡性乳腺炎病毒###ET###MSH [SEP] 牛乳头疱疹病毒###ET###MSH [SEP] 牛疱疹病毒2型（阿尔法）###ET###MSH [SEP] 牛疱疹病毒2型###MH###MSH [SEP] 牛乳房炎病毒###PM###MSH [SEP] 牛乳房炎病毒###PM###MSH [SEP] 牛溃疡性乳腺炎病毒###ET###MSH [SEP] 牛乳房炎病毒###PM###MSH [SEP] 病毒，牛乳腺炎###PM###MSH
C0006322	布鲁希尔德病毒###ET###MSH [SEP] 人类脊髓灰质炎病毒1（有机体）###FN###SNOMEDCT_US [SEP] 人类脊髓灰质炎病毒1###LA###LNC [SEP] 人类脊髓灰质炎病毒1###PEP###MSH [SEP] 人类脊髓灰质炎病毒1###PT###SNOMEDCT_US [SEP] 1型脊髓灰质炎病毒###ET###MSH
C0006394	布尼亚姆韦拉病毒（生物体）###FN###SNOMEDCT_US [SEP] 布尼亚姆韦拉病毒超群###ET###CSP [SEP] 布尼亚姆韦拉病毒###LPDN###LNC [SEP] 布尼亚姆韦拉病毒###LPN###LNC [SEP] 布尼亚姆韦拉病毒###MH###MSH [SEP] 布尼亚姆韦拉病毒###PN###MTH [SEP] 布尼亚姆韦拉病毒###PT###SNOMEDCT_US
C0006395	布尼亚病毒科###MH###MSH [SEP] 布尼亚病毒科###PN###MTH [SEP] 布尼亚病毒科###PT###CSP [SEP] 布尼亚病毒科###PT###NCI [SEP] 布尼亚病毒科###SY###SNOMEDCT_US [SEP] 布尼亚病毒群###SY###SNOMEDCT_VET [SEP] 布尼亚病毒###ET###CSP [SEP] 布尼亚病毒科（有机体）###FN###SNOMEDCT_US [SEP] 布尼亚病毒科###PT###SNOMEDCT_US
C0006562	C型肿瘤病毒###PM###MSH [SEP] C型肿瘤病毒###PM###MSH [SEP] 白细胞病毒###ET###CSP [SEP] 白细胞病毒###PM###MSH [SEP] 白血病病毒###ET###MSH [SEP] 白血病病毒###PN###MTH [SEP] C型肿瘤病毒###PM###MSH [SEP] C型肿瘤病毒###ET###MSH [SEP] C型肿瘤病毒###PM###MSH [SEP] C型肿瘤病毒###PEP###MSH
C0006752	杯状病毒科###ET###CSP [SEP] 杯状病毒科###MH###MSH [SEP] 杯状病毒科###PN###MTH [SEP] 杯状病毒科###PT###CHV [SEP] 杯状病毒科###PT###NCI [SEP] 杯状病毒科###PT###NCI_CDISC [SEP] 杯状病毒科###SCN###NCBI [SEP] 杯状病毒科###SY###SNOMEDCT_US [SEP] 杯状病毒家族###SY###SNOMEDCT_VET [SEP] 杯状病毒科（有机体）###FN###SNOMEDCT_US [SEP] 杯状病毒科###PT###SNOMEDCT_US
C0006755	加利福尼亚布尼亚病毒血清群###SY###SNOMEDCT_US [SEP] 加州脑炎病毒（有机体）###FN###SNOMEDCT_US [SEP] 加州脑炎病毒组###SY###SNOMEDCT_US [SEP] 加州脑炎病毒###ET###CSP [SEP] 加州脑炎病毒###ET###MSH [SEP] 加州脑炎病毒###LG###LNC [SEP] 加州脑炎病毒###LPDN###LNC [SEP] 加州脑炎病毒###LPN###LNC [SEP] 加州脑炎病毒###PT###SNOMEDCT_US [SEP] 加州脑炎病毒###ET###MSH [SEP] 加州群病毒###ET###MSH [SEP] 加州群病毒###PT###LCH_NW [SEP] 加利福尼亚血清群正布尼亚病毒（有机体）###FN###SNOMEDCT_US [SEP] 加利福尼亚血清群正布尼亚病毒###PT###SNOMEDCT_US [SEP] 加利福尼亚血清群病毒###LG###LNC [SEP] 加利福尼亚血清群病毒###LPN###LNC [SEP] 加利福尼亚血清群病毒###SY###SNOMEDCT_US [SEP] 加利福尼亚血清群###LPDN###LNC [SEP] 加利福尼亚病毒###ET###MSH [SEP] 加州脑炎病毒###MH###MSH [SEP] 加州脑炎病毒###ET###MSH [SEP] 拉克罗斯脑炎病毒###ET###MSH [SEP] 正布尼亚病毒加利福尼亚血清群###SY###SNOMEDCT_US [SEP] 血清群加利福尼亚###SY###SNOMEDCT_US
