C0003074	['Anion Gap']
C0362134	[]
C0362135	[]
C0362137	[]
C0362138	[]
C0362139	[]
C0362141	[]
C0362142	[]
C0362143	[]
C0362145	[]
C0362146	[]
C0362147	[]
C0362149	[]
C0362150	[]
C0362151	[]
C0362153	[]
C0362154	[]
C0362157	[]
C0362158	[]
C0362159	[]
C0362161	[]
C0362162	[]
C0362163	[]
C0362165	[]
C0362166	[]
C0362167	[]
C0362169	[]
C0362170	[]
C0362171	[]
C0362177	[]
C0362178	[]
C0362179	[]
C0362181	[]
C0362182	[]
C0362183	[]
C0362185	[]
C0362186	[]
C0362187	[]
C0362189	[]
C0362190	[]
C0362191	[]
C0362193	[]
C0362194	[]
C0362195	[]
C0362197	[]
C0362198	[]
C0362199	[]
C0362201	[]
C0362202	[]
C0362203	[]
C0362205	[]
C0362206	[]
C0362207	[]
C0362209	[]
C0362210	[]
C0362211	[]
C0362213	[]
C0362214	[]
C0362215	[]
C0362217	[]
C0362218	[]
C0362219	[]
C0362220	[]
C0362222	[]
C0362223	[]
C0362224	[]
C0362226	[]
C0362227	[]
C0362228	[]
C0362230	[]
C0362231	[]
C0362232	[]
C0362234	[]
C0362235	[]
C0362236	[]
C0362238	[]
C0362239	[]
C0362240	[]
C0362242	[]
C0362243	[]
C0362244	[]
C0362246	[]
C0362247	[]
C0362248	[]
C0362250	[]
C0362251	[]
C0362252	[]
C0362254	[]
C0362255	[]
C0362256	[]
C0362258	[]
C0362259	[]
C0362260	[]
C0362262	[]
C0362263	[]
C0362264	[]
C0362266	[]
C0362267	[]
C0362268	[]
C0362270	[]
C0362271	[]
C0362272	[]
C0362274	[]
C0362275	[]
C0362276	[]
C0362278	[]
C0362279	[]
C0362280	[]
C0362282	[]
C0362283	[]
C0362284	[]
C0362286	[]
C0362287	[]
C0362288	[]
C0362290	[]
C0362291	[]
C0362292	[]
C0362294	[]
C0362295	[]
C0362296	[]
C0362298	[]
C0362299	[]
C0362300	[]
C0362302	[]
C0362303	[]
C0362304	[]
C0362306	[]
C0362307	[]
C0362308	[]
C0362310	[]
C0362311	[]
C0362312	[]
C0362314	[]
C0362315	[]
C0362316	[]
C0362318	[]
C0362319	[]
C0362320	[]
C0362322	[]
C0362323	[]
C0362324	[]
C0362326	[]
C0362327	[]
C0362328	[]
C0362330	[]
C0362331	[]
C0362332	[]
C0362334	[]
C0362335	[]
C0362336	[]
C0362338	[]
C0362339	[]
C0362340	[]
C0362342	['5-fluorocytosine:Susceptibility:Point in time:Isolate:Quantitative or Ordinal:MINIMUM INHIBITORY CONCENTRATION']
C0362343	[]
C0362344	[]
C0362345	[]
C0362347	[]
C0362348	[]
C0362349	[]
C0362351	[]
C0362352	[]
C0362353	[]
C0362354	[]
C0362356	[]
C0362357	[]
C0362358	[]
C0362360	[]
C0362361	[]
C0362362	[]
C0362364	[]
C0362365	[]
C0362366	[]
C0362368	[]
C0362369	[]
C0362370	[]
C0362372	[]
C0362373	[]
C0362374	[]
C0362376	[]
C0362377	[]
C0362378	[]
C0362380	[]
C0362381	[]
C0362382	[]
C0362384	[]
C0362385	[]
C0362386	[]
C0362388	[]
C0362389	[]
C0362390	[]
C0362392	[]
C0362393	[]
C0362394	[]
C0362396	[]
C0362397	[]
C0362398	[]
C0362400	[]
C0362401	[]
C0362402	[]
C0362404	[]
C0362405	[]
C0362406	[]
C0362408	[]
C0362409	[]
C0362410	[]
C0362412	[]
C0362413	[]
C0362414	[]
C0362416	[]
C0362417	[]
C0362418	[]
C0362420	[]
C0362421	[]
C0362422	[]
C0362424	[]
C0362425	[]
C0362426	[]
C0362428	[]
C0362429	[]
C0362430	[]
C0362432	[]
C0362433	[]
C0362434	[]
C0362436	[]
C0362437	[]
C0362438	[]
C0362440	[]
C0362441	[]
C0362442	[]
C0362444	[]
C0362445	[]
C0362446	[]
C0362448	[]
C0362449	[]
C0362450	[]
C0362452	[]
C0362453	[]
C0362454	[]
C0362456	[]
C0362457	[]
C0362458	[]
C0362460	[]
C0362461	[]
C0362462	[]
C0362464	[]
C0362465	[]
C0362466	[]
C0362468	[]
C0362469	[]
C0362470	[]
C0362472	[]
C0362473	[]
C0362474	[]
C0362476	[]
C0362477	[]
C0362478	[]
C0362479	[]
C0362481	[]
C0362482	[]
C0362483	[]
C0362485	[]
C0362486	[]
C0362487	[]
C0362489	[]
C0362490	[]
C0362491	[]
C0362493	[]
C0362494	[]
C0362495	[]
C0362497	[]
C0362498	[]
C0362499	[]
C0362501	[]
C0362502	[]
C0362503	[]
C0362505	[]
C0362506	[]
C0362507	[]
C0362509	[]
C0362510	[]
C0362511	[]
C0362513	[]
C0362514	[]
C0362515	[]
C0362517	[]
C0362518	[]
C0362519	[]
C0362521	[]
C0362522	[]
C0362523	[]
C0362525	[]
C0362526	[]
C0362527	[]
C0362529	[]
C0362530	[]
C0362531	[]
C0362533	[]
C0362534	[]
C0362535	[]
C0362537	[]
C0362538	[]
C0362539	[]
C0362541	[]
C0362542	[]
C0362543	[]
C0362545	[]
C0362546	[]
C0362547	[]
C0362549	[]
C0362550	[]
C0362551	[]
C0362553	[]
C0362554	[]
C0362555	[]
C0362557	[]
C0362558	[]
C0362559	[]
C0362561	[]
C0362562	[]
C0362563	[]
C0362565	[]
C0362566	[]
C0362567	[]
C0362569	[]
C0362570	[]
C0362571	[]
C0362573	[]
C0362574	[]
C0362575	[]
C0362577	[]
C0362578	[]
C0362579	[]
C0362581	[]
C0362582	[]
C0362583	[]
C0362585	[]
C0362586	[]
C0362587	[]
C0362589	[]
C0362590	[]
C0362591	[]
C0362593	[]
C0362594	[]
C0362595	[]
C0362597	[]
C0362598	[]
C0362599	[]
C0362601	[]
C0362602	[]
C0362603	[]
C0362605	[]
C0362606	[]
C0362607	[]
C0362609	[]
C0362610	[]
C0362611	[]
C0362613	[]
C0362614	[]
C0362615	[]
C0362617	[]
C0362618	[]
C0362619	[]
C0362620	[]
C0362621	[]
C0362623	[]
C0362624	[]
C0362625	[]
C0362627	[]
C0362628	[]
C0362629	[]
C0362630	[]
C0362631	[]
C0362632	[]
C0362633	[]
C0362634	['Aureobasidium pullulans Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362635	['Budgerigar droppings Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362636	['Budgerigar feather Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362637	['Budgerigar serum proteins Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362638	[]
C0362639	[]
C0362640	[]
C0362641	[]
C0362642	['Hordeum vulgare Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362644	[]
C0362645	[]
C0362646	[]
C0362647	[]
C0362648	[]
C0362649	[]
C0362650	[]
C0362651	[]
C0362653	[]
C0362654	[]
C0362655	[]
C0362656	[]
C0362657	[]
C0362658	[]
C0362659	[]
C0362660	[]
C0362661	['Deprecated Budgerigar feather IgE Ab [Units/volume] in Serum']
C0362662	[]
C0362663	[]
C0362664	[]
C0362665	[]
C0362667	[]
C0362668	[]
C0362669	[]
C0362671	[]
C0362672	[]
C0362673	[]
C0362674	[]
C0362675	[]
C0362676	[]
C0362677	[]
C0362678	[]
C0362679	[]
C0362680	[]
C0362681	[]
C0362682	[]
C0362683	[]
C0362684	['Blatella germanica Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362685	['Theobroma cacao Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362686	[]
C0362687	[]
C0362688	[]
C0362689	[]
C0362690	['Ambrosia elatior Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362691	[]
C0362692	[]
C0362693	[]
C0362694	[]
C0362695	[]
C0362696	[]
C0362697	[]
C0362698	[]
C0362699	[]
C0362700	[]
C0362701	[]
C0362702	[]
C0362703	[]
C0362704	[]
C0362705	[]
C0362706	['Echinococcus sp Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362707	[]
C0362708	[]
C0362709	[]
C0362712	[]
C0362714	[]
C0362715	[]
C0362716	[]
C0362717	[]
C0362718	[]
C0362721	[]
C0362722	[]
C0362724	[]
C0362725	[]
C0362727	[]
C0362728	[]
C0362729	[]
C0362730	[]
C0362731	[]
C0362732	[]
C0362733	[]
C0362734	[]
C0362735	[]
C0362736	[]
C0362737	[]
C0362738	['Corylus avellana Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362739	[]
C0362740	[]
C0362741	[]
C0362742	[]
C0362743	[]
C0362744	[]
C0362745	[]
C0362747	['House dust Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362748	[]
C0362749	[]
C0362750	[]
C0362751	[]
C0362752	[]
C0362753	[]
C0362754	['Poa pratensis Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362755	[]
C0362756	[]
C0362757	[]
C0362758	[]
C0362759	[]
C0362760	[]
C0362762	[]
C0362763	[]
C0362764	[]
C0362766	[]
C0362767	[]
C0362768	[]
C0362769	[]
C0362771	[]
C0362772	[]
C0362774	[]
C0362775	[]
C0362776	['Panicum milliaceum Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362777	[]
C0362778	[]
C0362779	[]
C0362780	[]
C0362781	[]
C0362782	[]
C0362783	[]
C0362784	[]
C0362785	[]
C0362786	[]
C0362787	[]
C0362788	[]
C0362789	[]
C0362792	['Avena sativa cultivated Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362793	[]
C0362794	[]
C0362795	[]
C0362796	['Dactylis glomerata Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362797	[]
C0362798	[]
C0362800	[]
C0362801	[]
C0362802	[]
C0362803	[]
C0362804	[]
C0362805	[]
C0362806	[]
C0362807	[]
C0362808	[]
C0362811	[]
C0362812	[]
C0362813	[]
C0362814	[]
C0362815	[]
C0362816	['Deprecated Perennial rye grass IgE Ab [Units/volume] in Serum']
C0362817	[]
C0362818	[]
C0362819	[]
C0362820	[]
C0362822	[]
C0362823	[]
C0362824	[]
C0362825	[]
C0362826	[]
C0362827	[]
C0362828	[]
C0362830	[]
C0362831	[]
C0362832	[]
C0362833	[]
C0362834	[]
C0362835	[]
C0362836	['Secale cereale Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362838	[]
C0362839	[]
C0362841	[]
C0362842	[]
C0362843	[]
C0362844	[]
C0362845	[]
C0362846	[]
C0362847	[]
C0362848	[]
C0362850	[]
C0362851	[]
C0362852	[]
C0362853	[]
C0362855	[]
C0362856	['Lepidoglyphus destructor Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362857	[]
C0362858	[]
C0362862	[]
C0362863	[]
C0362865	[]
C0362866	[]
C0362867	[]
C0362868	[]
C0362869	[]
C0362870	[]
C0362871	[]
C0362872	[]
C0362873	[]
C0362874	[]
C0362875	[]
C0362876	[]
C0362877	[]
C0362879	[]
C0362880	['Bean white Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362881	[]
C0362884	['Elymus triticoides Antibody.immunoglobulin E:Arbitrary Concentration:Point in time:Serum:Quantitative']
C0362885	[]
C0362886	[]
C0362887	[]
C0362888	[]
C0362889	[]
C0362890	[]
C0362891	[]
C0362892	[]
C0362893	[]
C0362894	[]
C0362895	[]
C0362896	[]
C0362897	[]
C0362898	[]
C0362899	[]
C0362900	[]
C0362901	[]
C0362902	[]
C0362903	[]
C0362904	[]
C0362905	[]
C0362906	[]
C0362907	[]
C0362908	[]
C0362909	[]
C0362910	[]
C0362911	[]
C0362912	[]
C0362913	[]
C0362914	[]
C0362915	[]
C0362916	[]
C0362917	[]
C0362918	[]
C0362919	[]
C0362920	[]
C0362921	[]
C0362922	[]
C0362923	[]
C0362924	[]
C0362925	[]
C0362926	[]
C0362927	[]
C0362928	[]
C0362929	[]
C0362930	[]
C0362931	[]
C0362932	[]
C0362933	[]
C0362934	[]
C0362935	[]
C0362936	[]
C0362937	[]
C0362938	[]
C0362939	[]
C0362940	[]
C0362941	[]
C0362942	[]
C0362943	[]
C0362944	[]
C0362945	[]
C0362946	[]
C0362947	[]
C0362948	[]
C0362949	[]
C0362950	[]
C0362951	[]
C0362952	[]
C0362953	[]
C0362954	[]
C0362955	[]
C0362956	[]
C0362957	[]
C0362958	[]
C0362959	[]
C0362960	[]
C0362961	[]
C0362962	[]
C0362963	[]
C0362964	[]
C0362965	[]
C0362966	[]
C0362967	[]
C0362968	['Neutrophils # Bld Auto']
C0362969	[]
C0362970	[]
C0362971	['Neutrophils:Number Concentration (count/vol):Point in time:Cerebral spinal fluid:Quantitative:Manual count']
C0362972	[]
C0362973	[]
C0362974	[]
C0362975	[]
C0362976	[]
C0362977	[]
C0362978	[]
C0362979	[]
C0362980	[]
C0362981	[]
C0362982	[]
C0362983	[]
C0362984	[]
C0362985	[]
C0362986	[]
C0362987	[]
C0362988	[]
C0362989	[]
C0362990	[]
C0362991	[]
C0362992	[]
C0362993	[]
C0362994	['Platelet # Bld Auto']
C0362995	[]
C0362996	[]
C0362997	[]
C0362998	[]
C0362999	[]
C0363000	[]
C0363002	[]
C0363003	[]
C0363004	[]
C0363005	[]
C0363075	[]
C0363081	[]
C0363084	[]
C0363085	[]
C0363086	[]
C0363087	[]
C0363088	[]
C0363089	[]
C0363090	[]
C0363091	[]
C0363092	[]
C0363093	[]
C0363094	[]
C0363095	[]
C0363115	[]
C0363116	[]
C0363117	[]
C0363118	[]
C0363119	[]
C0363120	[]
C0363121	['Blood product release time:Time Stamp -- Date and Time:Point in time:^Blood product unit (Pack):Quantitative']
C0363122	[]
C0363123	[]
C0363124	[]
C0363126	[]
C0363127	[]
C0363128	[]
C0363153	['C Antibody:Arbitrary Concentration:Point in time:Serum/Plasma^Blood product unit (Pack):Ordinal']
C0363154	['C ANTIBODY:ARBITRARY CONCENTRATION:POINT IN TIME:SERUM/PLASMA^DONOR:ORDINAL']
C0363155	['C ANTIBODY:ARBITRARY CONCENTRATION:POINT IN TIME:SERUM/PLASMA:ORDINAL']
C0363156	['C ANTIGEN:ARBITRARY CONCENTRATION:POINT IN TIME:ERYTHROCYTES^BLOOD PRODUCT UNIT:ORDINAL']
C0363157	['C ANTIGEN:ARBITRARY CONCENTRATION:POINT IN TIME:ERYTHROCYTES^DONOR:ORDINAL']
C0363158	['C ANTIGEN:ARBITRARY CONCENTRATION:POINT IN TIME:ERYTHROCYTES:ORDINAL']
C0363183	[]
C0363184	[]
C0363229	[]
C0363230	[]
C0363243	['Hemolytic disease of newborn screen:Impression/interpretation of study:Point in time:Whole blood:Nominal']
C0363341	['little c Antibody:Arbitrary Concentration:Point in time:Serum/Plasma^Blood product unit (Pack):Ordinal']
C0363342	['little c Antibody:Arbitrary Concentration:Point in time:Serum/Plasma^Donor:Ordinal']
C0363343	['little c Antibody:Arbitrary Concentration:Point in time:Serum/Plasma:Ordinal']
C0363344	['little c ANTIGEN:ARBITRARY CONCENTRATION:POINT IN TIME:ERYTHROCYTES^BLOOD PRODUCT UNIT:ORDINAL']
C0363345	['little c ANTIGEN:ARBITRARY CONCENTRATION:POINT IN TIME:ERYTHROCYTES^DONOR:ORDINAL']
C0363346	['little c ANTIGEN:ARBITRARY CONCENTRATION:POINT IN TIME:ERYTHROCYTES:ORDINAL']
C0363413	[]
C0363414	[]
C0363415	[]
C0363416	[]
C0363417	[]
C0363418	[]
C0363449	[]
C0363450	[]
C0363454	[]
C0363457	['Transfusion duration:Time:LIFE OF THE UNIT:^Blood product unit (Pack):Quantitative']
C0363458	['Transfusion volume:Volume:LIFE OF THE UNIT:^Blood product unit (Pack):Quantitative']
C0363471	[]
C0363490	[]
C0363492	[]
C0363493	[]
C0363494	[]
C0363496	[]
C0363499	[]
C0363501	[]
C0363505	[]
C0363507	[]
C0363509	[]
C0363510	[]
C0363511	[]
C0363513	[]
C0363516	[]
C0363517	[]
C0363518	[]
C0363520	[]
C0363528	[]
C0363533	[]
C0363534	[]
C0363535	[]
C0363540	['Cortisol^1 hour post dose insulin Intravenous:Mass Concentration:Point in time:Serum/Plasma:Quantitative']
C0363542	[]
C0363547	[]
C0363549	[]
C0363554	['Cortisol^30 minutes post dose insulin Intravenous:Mass Concentration:Point in time:Serum/Plasma:Quantitative']
C0363558	[]
C0363559	[]
C0363563	[]
C0363566	[]
C0363568	[]
C0363569	[]
C0363570	[]
C0363573	[]
C0363574	[]
C0363575	[]
C0363576	[]
C0363589	[]
C0363594	[]
C0363599	[]
C0363600	[]
C0363602	[]
C0363603	[]
C0363604	[]
C0363606	[]
C0363607	[]
C0363609	[]
C0363610	[]
C0363611	[]
C0363613	[]
C0363614	[]
C0363615	[]
C0363616	[]
C0363617	[]
C0363618	[]
C0363619	[]
C0363620	[]
C0363621	[]
C0363622	[]
C0363623	[]
C0363625	[]
C0363626	[]
C0363627	[]
C0363628	[]
C0363629	[]
C0363631	[]
C0363632	[]
C0363633	[]
C0363634	[]
C0363635	[]
C0363636	[]
C0363637	[]
C0363638	[]
C0363639	[]
C0363640	[]
C0363641	[]
C0363642	[]
C0363643	[]
C0363644	['Glucose^1 hour post dose insulin Intravenous:Mass Concentration:Point in time:Serum/Plasma:Quantitative']
C0363645	[]
C0363646	[]
C0363647	[]
C0363648	[]
C0363649	[]
C0363650	[]
C0363651	[]
C0363652	[]
C0363653	[]
C0363655	[]
C0363656	[]
C0363658	[]
C0363659	[]
C0363661	['Glucose^30 minutes post dose insulin Intravenous:Mass Concentration:Point in time:Serum/Plasma:Quantitative']
C0363662	[]
C0363663	[]
C0363664	[]
C0363665	[]
C0363666	[]
C0363667	[]
C0363668	[]
C0363669	[]
C0363670	[]
C0363671	[]
C0363672	[]
C0363673	[]
C0363674	[]
C0363675	[]
C0363676	[]
C0363677	[]
C0363678	[]
C0363685	[]
C0363686	[]
C0363687	[]
C0363688	[]
C0363693	[]
C0363696	[]
C0363699	[]
C0363700	[]
C0363701	[]
C0363702	[]
C0363705	[]
C0363709	[]
C0363714	[]
C0363715	[]
C0363716	[]
C0363718	[]
C0363719	[]
C0363720	[]
C0363721	[]
C0363722	[]
C0363723	[]
C0363724	[]
C0363725	[]
C0363726	[]
C0363727	[]
C0363728	[]
C0363729	[]
C0363730	[]
C0363731	[]
C0363733	[]
C0363734	[]
C0363739	[]
C0363740	[]
C0363753	[]
C0363755	[]
C0363756	[]
C0363757	[]
C0363758	[]
C0363759	[]
C0363760	[]
C0363761	[]
C0363762	[]
C0363763	[]
C0363764	[]
C0363769	[]
C0363773	[]
C0363775	[]
C0363776	['Xylose^2 hours post 25 g xylose Oral:Mass Concentration:Point in time:Whole blood:Quantitative']
C0363777	[]
C0363778	[]
C0363779	[]
C0363780	[]
C0363783	[]
C0363784	[]
C0363785	[]
C0363786	[]
C0363787	[]
C0363788	[]
C0363789	[]
C0363790	[]
C0363791	[]
C0363792	[]
C0363793	[]
C0363794	[]
C0363795	[]
C0363796	[]
C0363797	[]
C0363798	[]
C0363799	[]
C0363800	[]
C0363801	[]
C0363802	[]
C0363803	[]
C0363804	[]
C0363806	['17-Ketogenic steroids:Mass Concentration:Point in time:Whole blood:Quantitative']
C0363807	[]
C0363808	[]
C0363809	[]
C0363810	[]
C0363811	[]
C0363812	[]
C0363813	[]
C0363814	[]
C0363815	[]
C0363817	[]
C0363818	[]
C0363819	[]
C0363820	[]
C0363821	[]
C0363822	[]
C0363823	[]
C0363824	[]
C0363825	[]
C0363826	[]
C0363827	[]
C0363828	[]
C0363829	[]
C0363830	[]
C0363831	[]
C0363832	[]
C0363833	[]
C0363834	[]
C0363835	[]
C0363836	[]
C0363837	[]
C0363838	[]
C0363839	[]
C0363840	[]
C0363841	[]
C0363842	[]
C0363843	[]
C0363844	[]
C0363845	[]
C0363846	[]
C0363847	[]
C0363848	[]
C0363849	[]
C0363850	[]
C0363851	[]
C0363852	[]
C0363853	[]
C0363854	[]
C0363856	[]
C0363857	[]
C0363858	[]
C0363859	[]
C0363860	[]
C0363861	[]
C0363862	[]
C0363863	[]
C0363864	[]
C0363865	[]
C0363866	[]
C0363867	[]
C0363869	[]
C0363870	[]
C0363871	[]
C0363872	[]
C0363873	[]
C0363874	[]
C0363875	[]
C0363876	[]
C0363877	[]
C0363878	[]
C0363879	[]
C0363880	[]
C0363881	[]
C0363882	[]
C0363883	[]
C0363884	[]
C0363885	[]
C0363886	[]
C0363887	[]
C0363888	[]
C0363889	[]
C0363890	['Albumin CSF/Albumin plasma:Relative Mass Concentration:Point in time:Plasma+Cerebral spinal fluid:Quantitative']
C0363891	['Albumin renal clearance:VRat:24H:Urine+Ser/Plas:Qn']
C0363892	[]
C0363893	[]
C0363894	[]
C0363895	[]
C0363896	[]
C0363897	['Aldosterone [Mass/volume] in Serum or Plasma']
C0363898	['Aldosterone [Mass/volume] in Urine']
C0363899	[]
C0363900	[]
C0363901	['Aldosterone [Mass/volume] in Serum or Plasma --supine']
C0363902	['Aldosterone^upright:Mass Concentration:Point in time:Serum/Plasma:Quantitative']
C0363904	[]
C0363905	[]
C0363906	[]
C0363907	[]
C0363908	[]
C0363909	[]
C0363910	[]
C0363911	[]
C0363912	[]
C0363913	[]
C0363914	['Alkaline phosphatase.placental:Catalytic Concentration:Point in time:Serum/Plasma:Quantitative']
C0363915	[]
C0363916	[]
C0363917	[]
C0363918	[]
C0363919	[]
C0363920	[]
C0363921	[]
C0363922	[]
C0363923	[]
C0363924	[]
C0363925	[]
C0363926	[]
C0363927	[]
C0363928	[]
C0363929	[]
C0363930	[]
C0363931	[]
C0363933	[]
C0363934	[]
C0363935	[]
C0363936	[]
C0363937	[]
C0363938	[]
C0363939	[]
C0363940	[]
C0363941	[]
C0363942	[]
C0363943	[]
C0363944	[]
C0363945	[]
C0363946	[]
C0363947	[]
C0363948	[]
C0363949	[]
C0363950	[]
C0363951	[]
C0363952	[]
C0363953	[]
C0363954	[]
C0363955	[]
C0363956	[]
C0363957	[]
C0363958	[]
C0363959	[]
C0363960	[]
C0363961	[]
C0363962	[]
C0363963	[]
C0363964	[]
C0363965	[]
C0363966	[]
C0363967	[]
C0363968	[]
C0363970	[]
C0363971	[]
C0363973	[]
C0363974	[]
C0363975	[]
C0363976	[]
C0363977	[]
C0363978	[]
C0363979	[]
C0363980	[]
C0363981	[]
C0363982	[]
C0363983	['Androstanolone [Mass/volume] in Serum or Plasma']
C0363984	[]
C0363985	[]
C0363986	[]
C0363987	[]
C0363988	[]
C0363989	['Androstenedione:MCnc:Pt:Ser/Plas:Qn']
C0363990	[]
C0363991	[]
C0363992	[]
C0363993	[]
C0363994	[]
C0363995	[]
C0363996	[]
C0363997	[]
C0363998	['Anion gap 4:SCnc:Pt:Ser/Plas:Qn']
C0363999	[]
C0364000	[]
C0364001	[]
C0364002	[]
C0364003	[]
C0364005	[]
C0364006	[]
C0364007	[]
C0364008	[]
C0364010	[]
C0364011	[]
C0364012	[]
C0364013	[]
C0364014	[]
C0364015	[]
C0364016	[]
C0364017	[]
C0364018	[]
C0364019	['Apolipoprotein B:Mass Concentration:Point in time:Serum/Plasma:Quantitative']
C0364020	[]
C0364021	[]
C0364022	[]
C0364023	[]
C0364024	[]
C0364025	[]
C0364026	[]
C0364027	[]
C0364028	[]
C0364029	[]
C0364030	[]
C0364031	[]
C0364032	[]
C0364033	[]
C0364034	[]
C0364035	[]
C0364036	[]
C0364037	[]
C0364039	[]
C0364040	[]
C0364041	[]
C0364042	[]
C0364043	[]
C0364044	[]
C0364045	[]
C0364046	[]
C0364047	[]
C0364048	[]
C0364049	[]
C0364050	[]
C0364051	[]
C0364052	[]
C0364053	[]
C0364054	[]
C0364055	[]
C0364056	[]
C0364057	['Base deficit:SCnc:Pt:BldA:Qn']
C0364058	[]
C0364059	['Base deficit:SCnc:Pt:BldV:Qn']
C0364060	[]
C0364061	['Base excess:Substance Concentration:Point in time:Blood capillary:Quantitative:Calculated']
C0364062	[]
C0364063	[]
C0364064	[]
C0364065	[]
C0364066	[]
C0364067	[]
C0364068	[]
C0364069	[]
C0364070	[]
C0364072	[]
C0364073	[]
C0364074	[]
C0364075	[]
C0364076	[]
C0364077	[]
C0364078	[]
C0364079	[]
C0364080	[]
C0364081	['Beta hydroxybutyrate dehydrogenase:Catalytic Concentration:Point in time:Serum/Plasma:Quantitative']
C0364082	[]
C0364083	[]
C0364084	[]
C0364085	[]
C0364086	[]
C0364087	[]
C0364088	[]
C0364089	[]
C0364090	[]
C0364091	[]
C0364092	[]
C0364093	[]
C0364094	[]
C0364095	[]
C0364096	[]
C0364097	[]
C0364098	[]
