C0000727	['急腹症']
C0030193	['疼痛']
C0030196	['四肢疼痛']
C0030197	['轨道区；疼痛']
C0030200	['顽固性疼痛']
C0030201	['术后疼痛']
C0030214	['腭肌阵挛']
C0030218	['腭麻痹']
C0030794	['骨盆疼痛（发现）']
C0032617	['排出尿过多']
C0032781	['鼻后分泌物']
C0033774	['过度抓挠']
C0033775	['肛门瘙痒']
C0033776	['妊娠期；瘙痒']
C0033777	['生殖器瘙痒']
C0033778	['发痒阴户']
C0034880	['听觉超敏']
C0034886	['直肠疼痛']
C0034915	['眼睛发红或分泌物']
C0036356	['与思维障碍相关的语言障碍（障碍）']
C0036396	['科图加诺病']
C0036572	['抽搐']
C0036660	['异常饥饿感']
C0037011	['肌肉骨骼肩痛']
C0037088	['临床发现']
C0037089	['消化道症状和体征']
C0037090	['肺部症状（症状）']
C0037219	['情境压力']
C0037285	['皮肤表现']
C0037317	['睡眠困难']
C0037383	['发现打喷嚏']
C0037384	['发现打鼾']
C0037763	['肌肉痉挛']
C0037771	['下肢无力，痉挛']
C0038450	['斯特里多（发现）']
C0038758	['磺胺不耐受']
C0039058	['病理状况、体征和症状']
C0039070	['袭击；昏厥']
C0039591	['睾丸疼痛']
C0040416	['Adie的瞳孔（大，反应缓慢）']
C0040460	['丹塔格拉']
C0040485	['颈部挛缩（诊断）']
C0040822	['震颤']
C0040823	['MDR中的震颤NEC']
C0040827	['土星地震（发现）']
C0041889	['与女性生殖器官有关的不明症状']
C0042256	['阴道瘙痒']
C0042571	['头晕']
C0042818	['视觉不适（诊断）']
C0042963	['呕吐']
C0042964	['预期性呕吐']
C0043066	['发现（水疹）']
C0043144	['报告的喘息（症状）']
C0085593	['阿圭']
C0085594	['寒战热']
C0085602	['总是口渴']
C0085606	['突然感到尿急（症状）']
C0085620	['松弛性麻痹（发现）']
C0085624	['烧灼感（发现）']
C0085625	['痛觉减退']
C0085631	['摇动']
C0085636	['他不喜欢光']
C0085641	['脓疱疹（形态异常）']
C0085923	['神经系统症状轻微']
C0086132	['抑郁症状']
C0086189	['戒断症状']
C0086395	['极度听力损失']
C0086525	['疲乏']
C0087169	['戒断症状']
C0149738	['神经性疼痛']
C0149741	['泌乳']
C0149746	['立位']
C0149751	['阴茎损伤（发现）']
C0149758	['牙列不良']
C0149793	['AF-黑蒙']
C0149840	['老年性震颤（诊断）']
C0150019	['单纯性便秘（发现）']
C0150055	['慢性疼痛（诊断）']
C0150841	['肌肉疼痛或无力']
C0151206	['头皮过敏']
C0151263	['腹部恶心疼痛']
C0151310	['普遍感觉异常']
C0151315	['颈椎僵硬（发现）']
C0151564	['齿轮肌肉硬度（发现）']
C0151726	['过敏性注射部位']
C0151767	['肝压痛']
C0151786	['肌力下降']
C0151791	['恶心、呕吐和腹泻（紊乱）']
C0151818	['阿片剂']
C0151825	['骨痛（弥漫性而非关节痛或关节炎）']
C0151826	['下胸胸痛（胸骨后）']
C0151827	['眼痛']
C0151828	['痛觉超敏注射部位']
C0151830	['绞痛；尿道']
C0151838	['口周感觉异常']
C0151908	['脱水皮肤']
C0151989	['排尿异常']
C0152029	['鼻窦充血（紊乱）']
C0152032	['开始排尿时延迟（发现）']
C0152116	['颈肌张力障碍']
C0152149	['经间疼痛']
C0152165	['持续性呕吐']
C0152169	['急性肾绞痛']
C0152228	['双腔隙症（诊断）']
C0152447	['异常尿道分泌物（症状）']
C0154693	['松弛性偏瘫（诊断）']
C0154729	['非典型面部疼痛（诊断）']
C0155001	['主观视觉障碍（障碍）']
C0155002	['急性失明']
C0155004	['形状和大小的视觉扭曲（诊断）']
C0155047	['双眼失明']
C0155066	['丧失视力，一只眼睛']
C0155204	['盖子收缩或滞后']
C0155227	['泪囊炎（诊断）']
C0155344	['共轭凝视痉挛']
C0155347	['注视发散异常（诊断）']
C0155382	['平稳追踪运动的缺陷（诊断）']
C0155533	['主观耳鸣（诊断）']
C0155534	['目的性耳鸣（诊断）']
C0155536	['声嘶力竭']
C0155542	['耳源性耳痛（诊断）']
C0156171	['胃肠外科；呕吐']
C0156317	['男性生殖器官水肿']
C0156323	['乳房体征和症状（发现）']
C0156324	['乳腺癌的其他体征和症状']
C0156401	['与女性生殖器官和月经周期有关的疼痛和其他症状']
C0156402	['与女性生殖器官有关的其他特定症状']
C0156405	['出血排卵']
C0156701	['妊娠晚期呕吐，分娩']
C0156703	['妊娠合并其他呕吐']
C0156709	['未指明的妊娠呕吐，分娩']
C0157536	['产褥热']
C0157724	['瘙痒及相关情况']
C0157725	['其他特定的瘙痒症状']
C0158157	['关节、其他指定部位渗出']
C0158194	['涉及其他指定部位的关节疼痛']
C0158205	['与关节相关的其他症状（诊断）']
C0158206	['其他与关节、肩部有关的症状']
C0158207	['与关节、上臂有关的其他症状']
C0158208	['与关节、前臂有关的其他症状']
C0158209	['与手关节有关的其他症状（诊断）']
C0158210	['其他与关节、骨盆和大腿有关的症状']
C0158211	['其他与关节、小腿有关的症状']
C0158212	['与关节、脚踝和脚有关的其他症状']
C0158213	['与关节、其他指定部位有关的其他症状']
C0158214	['与多个部位的关节有关的其他症状（诊断）']
C0158217	['涉及小腿关节的行走困难']
C0158297	['其他与背部有关的症状']
C0158369	['四肢肿胀']
C0159028	['一般症状（发现）']
C0159030	['失眠伴睡眠呼吸暂停（紊乱）']
C0159033	['涉及神经和肌肉骨骼系统的症状']
C0159034	['单瘫']
C0159036	['涉及神经和肌肉骨骼系统的其他症状']
C0159037	['涉及皮肤和表皮组织的其他症状']
C0159038	['苍白和脸红']
C0159040	['皮肤纹理的变化（症状）']
C0159043	['与营养、新陈代谢和发育有关的其他症状']
C0159045	['头部和颈部肿胀、肿块或肿块']
C0159049	['涉及心血管系统的症状']
C0159051	['没有提到创伤的休克']
C0159055	['胸部肿胀、肿块或肿块']
C0159056	['胸音异常']
C0159057	['其他涉及呼吸系统和胸部的症状']
C0159058	['涉及消化系统的症状']
C0159061	['其他涉及消化系统的症状']
C0159063	['其他排尿异常']
C0159064	['其他涉及泌尿系统的症状']
C0159065	['其他涉及腹部和骨盆的症状（症状）']
C0159066	['腹部肌肉僵硬']
C0159075	['乳糜尿（发现）']
C0162298	['关节刚度（发现）']
C0175848	['骶尾部脊柱疼痛']
C0178310	['问题征兆']
C0178419	['小腿抽筋肌肉']
C0178422	['抽筋的脚']
C0178782	['口腔面部疼痛']
C0184567	['急性发作性疼痛']
C0220870	['头晕-头晕']
C0221100	['宿醉（诊断）']
C0221150	['痛风']
C0221151	['射弹呕吐']
C0221161	['浅呼吸']
C0221166	['双腿无力']
C0221170	['肌肉僵硬（症状）']
C0221200	['Koplik斑（形态异常）']
C0221201	['黄斑疹（疾病）']
C0221232	['皮肤风团']
C0221261	['凹钉']
C0221423	['小病']
C0221490	['上腹痛']
C0221512	['胃痛']
C0221539	['改变意识短暂']
C0221540	['意识的其他改变']
C0221597	['局部关节疼痛从一个关节转移到另一个关节（症状）']
C0221727	['食管痛']
C0221730	['口周麻木']
C0221755	['腹部杂音（发现）']
C0221758	['背部僵硬']
C0221776	['口腔疼痛']
C0221785	['手腕疼痛']
C0231163	['全身功能异常（发现）']
C0231214	['模糊的功能性体征和症状（发现）']
C0231217	['多次投诉']
C0231218	['身体不适']
C0231230	['疲劳性（发现）']
C0231234	['乏力；衰老的']
C0231236	['劳累不足（发现）']
C0231239	['波动（发现）']
C0231243	['早期并发症']
C0231270	['人工发热']
C0231272	['歇斯底里热（发现）']
C0231327	['生物节律失调（发现）']
C0231384	['舒适度的改变：疼痛（发现）']
C0231385	['舒适度的改变：慢性疼痛（发现）']
C0231387	['急性疼痛自我管理缺陷（发现）']
C0231388	['慢性疼痛自我管理缺陷（发现）']
C0231436	['肌肉骨骼过度活动（发现）']
C0231438	['肌肉骨骼低活动度（发现）']
C0231440	['肌肉骨骼不动（发现）']
C0231443	['肌肉骨骼症状（发现）']
C0231450	['异常延伸（发现）']
C0231451	['超扩展（查找）']
C0231514	['局部痉挛（发现）']
C0231515	['弥漫性痉挛（发现）']
C0231521	['脱皮刚性']
C0231523	['中枢肌肉疲劳（发现）']
C0231524	['外周肌疲劳（发现）']
C0231525	['高频肌肉疲劳（发现）']
C0231526	['低频肌肉疲劳（发现）']
C0231527	['不协调；肌肉的']
C0231528	['肌肉酸痛']
C0231529	['肌腱疼痛']
C0231531	['肌颤']
C0231532	['腱索下（发现）']
C0231591	['抵抗运动（可观察实体）']
C0231592	['关节骨裂']
C0231599	['阿德森征']
C0231605	['拉斯格臂征']
C0231608	['腰带疼痛（发现）']
C0231610	['标志刺']
C0231611	['臂痛']
C0231612	['颈臂痛（发现）']
C0231613	['后脑勺头痛（枕部）']
C0231616	['比弗征']
C0231617	['捕获（发现）']
C0231618	['螺旋运动']
C0231619	['坐骨拉伸征（发现）']
C0231620	['拉塞格标志（发现）']
C0231621	['交叉抬腿标志（发现）']
C0231623	['股神经痛（发现）']
C0231629	['门铃标志（发现）']
C0231638	['盖恩斯伦征']
C0231649	['道伯恩标志']
C0231652	['撞击征（发现）']
C0231653	['卢丁顿征']
C0231654	['上臂外观大力水手征']
C0231655	['肩胛骨疼痛']
C0231656	['垫肩标志']
C0231661	['连枷肘（发现）']
C0231667	['手腕征（发现）']
C0231668	['鼓手麻痹症（发现）']
C0231673	['Kanavel四个基数符号']
C0231674	['挤奶夹']
C0231675	['手腕径向偏差（发现）']
C0231677	['斯坦伯格拇指征（发现）']
C0231678	['手腕尺侧偏斜（发现）']
C0231680	['旋前肌征']
C0231690	['蹒跚的步态']
C0231697	['步态-中度感觉运动障碍偏瘫间歇性双步']
C0231700	['双步步态（寻找）']
C0231701	['拖动到步态（查找）']
C0231702	['4点步态（发现）']
C0231703	['步态-摇摆']
C0231704	['步态-低水平感觉运动外周骨骼肌w\\/助行器3 pt']
C0231705	['步态-奥本海姆氏']
C0231706	['盘旋步态（寻找）']
C0231709	['布莱恩特标志']
C0231710	['臀部疼痛（症状）']
C0231711	['小丑的步态']
C0231712	['“蹒跚”步态']
C0231715	['伸肌倾斜']
C0231717	['连枷髋关节（发现）']
C0231718	['艾利斯征']
C0231725	['跛行的短腿']
C0231736	['画符号']
C0231742	['刺刀标志（发现）']
C0231745	['电影院标志（查找）']
C0231748	['扣紧']
C0231749	['膝盖疼痛']
C0231753	['膝锁']
C0231756	['漂浮髌骨']
C0231762	['耸肩标志（发现）']
C0231765	['威尔逊征']
C0231768	['前牵引征（发现）']
C0231769	['距骨倾斜（发现）']
C0231772	['烧脚']
C0231773	['跟骨步态（发现）']
C0231776	['腓骨漂移']
C0231779	['足跟-脚趾步态（发现）']
C0231780	['脚后跟疼痛（发现）']
C0231781	['霍曼征']
C0231785	['腕足痉挛']
C0231786	['足底跟痛（发现）']
C0231787	['脚跟后部疼痛（发现）']
C0231788	['足内旋']
C0231791	['足尖']
C0231792	['脚尖']
C0231803	['呼吸困难，I级（发现）']
C0231804	['2级呼吸困难']
C0231805	['三级呼吸困难']
C0231806	['呼吸困难，4级']
C0231807	['用力时呼吸困难']
C0231808	['进食后呼吸困难（发现）']
C0231809	['俯身呼吸困难（发现）']
C0231810	['举臂呼吸困难（发现）']
C0231811	['窒息']
C0231813	['脑膜炎呼吸（发现）']
C0231815	['蛙式呼吸']
C0231816	['肺滞后（发现）']
C0231818	['气道收缩（发现）']
C0231840	['呼吸暂停（发现）']
C0231841	['声嘶力竭的呼吸（发现）']
C0231846	['集群呼吸（发现）']
C0231851	['鱼嘴']
C0231852	['反常呼吸']
C0231857	['呼吸音小泡']
C0231859	['刺耳的呼吸声（发现）']
C0231860	['双相呼吸（发现）']
C0231862	['高音rhonchi（发现）']
C0231863	['低音rhonchi（发现）']
C0231867	['中度罗音（发现）']
C0231871	['低声胸语（物理发现）']
C0231874	['听诊喘息吸气']
C0231875	['听诊喘息呼气']
C0231876	['钟形金属共振']
C0231879	['杂音']
C0231880	['表面裂纹罗音（发现）']
C0231882	['超共振（发现）']
C0231886	['呼吸声的传播']
C0231890	['弗雷米特斯（发现）']
C0231891	['触觉性震颤（物理发现）']
C0231893	['胸膜摩擦性震颤（发现）']
C0231894	['Tussive fremitus（发现）']
C0231895	['Rhonchal fremitus（发现）']
C0231912	['夜间咳嗽（症状）']
C0231913	['清晨咳嗽']
C0231914	['休息时咳嗽（发现）']
C0231916	['吃东西后咳嗽']
C0231917	['姿势性咳嗽（发现）']
C0231918	['鼻腔症状（发现）']
C0231929	['急性换气不足（发现）']
C0231930	['慢性换气不足（发现）']
C0232054	['下咽括约肌功能（可观察实体）']
C0232081	['膈肌运动异常（发现）']
C0232082	['反常膈肌运动（发现）']
C0232083	['横膈颤振']
C0232085	['膈肌痉挛性收缩']
C0232086	['膈肌偏移（可观察实体）']
C0232107	['血压下降，而不是低血压']
C0232119	['三叉神经脉冲（发现）']
C0232126	['突变脉冲（发现）']
C0232127	['异位脉搏（发现）']
C0232130	['不稳定脉搏（发现）']
C0232168	['心脏运动障碍（发现）']
C0232170	['心房运动障碍（发现）']
C0232173	['反常的心壁运动（发现）']
C0232193	['起搏器节律']
C0232194	['人工起搏引起的心房节律（发现）']
C0232199	['胚胎贲门']
C0232209	['收缩过早的，交界的']
C0232246	['单次非喷射收缩点击（查找）']
C0232247	['多次非射血收缩性咔哒声（发现）']
C0232249	['心脏杂音，强度I\\/VI级（发现）']
C0232250	['心脏杂音，强度等级II\\/VI（发现）']
C0232251	['心脏杂音，强度III\\/VI级（发现）']
C0232253	['心脏杂音，强度等级V\\/VI（发现）']
C0232254	['心脏杂音，强度等级VI\\/VI（发现）']
C0232256	['器质性心脏杂音（发现）']
C0232276	['舒张期隆隆声（发现）']
C0232279	['心脏杂音，按形态分类']
C0232282	['渐强渐弱心脏杂音（发现）']
C0232283	['高原心脏杂音（发现）']
C0232285	['胸部隐痛']
C0232286	['胸前区胸痛']
C0232288	['胸痛劳累']
C0232289	['胸痛呈放射状']
C0232290	['胸痛']
C0232291	['胸膜心包性胸痛（发现）']
C0232292	['胸闷']
C0232369	['血管舒缩性低血压（发现）']
C0232373	['阵发性血管扩张（发现）']
C0232412	['头发缺失-无法生长（发现）']
C0232431	['冷汗（发现）']
C0232435	['甜美的水果气味（发现）']
C0232453	['皮肤滚动（发现）']
C0232454	['皱眉']
C0232455	['维拉古特褶皱']
C0232462	['食欲减退']
C0232476	['缺乏蠕动（发现）']
C0232486	['非特异性腹部症状（发现）']
C0232487	['腹部不适']
C0232491	['腹部慢性疼痛']
C0232492	['上腹部疼痛']
C0232493	['腹部上腹部疼痛']
C0232494	['上腹部灼痛（发现）']
C0232495	['下腹痛']
C0232496	['腹部痉挛性疼痛（发现）']
C0232497	['腹部非自愿监护（发现）']
C0232498	['腹部压痛']
C0232500	['腹部感觉过敏']
C0232502	['腹部脐带分泌物']
C0232504	['脐带痛']
C0232514	['牙齿打颤']
C0232517	['咕噜咕噜（寻找）']
C0232520	['吞咽缺失（发现）']
C0232533	['食管胸痛（发现）']
C0232535	['丸意识（发现）']
C0232536	['团注嵌塞（发现）']
C0232537	['食管绞痛（发现）']
C0232590	['胃张力（可观察实体）']
C0232593	['高血压性心脏括约肌痉挛（发现）']
C0232597	['急性呕吐（紊乱）']
C0232598	['慢性呕吐（紊乱）']
C0232601	['隐匿性呕吐（紊乱）']
C0232602	['干隆']
C0232603	['剧烈干呕（发现）']
C0232607	['慢性反流（发现）']
C0232608	['消化道鼻涕']
C0232609	['胆色素潴留（发现）']
C0232610	['胆色素返流（发现）']
C0232689	['肠胃胀气']
C0232698	['排便异常']
C0232717	['直肠感觉']
C0232719	['直肠乙状结肠连接过度活跃（发现）']
C0232721	['大便（发现）']
C0232726	['肠道急迫伴紧张（症状）']
C0232766	['Asterix（发现）']
C0232771	['胆汁中胆固醇结晶成核（发现）']
C0232847	['原发性遗尿']
C0232848	['继发性遗尿（诊断）']
C0232849	['膀胱疼痛（发现）']
C0232852	['正常尿流（发现）']
C0232854	['缓慢的尿流']
C0232855	['分叉流']
C0232857	['精神性排尿困难']
C0232861	['阴茎分泌物（发现）']
C0232894	['尿中气泡（症状）']
C0232943	['经间大出血（发现）']
C0232950	['阿托波美诺瑞亚']
C0232951	['肠道疾病']
C0232952	['胃病（紊乱）']
C0232953	['Helcomenia（疾病）']
C0232954	['脊髓损伤（疾病）']
C0232955	['月经失调']
C0232956	['乳突（紊乱）']
C0232957	['直肠脱垂（紊乱）']
C0232958	['口臭']
C0232959	['经前症状（发现）']
C0232960	['经前肿胀（发现）']
C0232962	['痛经（发现）']
C0232965	['月经期（发现）']
C0232968	['更年期问题（发现）']
C0232971	['绝经延迟（发现）']
C0232978	['精子沉着症（发现）']
C0232979	['精母细胞阻塞（发现）']
C0232982	['完全生精停滞（发现）']
C0232983	['不完全生精停滞（发现）']
C0233133	['剧烈子宫收缩（发现）']
C0233134	['子宫收缩倒转（发现）']
C0233135	['子宫收缩的眼底优势（发现）']
C0233136	['子宫收缩']
C0233138	['子宫协调失调-一级']
C0233179	['与妊娠有关的临床症状（发现）']
C0233181	['子宫皱纹（发现）']
C0233182	['哈尔班征']
C0233183	['阿尔菲尔德标志']
C0233184	['听诊体征（发现）']
C0233186	['布劳恩·冯·范瓦尔德征']
C0233187	['布拉克斯顿希克斯']
C0233189	['古德尔征']
C0233191	['赫加征']
C0233192	['拉丁征']
C0233193	['胎儿蛋奶酥（发现）']
C0233194	['子宫蛋奶酥（发现）']
C0233195	['皮斯卡切克征']
C0233196	['奥西安德征']
C0233197	['塔尼尔征']
C0233198	['麦克林托克征']
C0233200	['腹部卡伦征（脐周蓝色变色）']
C0233201	['丹福思征']
C0233202	['坎特征']
C0233203	['品纳德标志']
C0233204	['卡尔金征']
C0233205	['光环征（发现）']
C0233206	['罗伯特标志']
C0233207	['斯伯丁-霍纳征（发现）']
C0233210	['下压反射（查找）']
C0233212	['加冕（发现）']
C0233215	['母亲体重增加过多（发现）']
C0233220	['胎儿活动改变（发现）']
C0233221	['胎儿血统（发现）']
C0233222	['胎儿脱离（发现）']
C0233226	['胎儿延伸']
C0233227	['胎儿侧弯（发现）']
C0233228	['胎儿普遍屈曲（发现）']
C0233229	['胎儿浮头屈曲（发现）']
C0233231	['胎儿外旋转（发现）']
C0233232	['胎儿内旋转（发现）']
C0233233	['胎儿过度旋转（发现）']
C0233239	['胎儿宫内哭闹']
C0233240	['胎儿体征']
C0233389	['乳房亚对合']
C0233390	['哺乳后乳房退化']
C0233395	['心理迹象或症状（发现）']
C0233396	['心理体征（发现）']
C0233397	['心理症状（发现）']
C0233399	['精神症状或体征（发现）']
C0233400	['精神症状（发现）']
C0233401	['精神症状']
C0233404	['无感觉']
C0233407	['迷失方向']
C0233457	['过度情绪（发现）']
C0233458	['情绪低落（发现）']
C0233468	['不恰当的幽默（发现）']
C0233473	['不愉快的影响（发现）']
C0233474	['愉悦的情感（发现）']
C0233480	['过度易怒（发现）']
C0233488	['绝望']
C0233509	['情绪性嗜睡（发现）']
C0233536	['覆盖行为（发现）']
C0233562	['运动障碍']
C0233565	['运动迟缓（发现）']
C0233576	['表现出的行为举止']
C0233608	['紧张性强直（发现）']
C0233612	['柔韧小脑']
C0233647	['新词（发现）']
C0233726	['失调症']
C0233756	['多处身体不适']
C0233759	['初级幻觉（发现）']
C0233762	['幻听（物理发现）']
C0233763	['幻觉视觉']
C0233765	['幻觉嗅觉']
C0233766	['味觉幻觉（物理发现）']
C0233767	['幻觉触觉']
C0233769	['弱视（障碍）']
C0233773	['幻觉']
C0233775	['幻觉情绪一致（物理发现）']
C0233776	['幻觉情绪不一致（身体检查）']
C0233844	['尴尬']
C0233895	['性欲减退（症状）']
C0233973	['勃起痛']
C0233993	['性相关问题（发现）']
C0234132	['异常锥体征']
C0234133	['锥体外系运动功能异常']
C0234161	['运动障碍（可观察实体）']
C0234163	['反弹性构音障碍（发现）']
C0234165	['子宫缩小（发现）']
C0234166	['神经丛亢进']
C0234178	['克尼格征']
C0234179	['布鲁金斯基征']
C0234188	['触觉麻醉']
C0234190	['热性感觉减退']
C0234191	['热麻醉']
C0234202	['无痒感（发现）']
C0234213	['去传入']
C0234215	['感觉不适（发现）']
C0234228	['浅表疼痛（发现）']
C0234229	['深痛（发现）']
C0234230	['灼痛']
C0234233	['疼痛']
C0234235	['组织敏感性（发现）']
C0234238	['疼痛']
C0234241	['对痛苦漠不关心（发现）']
C0234242	['疼痛和温柔']
C0234243	['中枢性疼痛（发现）']
C0234244	['躯体疼痛']
C0234245	['自主性疼痛']
C0234246	['腹部反跳痛']
C0234248	['回忆性神经痛（发现）']
C0234250	['疼痛指']
C0234251	['炎性疼痛（发现）']
C0234252	['机械性疼痛（发现）']
C0234253	['休息时疼痛']
C0234254	['疼痛放射']
C0234255	['夜痛（发现）']
C0234259	['高渗']
C0234261	['对个人气味的敏感性（发现）']
C0234355	['精神错乱（发现）']
C0234357	['绝热收缩']
C0234362	['突触']
C0234363	['舞蹈病；偏瘫后']
C0234366	['共济失调']
C0234367	['单肢共济失调（发现）']
C0234369	['不由自主的颤抖']
C0234370	['持续性震颤（发现）']
C0234371	['持续性震颤（发现）']
C0234372	['间歇性震颤（发现）']
C0234373	['细震（发现）']
C0234374	['粗震（发现）']
C0234375	['大地震（发现）']
C0234376	['动作震颤（物理发现）']
C0234377	['被动震颤（发现）']
C0234378	['姿势性震颤']
C0234379	['静止震颤']
C0234380	['偏瘫后震颤（发现）']
C0234381	['黑暗震颤（寻找）']
C0234382	['中毒性震颤（发现）']
C0234383	['阿片咽震颤（发现）']
C0234435	['夏科眩晕']
C0234461	['失语症']
C0234502	['视觉失认症']
C0234532	['抽搐']
C0234542	['癫痫先兆']
C0234544	['瘫痪，托德']
C0234615	['绳索标志（发现）']
C0234616	['空三角符号（查找）']
C0234642	['高尔眼征']
C0234655	['燃烧；眼睛']
C0234656	['眼周疼痛（发现）']
C0234657	['眼睛热的感觉（发现）']
C0234658	['眼睛有沙子或异物的感觉（发现）']
C0234659	['眼睑感觉沉重（发现）']
C0234660	['眼睛容易疲劳（寻找）']
C0234664	['眼睑松弛']
C0234666	['眼部危象（发现）']
C0234705	['视觉球差（发现）']
C0234706	['视觉色差（发现）']
C0234750	['感觉一切都在旋转']
C0234760	['双酚a']
C0234761	['双音症（发现）']
C0234764	['两性声音（发现）']
C0234765	['太监的声音（发现）']
C0234767	['紧张的窒息的声音（发现）']
C0234769	['嗓音病理改变（发现）']
C0234793	['音调过低（查找）']
C0234804	['刺耳的声音质量（查找）']
C0234807	['嗓音弹性异常（发现）']
C0234835	['口腔内压降低（发现）']
C0234836	['代偿性发音替代（发现）']
C0234837	['代偿性发声替代（发现）']
C0234838	['声门擦音']
C0234839	['咽止点']
C0234840	['咽摩擦音']
C0234841	['帆摩擦音']
C0234842	['后鼻音擦音']
C0234843	['中背腭止点']
C0234848	['鼻腔空气排放（可观察实体）']
C0234849	['元音和浊音辅音的高鼻音（发现）']
C0234850	['压力辅音的鼻发射（发现）']
C0234851	['弱压力辅音（发现）']
C0234852	['鼻鬼脸（发现）']
C0234854	['与说话相关的鼻腔和面部表情（发现）']
C0234862	['唐氏综合症']
C0234863	['喘息性喘鸣（发现）']
C0234865	['振动颤振（可观察实体）']
C0234867	['尖声啼叫（发现）']
C0234868	['不自觉的语言或噪音（症状）']
C0234912	['唇痒']
C0234913	['红斑；皮疹']
C0234952	['口咽痉挛']
C0234966	['无定向']
C0234979	['执行快速和交替动作有困难']
C0234981	['摸索']
C0234992	['急性运动障碍']
C0235002	['头部不适']
C0235004	['头部压力感']
C0235005	['头部紧绷']
