C0000742	['阿贝尔森白血病病毒']
C0022551	['凯梅罗沃病毒（有机体）']
C0022722	['Kirsten小鼠肉瘤病毒（有机体）']
C0022803	['库鲁剂（有机体）']
C0022811	['Kyasanur森林病病毒（生物体）']
C0022858	['拉克罗斯病毒（有机体）']
C0022921	['酶升高病毒（LDH）']
C0023002	['兰格黄病毒']
C0023093	['拉沙热病毒']
C0023104	['基勒姆大鼠病毒（有机体）']
C0023336	['疱疹病毒1型']
C0023500	['白血病病毒']
C0024026	['娄平病病毒（有机体）']
C0024107	['块状皮肤病病毒（有机体）']
C0024267	['LCM-淋巴细胞性脉络膜脑膜炎病毒']
C0024308	['禽淋巴瘤病毒']
C0024662	['比特纳病毒']
C0024787	['法兰克福马尔堡综合征病毒']
C0024794	['鸡麻痹病毒']
C0024832	['疱疹T病毒']
C0024864	['梅森辉瑞猴病毒']
C0025011	['细胞相关亚急性硬化性全脑炎']
C0025279	['门戈病毒（有机体）']
C0026180	['MCF病毒']
C0026181	['水貂脑病病毒']
C0026200	['小鼠微小病毒（有机体）']
C0026394	['MCV']
C0026398	['白血病病毒']
C0026399	['MMSV']
C0026432	['猴痘病毒']
C0026433	['猴逆转录病毒']
C0026577	['花叶病毒']
C0026626	['小鼠白血病病毒']
C0026630	['小鼠肉瘤病毒']
C0026631	['小鼠肿瘤病毒']
C0026783	['流行性腮腺炎病毒']
C0026808	['默里谷脑炎病毒']
C0026911	['分枝杆菌噬菌体']
C0026979	['禽骨髓母细胞病病毒']
C0027150	['粘液瘤病毒（有机体）']
C0027160	['粘液病毒']
C0027346	['内罗毕绵羊病病毒（生物体）']
C0027610	['牛冠状病毒（生物体）']
C0027984	['禽avulavirus 1']
C0028422	['诺沃克特工']
C0028586	['核型多角体病毒属（有机体）']
C0028996	['鄂木斯克出血热病毒']
C0029017	['致癌病毒']
C0029020	['溶瘤病毒']
C0029200	['羊传染性脓肿病毒']
C0029341	['正粘病毒科（有机体）']
C0029343	['禽流感病毒']
C0029344	['人流感粘液病毒']
C0029345	['猪流感黏液病毒A']
C0029347	['FLUAV']
C0029348	['FLUBV']
C0029349	['伽马流感病毒']
C0030358	['乳头瘤病毒属（有机体）']
C0030390	['血吸附2型病毒']
C0030391	['急性喉气管支气管炎病毒']
C0030392	['血吸附病毒1']
C0030393	['副流感病毒']
C0030465	['副粘病毒科（有机体）']
C0030531	['挤奶器节点病毒']
C0030617	['细小病毒科（有机体）']
C0031254	['鼠疫病毒属（有机体）']
C0031298	['λ噬菌体']
C0031299	['噬菌体μ']
C0031301	['肠杆菌噬菌体Mu 2']
C0031303	['噬菌体phi X 174']
C0031886	['小核糖核酸科（有机体）']
C0032092	['植食性']
C0032237	['博恩霍尔姆病病毒']
C0032556	['多瘤病毒属（有机体）']
C0032859	['波瓦桑黄病毒']
C0032868	['痘病毒科（有机体）']
C0033840	['甲型疱疹病毒伪狂犬病病毒']
C0034492	['兔痘病毒']
C0034497	['狂犬病溶血酶病毒']
C0034725	['白血病病毒']
C0035111	['呼肠孤病毒科（有机体）']
C0035113	['哺乳动物正呼肠孤病毒3（有机体）']
C0035236	['呼吸道合胞病毒（RSV）']
C0035366	['逆转录病毒科（有机体）']
C0035414	['子弹状病毒群']
C0035473	['鼻病毒']
C0035614	['裂谷热病毒（有机体）']
C0035638	['牛瘟麻疹病毒']
C0035674	['噬菌体rna']
C0035686	['RNA啮齿动物病毒']
C0035691	['核糖核酸病毒（有机体）']
C0035866	['罗斯河病毒（有机体）']
C0035870	['轮状病毒属（有机体）']
C0035880	['罗非斯相关病毒']
C0035924	['德国麻疹病毒']
C0036018	['萨博病毒（有机体）']
C0036123	['沙门氏菌噬菌体']
C0036169	['桑戈病毒（有机体）']
C0036238	['相关病毒']
C0036636	['塞姆利基森林病毒（有机体）']
C0036638	['日本血凝病毒']
C0036990	['纤维瘤病毒，兔']
C0036991	['棉尾兔（SHOPE）乳头瘤病毒']
C0037137	['布尼亚病毒血清群Simbu（有机体）']
C0037141	['猿猴逆转录病毒']
C0037144	['猴肉瘤病毒']
C0037170	['辛德比斯病毒（有机体）']
C0037224	['黑猩猩免疫缺陷病毒（SIV（CPZ））']
C0037356	['痘疹病毒']
C0037994	['焦点形成病毒，脾脏']
C0038102	['SSPE病毒-亚急性硬化性全脑炎病毒']
C0038163	['噬菌体，葡萄球菌']
C0038344	['猴T淋巴细胞嗜性病毒1']
C0038975	['猕猴多瘤病毒1']
C0039202	['噬菌体T']
C0039258	['塔希纳病毒（有机体）']
C0040074	['胸腺群病毒']
C0040333	['烟草花叶病毒']
C0040360	['科：托加病毒科']
C0042216	['药用痘病毒']
C0042338	['水痘病毒']
C0042565	['脊椎动物——病毒']
C0042566	['未分配病毒']
C0042587	['口炎水泡病毒']
C0042761	['类病毒（生物体）']
C0042776	['维拉']
C0042803	['梅迪病毒']
C0043125	['埃及101病毒']
C0043384	['雅巴猴肿瘤痘病毒（有机体）']
C0043396	['发热病毒黄色']
C0043529	['噬虫亚科']
C0051223	['别列维病毒']
C0079005	['杆状病毒']
C0079031	['比夫']
C0079033	['牛泡沫病毒（有机体）']
C0079034	['茧蜂病毒']
C0079082	['山羊关节炎脑炎病毒']
C0079337	['猫艾滋病病毒']
C0079338	['猫泡沫病毒']
C0079350	['成纤维细胞病毒，人，永久性']
C0079500	['肝炎病毒属（有机体）']
C0079506	['单纯疱疹病毒7']
C0079679	['慢病毒属（有机体）']
C0079936	['肿瘤病毒']
C0079938	['哺乳动物B型肿瘤病毒组']
C0079940	['肿瘤病毒，D型']
C0079947	['稻瘟病毒']
C0080133	['猿猴逆转录病毒1（有机体）']
C0080134	['猿猴逆转录病毒2（有机体）']
C0080153	['黑猩猩泡沫病毒（生物体）']
C0080180	['泡沫逆转录病毒']
C0084126	['多病毒科']
C0085150	['丝状病毒科（有机体）']
C0085266	['白血病病毒']
C0085274	['b19人细小病毒']
C0085294	['戊型肝炎病毒（HEV）']
C0085305	['猫传染性腹膜炎病毒（机体）']
C0085377	['布尼亚病毒']
C0085381	['奈罗病毒属（有机体）']
C0085391	['重组病毒']
C0085512	['托病毒属（有机体）']
C0085883	['伯尔尼病毒']
C0085925	['牛托病毒（有机体）']
C0085995	['鸡肿瘤1病毒']
C0086070	['A24变种柯萨奇病毒']
C0086097	['丹麦粒子']
C0086114	['双核病毒']
C0086229	['肠病毒70']
C0086368	['涂鸦氯白血病株']
C0086384	['流行性出血热病毒']
C0086427	['HTLV（病毒）']
C0086459	['水貂肠炎病毒']
C0086645	['小鼠胸腺病毒']
C0086776	['细小病毒属（有机体）']
C0086943	['肉瘤病毒（有机体）']
C0086971	['流行性出血热病毒']
C0162332	['兔出血性疾病病毒']
C0162333	['圣米格尔海狮病毒（有机体）']
C0162334	['猪水泡疹病毒']
C0162540	['噬菌体P22']
C0162541	['噬菌体P1']
C0162543	['芽孢杆菌噬菌体phi-105']
C0162544	['芽孢杆菌噬菌体phi-29']
C0162545	['芽孢杆菌噬菌体']
C0162546	['噬菌体M13']
C0162547	['假单胞菌噬菌体']
C0162548	['噬菌体，链球菌']
C0162570	['噬菌体T4']
C0162571	['噬菌体T7']
C0162573	['噬菌体phi 6']
C0178634	['猫白血病\\/肉瘤病毒']
C0205652	['人类腺病毒2（有机体）']
C0205660	['巴尔马森林病毒（生物）']
C0205661	['盖塔病毒（有机体）']
C0205662	['奥克尔博病毒（有机体）']
C0205676	['T病毒']
C0205725	['巨细胞病毒']
C0205762	['猫传染性肠炎病毒']
C0205790	['汉坦病毒']
C0205809	['氯脊病毒']
C0205811	['淋巴囊病毒属（有机体）']
C0205891	['噬菌体HK022']
C0205933	['水呼肠孤病毒']
C0205934	['CPV（细胞质多角体病毒）']
C0205935	['斐济病毒']
C0205936	['植物呼肠孤病毒属（有机体）']
C0205937	['水生呼肠孤病毒']
C0205939	['感冒常见病毒']
C0205940	['柯里萨病毒']
C0206037	['扁豆病毒科']
C0206038	['Spumavirine']
C0206041	['沙蝇热西西里病毒（有机体）']
C0206043	['囊状病毒']
C0206179	['骑士']
C0206259	['卡拉病毒']
C0206261	['克隆病毒']
C0206262	['双子病毒科（生物）']
C0206264	['大麦黄矮病毒']
C0206265	['苜蓿花叶病毒（生物）']
C0206266	['豇豆褪绿斑驳病毒']
C0206267	['溴病毒']
C0206268	['茎病毒']
C0206271	['共病毒']
C0206272	['黄瓜花叶病毒组']
C0206273	['马铃薯Y病毒']
C0206274	['李痘马铃薯Y病毒']
C0206276	['鼓膜病毒']
C0206346	['尼泊尔病毒']
C0206348	['藻类病毒']
C0206349	['马铃薯X病毒属（有机体）']
C0206350	['汤姆巴斯病毒']
C0206351	['番茄斑点萎蔫病毒']
C0206352	['托斯波病毒属（有机体）']
C0206375	['烟草科']
C0206376	['有尾噬菌体目']
C0206377	['噬菌体T2']
C0206378	['肌病毒科（有机体）']
C0206379	['噬菌体P2']
C0206380	['噬菌体N4']
C0206381	['短尾噬菌体']
C0206382	['噬菌体T3']
C0206387	['魟魟科<魟魟科>']
C0206388	['列维病毒科（有机体）']
C0206389	['别病毒亚群III']
C0206390	['噬菌体MS2']
C0206391	['列维病毒属（有机体）']
C0206392	['囊病毒科']
C0206393	['病毒科（有机体）']
C0206394	['噬菌体fd']
C0206395	['类噬菌体']
C0206396	['噬菌体Pf1']
C0206397	['丝状噬菌体']
C0206398	['胸膜病毒']
C0206399	['微毛科（有机体）']
C0206400	['噬菌体G4']
C0206401	['微病毒属（有机体）']
C0206402	['顶盖病毒']
C0206403	['盖螨科']
C0206404	['乙型肝炎病毒']
C0206406	['正庚病毒属（有机体）']
C0206407	['乙型肝炎病毒，土拨鼠']
C0206409	['乳腺腺病毒属（有机体）']
C0206410	['喙羽病病毒']
C0206411	['猪圆环病毒']
C0206412	['圆环病毒']
C0206413	['杯状病毒']
C0206418	['猪血凝性脑脊髓炎病毒']
C0206419	['冠状病毒']
C0206421	['犬冠状病毒（有机体）']
C0206422	['冠状病毒人']
C0206423	['冠状病毒，大鼠']
C0206424	['心脏病毒']
C0206425	['脑脊髓炎病毒，小鼠，泰勒']
C0206426	['MM病毒']
C0206433	['人类脊髓灰质炎病毒2（有机体）']
C0206434	['人类脊髓灰质炎病毒3（有机体）']
C0206435	['肠病毒C']
C0206437	['甲型肝炎病毒，人类']
C0206438	['免疫缺陷病毒，灵长类']
C0206439	['牛慢病毒组（生物体）']
C0206440	['马慢病毒组（生物体）']
C0206444	['猫慢病毒组（生物体）']
C0206447	['慢病毒']
C0206452	['BLV-HTLV病毒']
C0206462	['禽（网状内皮组织增生症）病毒组']
C0206464	['伽马逆转录病毒']
C0206465	['加尔夫']
C0206466	['犬细小病毒（有机体）']
C0206467	['虹彩病毒属（有机体）']
C0206468	['青蛙病毒3（生物体）']
C0206469	['青蛙病毒组']
C0206470	['虫痘病毒科']
C0206485	['动脉病毒（有机体）']
C0206496	['旧大陆沙粒病毒']
C0206497	['沙粒病毒']
C0206498	['卡利马伦那病毒']
C0206505	['病毒科']
C0206506	['伯纳病毒']
C0206507	['传染性胰腺坏死病毒（有机体）']
C0206508	['杜格贝·奈罗维鲁斯']
C0206509	['Uukuniemi群病毒']
C0206510	['黄病毒科（生物体）']
C0206519	['边境病病毒（生物体）']
C0206531	['单负离子']
C0206532	['丝状病毒']
C0206533	['副粘病毒科']
C0206534	['肺病毒科']
C0206536	['麻疹病毒属（有机体）']
C0206537	['犬瘟热病毒']
C0206538	['小反刍动物鼠疫病毒']
C0206539	['呼吸病毒属（有机体）']
C0206540	['禽副粘病毒']
C0206541	['小鼠肺炎病毒']
C0206542	['禽偏肺病毒（有机体）']
C0206543	['肺病毒属（有机体）']
C0206544	['牛正肺病毒']
C0206545	['hRSV']
C0206546	['溶血病病毒属（有机体）']
C0206547	['牛短命热病毒（生物体）']
C0206548	['水泡病毒属']
C0206549	['多里拉哥特病毒']
C0206550	['Thogoto thogotovirus']
C0206551	['拉哥特病毒属（有机体）']
C0206555	['属：风疹病毒']
C0206556	['圆环病毒科']
C0206557	['甲疱疹病毒科']
C0206558	['简单病毒属（有机体）']
C0206559	['水痘病毒属（有机体）']
C0206560	['贝塔赫佩斯病毒科']
C0206561	['Gammaherpesvirinae']
C0206562	['淋巴隐病毒属（有机体）']
C0206563	['疱疹病毒']
C0206564	['鼠李病毒属（有机体）']
C0206569	['Muromegalovirus属（有机体）']
C0206570	['脊索病毒科']
C0206571	['猪痘病毒']
C0206572	['猪痘病毒属（有机体）']
C0206573	['禽痘病毒']
C0206574	['山羊痘病毒']
C0206575	['绵羊痘病毒']
C0206576	['山羊痘病毒']
C0206577	['麻风痘病毒属（生物）']
C0206580	['正痘病毒属（有机体）']
C0206583	['副痘病毒属（有机体）']
C0206584	['Tanapox病毒（生物体）']
C0206585	['雅塔痘病毒属（有机体）']
C0206590	['科罗拉多壁虱热病毒']
C0206591	['帕利亚姆病毒（生物体）']
C0206592	['环状病毒属（有机体）']
C0206593	['流行性出血病病毒']
C0206596	['正呼肠孤病毒属（有机体）']
C0206598	['软体动物病毒属（有机体）']
C0206679	['1单纯疱疹病毒']
C0206748	['昆津病毒（生物体）']
C0206749	['日本脑炎病毒']
C0220847	['丙型肝炎病毒']
C0238283	['莫科拉·利萨维鲁斯']
C0242169	['腺病毒1，家禽']
C0242593	['肾综合征出血热病毒']
C0242923	['短管病毒']
C0242924	['短小核糖核酸病毒']
C0282472	['禽痘病毒分支B1']
C0300964	['哈特公园病毒（生物体）']
C0302606	['猿猴病毒']
C0318356	['人类病毒（有机体）']
C0318357	['牛海绵状脑病制剂（有机体）']
C0318363	['禽肠病毒（肠道病毒）']
C0318365	['人类柯萨奇病毒A1（有机体）']
C0318366	['人类柯萨奇病毒A2（生物体）']
C0318367	['人类柯萨奇病毒A3（生物体）']
C0318368	['人类柯萨奇病毒A4（生物体）']
C0318369	['人类柯萨奇病毒A5（有机体）']
C0318370	['人类柯萨奇病毒A6（生物体）']
C0318371	['人类柯萨奇病毒A7（有机体）']
C0318372	['人类柯萨奇病毒A8（有机体）']
C0318374	['人类柯萨奇病毒A10（生物体）']
C0318375	['人类柯萨奇病毒A11（生物体）']
C0318376	['人类柯萨奇病毒A12（生物体）']
C0318377	['人类柯萨奇病毒A13（生物体）']
C0318378	['人类柯萨奇病毒A14（生物体）']
C0318379	['人类柯萨奇病毒A15（生物体）']
C0318380	['人类柯萨奇病毒A16（生物体）']
C0318381	['人类柯萨奇病毒A17（生物体）']
C0318382	['人类柯萨奇病毒A18（生物体）']
C0318383	['人类柯萨奇病毒A19（生物体）']
C0318384	['人类柯萨奇病毒A20（生物体）']
C0318385	['人类柯萨奇病毒A21（生物体）']
C0318386	['人类柯萨奇病毒A22（生物体）']
C0318388	['人类柯萨奇病毒B']
C0318389	['人类柯萨奇病毒B1（生物体）']
C0318390	['人类柯萨奇病毒B2（生物体）']
C0318391	['人类柯萨奇B3病毒（生物体）']
C0318392	['人类柯萨奇病毒B4（生物体）']
C0318393	['人类柯萨奇病毒B5（有机体）']
C0318394	['人类柯萨奇病毒B6（有机体）']
C0318396	['人类回声病毒1（有机体）']
C0318397	['人类回声病毒2（有机体）']
C0318398	['人类回声病毒3（有机体）']
C0318399	['人类回声病毒4（有机体）']
C0318400	['人类回声病毒5（有机体）']
C0318402	['人类回声病毒7（有机体）']
C0318403	['人类回声病毒8（有机体）']
C0318405	['人类回声病毒11（有机体）']
C0318406	['人类回声病毒12（有机体）']
C0318407	['人类回声病毒13（生物体）']
C0318408	['人类回声病毒14（有机体）']
C0318409	['人类回声病毒15（有机体）']
C0318410	['人类回声病毒16（有机体）']
C0318411	['人类回声病毒17（有机体）']
C0318412	['人类回声病毒18（有机体）']
C0318413	['人类回声病毒19（有机体）']
C0318414	['人类回声病毒20（有机体）']
C0318415	['人类回声病毒21（有机体）']
C0318416	['回声病毒22']
C0318417	['回声病毒23']
C0318418	['人类回声病毒24（有机体）']
C0318419	['人类回声病毒25（有机体）']
C0318420	['人类回声病毒26（有机体）']
C0318421	['人类回声病毒27（有机体）']
C0318422	['人类回声病毒29（有机体）']
C0318423	['人类回声病毒30（有机体）']
C0318424	['人类回声病毒31（有机体）']
C0318425	['人类回声病毒32（有机体）']
C0318426	['人类回声病毒33（有机体）']
C0318427	['人类回声病毒34（有机体）']
C0318428	['肠病毒68']
C0318429	['人类肠道病毒69（有机体）']
C0318431	['肠病毒71型，人']
C0318432	['猿猴肠道病毒（有机体）']
C0318433	['猴肠道病毒1（有机体）']
C0318434	['猿猴肠道病毒2（有机体）']
C0318435	['猿猴肠道病毒3（有机体）']
C0318436	['猿猴肠道病毒4（有机体）']
C0318437	['猿猴肠道病毒5（有机体）']
C0318438	['猿猴肠道病毒6（有机体）']
C0318439	['猿猴肠道病毒7（有机体）']
C0318440	['猴肠道病毒8（有机体）']
C0318441	['猿猴肠道病毒9（有机体）']
C0318442	['猿猴肠道病毒10（有机体）']
C0318443	['猴肠道病毒11（有机体）']
C0318444	['猿猴肠道病毒12（有机体）']
C0318445	['猴肠道病毒13（有机体）']
C0318446	['猴肠道病毒14（有机体）']
C0318447	['猿猴肠道病毒15（有机体）']
C0318448	['猴肠道病毒16（有机体）']
C0318449	['猴肠道病毒17（有机体）']
C0318450	['猴肠道病毒18（有机体）']
C0318451	['猪肠道病毒1（有机体）']
C0318452	['猪肠道病毒2（有机体）']
C0318453	['猪肠道病毒3（有机体）']
C0318454	['猪肠道病毒4（有机体）']
C0318455	['猪肠道病毒5（有机体）']
C0318456	['猪肠道病毒6（有机体）']
C0318457	['猪肠道病毒7（有机体）']
C0318458	['猪肠道病毒8（有机体）']
C0318459	['牛肠道病毒（有机体）']
C0318460	['牛肠道病毒1（有机体）']
C0318461	['牛肠道病毒2（有机体）']
C0318462	['牛肠道病毒3（有机体）']
C0318463	['牛肠道病毒4（有机体）']
C0318464	['牛肠道病毒5（有机体）']
C0318465	['牛肠道病毒6（有机体）']
C0318466	['牛肠道病毒7（有机体）']
C0318467	['人类鼻病毒']
C0318468	['回声病毒28']
C0318469	['人鼻病毒2（有机体）']
C0318470	['人鼻病毒3（有机体）']
C0318471	['人鼻病毒4（有机体）']
C0318472	['人鼻病毒5（有机体）']
C0318473	['人鼻病毒6（有机体）']
C0318474	['人鼻病毒7（有机体）']
C0318475	['人鼻病毒8（有机体）']
C0318476	['人鼻病毒9（有机体）']
C0318477	['人鼻病毒10（有机体）']
C0318478	['人鼻病毒11（有机体）']
C0318479	['人鼻病毒12（有机体）']
C0318480	['人类鼻病毒13（有机体）']
C0318481	['人鼻病毒14（有机体）']
C0318482	['人类鼻病毒（15）']
C0318483	['人类鼻病毒16（有机体）']
C0318484	['人鼻病毒17（有机体）']
C0318485	['人鼻病毒18（有机体）']
C0318486	['人鼻病毒19（有机体）']
C0318487	['人鼻病毒20（有机体）']
C0318488	['人类鼻病毒21（有机体）']
C0318489	['人鼻病毒22（有机体）']
C0318490	['人鼻病毒23（有机体）']
C0318491	['人类鼻病毒（24）']
C0318492	['人鼻病毒25（有机体）']
C0318493	['人鼻病毒26（有机体）']
C0318494	['人鼻病毒27（有机体）']
C0318495	['人鼻病毒28（有机体）']
C0318496	['人鼻病毒29（有机体）']
C0318497	['人鼻病毒30（有机体）']
C0318498	['人鼻病毒31（有机体）']
C0318499	['人类鼻病毒32（有机体）']
C0318500	['人鼻病毒33（有机体）']
C0318501	['人类鼻病毒34（有机体）']
C0318502	['人鼻病毒35（有机体）']
C0318503	['人鼻病毒36（有机体）']
C0318504	['人鼻病毒37（有机体）']
C0318505	['人鼻病毒38（有机体）']
C0318506	['人鼻病毒39（有机体）']
C0318507	['人鼻病毒40（有机体）']
C0318508	['人类鼻病毒41（有机体）']
C0318509	['人类鼻病毒42']
C0318510	['人类鼻病毒43（有机体）']
C0318511	['人鼻病毒44（有机体）']
C0318512	['人鼻病毒45（有机体）']
C0318513	['人类鼻病毒46（有机体）']
C0318514	['人鼻病毒47（有机体）']
C0318515	['人类鼻病毒48（有机体）']
C0318516	['人类鼻病毒49（有机体）']
C0318517	['人鼻病毒50（有机体）']
C0318518	['人类鼻病毒（51）']
C0318519	['人类鼻病毒52（有机体）']
C0318520	['人类鼻病毒53（有机体）']
C0318521	['人类鼻病毒54（有机体）']
C0318522	['人鼻病毒55（有机体）']
C0318523	['人类鼻病毒56（有机体）']
C0318524	['人鼻病毒57（有机体）']
C0318525	['人鼻病毒58（有机体）']
C0318526	['人类鼻病毒59（有机体）']
C0318527	['人鼻病毒60（有机体）']
C0318528	['人类鼻病毒61（有机体）']
C0318529	['人鼻病毒62（有机体）']
C0318530	['人类鼻病毒63（有机体）']
C0318531	['人类鼻病毒64（有机体）']
C0318532	['人鼻病毒65（有机体）']
C0318533	['人鼻病毒66（有机体）']
C0318534	['人类鼻病毒67（有机体）']
C0318535	['人鼻病毒68（有机体）']
C0318536	['人鼻病毒69（有机体）']
C0318537	['人鼻病毒70（有机体）']
C0318538	['人鼻病毒71（有机体）']
C0318539	['人类鼻病毒72（有机体）']
C0318540	['人鼻病毒73（有机体）']
C0318541	['人类鼻病毒74（有机体）']
C0318542	['人鼻病毒75（有机体）']
C0318543	['人鼻病毒76（有机体）']
C0318544	['人类鼻病毒77（有机体）']
C0318545	['人类鼻病毒78（有机体）']
C0318546	['人鼻病毒79（有机体）']
C0318547	['人鼻病毒80（有机体）']
C0318548	['人类鼻病毒81（有机体）']
C0318549	['人类鼻病毒82（有机体）']
C0318550	['人鼻病毒83（有机体）']
C0318551	['人类鼻病毒84（有机体）']
C0318552	['人类鼻病毒85（有机体）']
C0318553	['人类鼻病毒86（有机体）']
C0318554	['人类鼻病毒87（有机体）']
C0318555	['人鼻病毒88（有机体）']
C0318556	['人类鼻病毒89（有机体）']
C0318557	['人鼻病毒90（有机体）']
C0318558	['人鼻病毒91（有机体）']
C0318559	['人鼻病毒92（有机体）']
C0318560	['人鼻病毒93（有机体）']
C0318561	['人类鼻病毒94（有机体）']
C0318562	['人鼻病毒95（有机体）']
C0318563	['人类鼻病毒96（有机体）']
C0318564	['人鼻病毒97（有机体）']
C0318565	['人鼻病毒98（有机体）']
C0318566	['人鼻病毒99（有机体）']
C0318567	['人鼻病毒100（有机体）']
C0318568	['人类鼻病毒101（有机体）']
C0318569	['人类鼻病毒102（有机体）']
C0318570	['人类鼻病毒103（有机体）']
C0318571	['人类鼻病毒104（有机体）']
C0318572	['人鼻病毒105（有机体）']
C0318573	['人鼻病毒106（有机体）']
C0318574	['人类鼻病毒107（有机体）']
C0318575	['人鼻病毒108（有机体）']
C0318576	['人类鼻病毒109（有机体）']
C0318577	['人鼻病毒110（有机体）']
C0318578	['人类鼻病毒111（有机体）']
C0318579	['人类鼻病毒112（有机体）']
C0318580	['人类鼻病毒113（有机体）']
C0318581	['人类鼻病毒114（有机体）']
C0318582	['人鼻病毒115（有机体）']
