C0000886	['棘细胞']
C0039821	['受体温度']
C0040419	['声调哀叹']
C0041362	['培养的肿瘤细胞']
C0042219	['空泡的']
C0042542	['牢房，维罗']
C0042760	['病毒颗粒']
C0043036	['瓦辛-芬克尔迪巨细胞（cell）']
C0043291	['精子，X染色体']
C0043292	['X染色体']
C0043380	['精子，Y型']
C0043381	['染色体男性']
C0043519	['透明带']
C0055025	['细胞壁骨架']
C0059882	['染色质延伸']
C0061622	['细胞囊']
C0079722	['浸润性淋巴细胞、肿瘤']
C0079852	['活化杀伤单核细胞']
C0080202	['T细胞亚群']
C0080261	['肿瘤源性活化细胞']
C0085080	['细胞，赵']
C0085087	['3T3电池']
C0085103	['神经元附属物']
C0085133	['细胞，里德·斯特恩伯格']
C0085187	['端粒']
C0085200	['莱维尸体']
C0085236	['肺泡巨噬细胞（细胞）']
C0085262	['嗜铬细胞瘤细胞系']
C0085820	['抗体分泌细胞']
C0085983	['细胞系，肿瘤']
C0086031	['集落形成单位']
C0086574	['淋巴细胞']
C0086623	['小梁晶格']
C0086697	['感觉神经末梢']
C0136979	['藻胆体']
C0151776	['异常巨核细胞（细胞）']
C0162556	['抑制诱导T淋巴细胞']
C0162597	['基质细胞']
C0162771	['剪接体复合体定位']
C0175996	['细胞内']
C0178523	['刷状缘膜']
C0178708	['永生化细胞']
C0178813	['原生质体\\/球状体']
C0205708	['胞质内包涵体']
C0205715	['格拉纳']
C0205832	['细胞默克尔']
C0205867	['束间少突胶质细胞']
C0205868	['蜂窝卫星']
C0205869	['血管周围少突胶质细胞']
C0206116	['小胶质细胞']
C0206131	['脂肪细胞']
C0206152	['细胞移植']
C0206181	['轴突终末']
C0206190	['腹腔巨噬细胞']
C0206427	['视网膜杆细胞']
C0206428	['锥体感光细胞']
C0206436	['无脊椎动物感光细胞']
C0206441	['锥体细胞']
C0206511	['前庭毛细胞']
C0206513	['外毛细胞']
C0206523	['质体']
C0206524	['质体（细胞结构）']
C0221266	['达克罗克特']
C0221279	['“伯尔细胞”']
C0221280	['椭圆细胞']
C0221282	['细胞破碎']
C0221283	['细胞镰刀']
C0221284	['钟形红细胞（体内）']
C0221910	['鳞状上皮细胞']
C0222619	['乳腺颗粒多面体细胞']
C0222677	['骨细胞']
C0222678	['未分化间充质细胞']
C0224522	['透明质酸分泌细胞']
C0224523	['滑液单核细胞']
C0225323	['胎儿脂肪细胞']
C0225328	['原纤维（物质）']
C0225330	['细胞内纤维（物质）']
C0225332	['纤维细胞']
C0225335	['间皮细胞']
C0225336	['内皮细胞']
C0225338	['柱状上皮细胞']
C0225340	['移行上皮细胞']
C0225356	['篮式牢房']
C0225360	['肌成纤维细胞（细胞）']
C0225368	['软骨母细胞（细胞）']
C0225369	['软骨细胞']
C0225466	['筛窦前细胞']
C0225467	['筛窦中细胞']
C0225468	['筛窦后细胞']
C0225667	['细支气管Kulchitsky细胞']
C0225668	['细支气管非纤毛细胞']
C0225698	['肺泡细胞']
C0225699	['肺泡细胞Ⅰ型']
C0225700	['肺泡细胞II型']
C0225828	['心肌纤维']
C0227276	['牢房，潘尼斯']
C0227525	['肝细胞']
C0227531	['细胞，伊藤']
C0227599	['膀胱移行细胞']
C0227650	['球旁颗粒细胞']
C0227651	['肾系膜细胞']
C0227693	['细胞伞']
C0227882	['第二卵细胞']
C0227883	['第一极体（细胞）']
C0227884	['次孔雀鱼']
C0227897	['卵巢门细胞']
C0228007	['精子前原细胞（细胞）']
C0228008	['初级精母细胞（细胞）']
C0228009	['次级精母细胞（细胞）']
C0228071	['神经节细胞']
C0228072	['大神经元（细胞）']
C0228074	['中等大小神经元（细胞）']
C0228075	['小神经元（细胞）']
C0228076	['髓母细胞']
C0228078	['分化神经细胞']
C0228079	['轴突小丘（细胞结构）']
C0228080	['中枢神经系统轴柱（细胞结构）']
C0228081	['神经毡（身体结构）']
C0228086	['胶质母细胞']
C0228087	['大胶质细胞（细胞）']
C0228088	['伯格曼星形胶质细胞（细胞）']
C0228089	['原生质星形细胞']
C0228090	['纤维星形细胞']
C0228091	['胶质纤维（细胞结构）']
C0228092	['室管膜细胞']
C0228107	['游离神经末梢']
C0228129	['蛛网膜帽细胞']
C0228442	['丘系外侧核']
C0228471	['小脑皮质内颗粒层']
C0228473	['小脑皮质外颗粒层']
C0229130	['角膜小体']
C0229213	['内核层的杆状细胞（身体结构）']
C0229215	['视网膜水平细胞']
C0229216	['视网膜无长突细胞']
C0229423	['乳突细胞']
C0229424	['婴儿双乳突细胞（身体结构）']
C0229425	['原发性硬化乳突细胞（身体结构）']
C0229426	['继发性硬化乳突细胞（身体结构）']
C0229470	['耳蜗柱细胞']
C0229471	['圣杯细胞']
C0229472	['亨森细胞（细胞）']
C0229473	['克劳迪斯的牢房（牢房）']
C0229493	['耳蜗导管桥粒']
C0229521	['外淋巴细胞']
C0229525	['内分泌细胞']
C0229535	['垂体细胞']
C0229536	['腺垂体前部嗜酸性细胞']
C0229537	['腺垂体远侧部嗜碱性细胞']
C0229538	['垂体促甲状腺细胞']
C0229541	['腺垂体前部嫌色细胞']
C0229542	['垂体嗜两性细胞']
C0229543	['垂体肥大性嗜两性细胞']
C0229545	['垂体细胞']
C0229568	['肾上腺髓质细胞']
C0229571	['血管球细胞']
C0229572	['颈动脉体非颗粒支持细胞']
C0229579	['甲状腺C细胞']
C0229586	['甲状旁腺主细胞']
C0229587	['甲状旁腺移行细胞']
C0229588	['整个甲状旁腺Wassehelle细胞（细胞）']
C0229589	['甲状旁腺嗜酸性粒细胞']
C0229598	['胰腺D细胞']
C0229604	['网状内皮细胞']
C0229606	['网状细胞']
C0229608	['组织母细胞（细胞）']
C0229609	['分泌性巨噬细胞（细胞）']
C0229610	['嗜酸性组织细胞']
C0229611	['中性粒细胞组织细胞']
C0229613	['淋巴母细胞（细胞）']
C0229614	['前淋巴细胞（细胞）']
C0229615	['嗜热淋巴细胞']
C0229616	['小淋巴细胞（细胞）']
C0229617	['中等大小淋巴细胞（细胞）']
C0229618	['大淋巴细胞（细胞）']
C0229628	['嗜碱性红细胞']
C0229629	['嗜酸性正常母细胞']
C0229630	['成铁细胞（细胞）']
C0229631	['铁红细胞（细胞）']
C0229633	['成髓细胞']
C0229635	['后髓细胞']
C0229636	['中性粒细胞前体细胞']
C0229637	['骨髓细胞。中性粒细胞']
C0229638	['后骨髓细胞。中性粒细胞']
C0229640	['中性粒细胞段']
C0229641	['嗜酸性粒细胞前体细胞']
C0229642	['嗜酸性粒细胞（细胞）']
C0229643	['嗜酸性后髓细胞（细胞）']
C0229644	['非节段性嗜酸性粒细胞（细胞）']
C0229645	['嗜碱性粒细胞前体细胞']
C0229646	['嗜碱性粒细胞']
C0229647	['嗜碱性后髓细胞（细胞）']
C0229648	['非分段嗜碱性粒细胞（细胞）']
C0229649	['嗜异性（细胞）']
C0229650	['嗜碱性巨核细胞']
C0229651	['前巨核细胞（细胞）']
C0229652	['嗜碱性巨核细胞']
C0229655	['单细胞']
C0229656	['前单细胞']
C0229657	['等离子束（细胞）']
C0229658	['浆细胞样淋巴细胞']
C0229659	['骨髓单核细胞']
C0229660	['早幼粒细胞（细胞）']
C0229661	['骨髓单个母细胞（细胞）']
C0229662	['骨髓纤维细胞']
C0229663	['骨髓成纤维细胞']
C0229892	['淋巴淋巴细胞（细胞）']
C0229951	['胸腺上皮细胞']
C0229952	['胸腺网细胞']
C0230510	['细胞中心区（细胞结构）']
C0230511	['细胞周围区域（细胞结构）']
C0230512	['极化细胞顶端区']
C0230513	['极化细胞外侧区']
C0230514	['极化细胞的核上区']
C0230515	['极化细胞的核下区']
C0230516	['极化细胞基底区']
C0230517	['分裂细胞']
C0230518	['有丝分裂细胞']
C0230519	['前期有丝分裂细胞（细胞）']
C0230520	['中期有丝分裂细胞（细胞）']
C0230521	['后期有丝分裂细胞（细胞）']
C0230522	['末期有丝分裂细胞（细胞）']
C0230523	['后期收缩（细胞结构）']
C0230524	['末期中体（细胞结构）']
C0230528	['间期核（细胞结构）']
C0230529	['有丝分裂核（细胞结构）']
C0230530	['前期细胞核（细胞结构）']
C0230531	['中期细胞核（细胞结构）']
C0230532	['中期板（细胞结构）']
C0230533	['后期细胞核（细胞结构）']
C0230534	['末期细胞核（细胞结构）']
C0230535	['核泡']
C0230536	['细胞核周区（细胞结构）']
C0230537	['核膜，外膜（细胞结构）']
C0230538	['核膜，内膜（细胞结构）']
C0230539	['细胞质假包涵体']
C0230540	['核膜池']
C0230542	['隔膜，核孔（细胞结构）']
C0230545	['核周染色质（物质）']
C0230546	['周染色质颗粒（物质）']
C0230547	['染色质颗粒']
C0230572	['染色体组（细胞结构）']
C0230575	['染色体对6-12和X']
C0230580	['核仁颗粒成分']
C0230581	['核仁的致密纤维成分']
C0230582	['核仁纤维中心']
C0230583	['核仁帽（细胞结构）']
C0230584	['核仁通道系统（细胞结构）']
C0230586	['核内细胞产物（细胞结构）']
C0230587	['核内晶体包涵体']
C0230588	['核内丝状包涵体']
C0230589	['核内膜片']
C0230590	['核内小管（细胞结构）']
C0230591	['核内糖原（细胞结构）']
C0230592	['核内脂质（细胞结构）']
C0230593	['核内分泌颗粒（细胞结构）']
C0230594	['核内线粒体（细胞结构）']
C0230595	['核体']
C0230596	['核内丝状体（细胞结构）']
C0230597	['核内小体，颗粒状，有丝状蒴果（细胞结构）']
C0230598	['核内体，珠状核内丝（细胞结构）']
C0230599	['核内体，同心叠层（细胞结构）']
C0230600	['核内体，杆状（细胞结构）']
C0230602	['细胞膜，极化细胞的顶端']
C0230603	['细胞膜，极化细胞的侧面']
C0230604	['细胞膜，极化细胞的基面']
C0230605	['破裂的膜E面（细胞结构）']
C0230606	['破裂的膜P面（细胞结构）']
C0230607	['断裂的膜颗粒（细胞结构）']
C0230608	['断裂膜粒子阵列（细胞结构）']
C0230609	['连接蛋白复合定位']
C0230610	['致密区，细胞膜的内部，不是桥粒（细胞结构）']
C0230611	['细胞粘附特化']
C0230612	['连接复合体（细胞结构）']
C0230613	['粘附连接']
C0230614	['自体桥粒（细胞结构）']
C0230615	['胞浆内桥粒（细胞结构）']
C0230616	['半结肠癌']
C0230617	['桥粒或半桥粒的细胞外致密成分（细胞结构）']
C0230618	['功能特殊组织中的粘附专门化']
C0230619	['胶结体']
C0230620	['心肌闰盘（细胞结构）']
C0230621	['突触膜特化']
C0230622	['突触前突触膜特化']
C0230623	['突触膜特化']
C0230624	['隔膜连接（细胞结构）']
C0230625	['细胞过程（细胞结构）']
C0230626	['立体纤毛']
C0230627	['纤毛（细胞结构）']
C0230628	['跛足']
C0230629	['尾足类（细胞结构）']
C0230630	['蚓足（细胞结构）']
C0230631	['轴突（细胞结构）']
C0230632	['特殊细胞的独特表面过程']
C0230633	['内皮细胞边缘折叠（细胞结构）']
C0230634	['肾小球足细胞足突（细胞结构）']
C0230636	['足突']
C0230637	['肾小球足细胞缝隙（细胞结构）']
C0230638	['感觉毛（细胞结构）']
C0230639	['内皮通道']
C0230640	['带隔膜的内皮开窗术']
C0230641	['无隔膜内皮开窗术']
C0230642	['开窗隔膜（细胞结构）']
C0230643	['内皮筛板（细胞结构）']
C0230644	['固定或稳定的膜内陷（细胞结构）']
C0230645	['细胞膜（细胞结构）的基底内折']
C0230646	['胆小管膜']
C0230647	['细胞间小管（身体结构）']
C0230649	['胞浆内腔（细胞结构）']
C0230650	['膜内陷，不稳定（细胞结构）']
C0230651	['膜内陷，不稳定，内吞（细胞结构）']
C0230652	['膜内陷，不稳定，外显细胞（细胞结构）']
C0230653	['小窝']
C0230654	['简单小窝（细胞结构）']
C0230656	['嗜菱形细胞小泡（细胞结构）']
C0230657	['蠕形微胞饮症通道（细胞结构）']
C0230658	['内吞膜内陷含量（细胞结构）']
C0230661	['糖萼的独特形式（细胞结构）']
C0230662	['触角微血管（细胞结构）']
C0230663	['细胞角质层（细胞结构）']
C0230665	['细胞膜的独特形式（细胞结构）']
C0230666	['细胞壁，真核细胞（细胞结构）']
C0230667	['原生动物寄生虫的膜（细胞结构）']
C0230671	['细胞质包涵体，结晶（细胞结构）']
C0230672	['细胞质包涵体，副结晶（细胞结构）']
C0230673	['细胞质包涵体，颗粒（细胞结构）']
C0230674	['丝状细胞质包涵体（细胞结构）']
C0230675	['细胞质液泡，与GERL无关']
C0230676	['外分泌颗粒']
C0230677	['分泌颗粒，外分泌，已知含量（细胞结构）']
C0230678	['分泌颗粒，外分泌，经历胞吐（细胞结构）']
C0230679	['分泌颗粒，外分泌，已知内容物经历胞吐（细胞结构）']
C0230680	['粘液颗粒（细胞结构）']
C0230681	['酶原颗粒']
C0230682	['内分泌颗粒']
C0230683	['内分泌分泌颗粒，已知含量（细胞结构）']
C0230684	['内分泌分泌颗粒，经历胞吐（细胞结构）']
C0230685	['分泌颗粒，内分泌，已知内容物经历胞吐（细胞结构）']
C0230686	['神经分泌颗粒（细胞结构）']
C0230687	['致密核心突触小泡（细胞结构）']
C0230688	['特殊细胞的独特细胞质颗粒']
C0230689	['促黑素颗粒（细胞结构）']
C0230690	['前黑色素体（细胞结构）']
C0230691	['黑素体，未完全黑化']
C0230692	['黑色素颗粒']
C0230693	['复合黑色素颗粒（细胞结构）']
C0230694	['伯贝克颗粒']
C0230695	['细胞小体']
C0230696	['内皮细胞颗粒（细胞结构）']
C0230697	['透明角质颗粒（细胞结构）']
C0230698	['身体板层']
C0230699	['薄膜涂层颗粒，层压（细胞结构）']
C0230700	['无定形膜包衣颗粒']
C0230701	['细胞质代谢物，结构独特（细胞结构）']
C0230702	['α糖原']
C0230703	['β糖原（细胞结构）']
C0230704	['脂肪体']
C0230705	['均质脂滴']
C0230706	['片状脂滴']
C0230707	['复合脂滴（细胞结构）']
C0230710	['7纳米长丝（细胞结构）']
C0230711	['12纳米长丝（细胞结构）']
C0230712	['肌动蛋白样和肌球蛋白样纤维（细胞结构）']
C0230713	['细胞质细丝的独特排列（细胞结构）']
C0230714	['肌节模式（细胞结构）']
C0230715	['A带（细胞结构）']
C0230716	['铁饼（第一纹）']
C0230717	['H波段']
C0230718	['M波段']
C0230719	['z行']
C0230720	['Z线材料（物质）']
C0230721	['丝插入细胞质致密体（细胞结构）']
C0230722	['纤维插入细胞膜内部的致密区，而不是桥粒（细胞结构）']
C0230723	['结构丝（细胞结构）']
C0230724	['9纳米长丝（细胞结构）']
C0230725	['弥漫性张力性痛觉']
C0230726	['致密中间纤维束']
C0230727	['丝插入桥粒或半桥粒']
C0230728	['桥粒或半桥粒附着斑（细胞结构）']
C0230729	['已知成分（细胞结构）的中间丝']
C0230732	['微管的独特排列（细胞结构）']
C0230733	['微管边缘带（细胞结构）']
C0230734	['与细胞器（细胞结构）相关的微管']
C0230735	['寄生虫粘附盘（细胞结构）']
C0230737	['纺锤体的连续微管（细胞结构）']
C0230738	['纺锤体的带间微管（细胞结构）']
C0230739	['纺锤极（细胞结构）']
C0230740	['中心粒，微管亚单位（细胞结构）']
C0230741	['中心粒，中央小泡（细胞结构）']
C0230742	['未成熟中心粒']
C0230743	['中心线卫星']
C0230744	['纤毛或鞭毛的基体，非细菌（细胞结构）']
C0230745	['纤毛或鞭毛的小根，非细菌（细胞结构）']
C0230746	['基本纤毛（细胞结构）']
C0230747	['鞭毛，非细菌（细胞结构）']
C0230748	['纤毛或鞭毛的轴，非细菌（细胞结构）']
C0230749	['纤毛或鞭毛膜，非细菌（细胞结构）']
C0230750	['轴丝复合体，由纤毛或鞭毛组成，非细菌（细胞结构）']
C0230751	['纤毛或鞭毛的外周微管倍体，非细菌（细胞结构）']
C0230752	['非细菌的纤毛或鞭毛外周二倍体的A亚单位（细胞结构）']
C0230753	['非细菌（细胞结构）外周二倍体或纤毛或鞭毛的B亚单位']
C0230754	['纤毛或鞭毛外周双倍体的动力蛋白臂，非细菌（细胞结构）']
C0230755	['中央一对微管，纤毛或鞭毛，非细菌（细胞结构）']
C0230756	['单线态（细胞结构）']
C0230757	['特化纤毛或鞭毛']
C0230758	['嗅觉纤毛']
C0230759	['视网膜外段']
C0230760	['纤毛或鞭毛的特殊亚单位或衍生物，非细菌']
C0230761	['精子尾纤维鞘（细胞结构）']
C0230763	['吉尔']
C0230764	['高尔基体膜（细胞结构）']
C0230765	['高尔基体池']
C0230766	['冷凝液泡']
C0230767	['高尔基囊泡（细胞结构）']
C0230768	['过渡囊泡']
C0230769	['高尔基复合体内的包涵体（细胞结构）']
C0230770	['内质网膜']
C0230771	['内质网、池腔（细胞结构）']
C0230772	['面对内质网池（细胞结构）']
C0230773	['内质网，与其他细胞器（细胞结构）的连接']
C0230774	['脑池内物质']
C0230775	['脑池内物质，无定形（物质）']
C0230776	['脑池内物质，周期性（物质）']
C0230777	['内质网内颗粒（物质）']
C0230778	['已知身份（物质）的脑池内物质']
C0230779	['颗粒内质网']
C0230780	['颗粒内质网膜（细胞结构）']
C0230781	['颗粒内质网、池腔（细胞结构）']
C0230782	['颗粒内质网，与其他细胞器（细胞结构）连接']
C0230783	['核糖体，游离于细胞质中（细胞结构）']
C0230784	['核糖体，附着在GER膜上']
C0230785	['核糖体，附着于外核膜（细胞结构）']
C0230786	['多核糖体，游离于细胞质中（细胞结构）']
C0230787	['多核糖体，附着在GER膜上']
C0230788	['多核糖体，附着于外核膜（细胞结构）']
C0230789	['无颗粒内质网']
C0230790	['无颗粒内质网膜（细胞结构）']
C0230791	['无颗粒内质网池腔']
C0230792	['无颗粒内质网，与其他细胞器（细胞结构）连接']
C0230793	['内质网（细胞结构）的独特排列或关系']
C0230795	['与线粒体相关的内质网']
C0230796	['内质网（ER）与其他细胞成分有关']
C0230797	['粗面内质网密集排列']
C0230798	['GER管状阵列']
C0230799	['AER骨料']
C0230800	['横纹肌三联征（细胞结构）']
C0230801	['环状板层（细胞结构）']
C0230802	['环状片层，膜（细胞结构）']
C0230803	['环板，池腔（细胞结构）']
C0230804	['环状板，开窗（细胞结构）']
C0230805	['环板，开窗隔膜（细胞结构）']
C0230806	['独特的胞质内膜系统，而非高尔基复合体或内质网（细胞结构）']
C0230807	['感光细胞膜片（细胞结构）']
C0230808	['梭形小泡，如移行上皮（细胞结构）']
C0230809	['突触特化，细胞质']
C0230812	['溶酶体膜']
C0230813	['溶酶体基质']
C0230814	['初级溶酶体（细胞结构）']
C0230815	['次级溶酶体（细胞结构）']
C0230816	['具有独特内容（细胞结构）的次级溶酶体']
C0230817	['髓鞘图，溶酶体衍生']
C0230818	['含铁蛋白的次级溶酶体（细胞结构）']
C0230819	['次级溶酶体发生胞吐（细胞结构）']
C0230820	['身体残留']
C0230821	['溶酶体间粘附专一化']
C0230822	['自溶体（细胞结构）']
C0230823	['含有可识别的细胞质细胞器（细胞结构）的自溶体']
C0230824	['含有自溶体的分泌颗粒（细胞结构）']
C0230825	['内体载体囊泡']
C0230826	['多泡体，周围膜（细胞结构）']
C0230827	['多泡体，内泡']
C0230828	['多泡体包涵体']
C0230830	['顶体前体颗粒（细胞结构）']
C0230832	['微体膜（细胞结构）']
C0230833	['微体基质（物质）']
C0230834	['微体类核（细胞结构）']
C0230835	['无定形微体类核']
C0230836	['周期性微体类核（细胞结构）']
C0230837	['微体间粘附专一化']
C0230839	['线粒体外膜']
C0230840	['线粒体内膜']
C0230841	['电子传输粒子']
C0230842	['外线粒体空间（细胞结构）']
C0230843	['线粒体内部空间（细胞结构）']
C0230844	['嵴']
C0230845	['线粒体间粘附专一化']
C0230846	['线粒体“桥”（细胞结构）']
C0230847	['线粒体嵴的独特形状（细胞结构）']
C0230848	['线粒体开窗嵴']
C0230849	['线粒体管状嵴']
C0230850	['线粒体分枝嵴']
C0230851	['线粒体囊状嵴']
C0230852	['线粒体棱柱状嵴']
C0230853	['线粒体嵴的独特模式（细胞结构）']
C0230854	['线粒体嵴紧密堆积（细胞结构）']
C0230855	['线粒体嵴的横向方向（细胞结构）']
C0230856	['线粒体嵴的纵向方向（细胞结构）']
C0230857	['线粒体嵴同心定向（细胞结构）']
C0230858	['线粒体嵴之字形（细胞结构）']
C0230859	['线粒体包涵体（细胞结构）']
C0230860	['线粒体基质包涵体（细胞结构）']
C0230861	['线粒体内颗粒（细胞结构）']
C0230862	['线粒体内晶体（细胞结构）']
C0230864	['线粒体内核糖体（细胞结构）']
C0230868	['细胞质内线粒体聚集（细胞结构）']
C0230869	['线粒体与其他细胞成分（细胞结构）的关联']
C0230870	['软骨圈（细胞结构）']
C0230872	['动粒体（细胞结构）']
C0230896	['胶原纤维，64纳米间距（细胞结构）']
C0230897	['长间距胶原纤维（细胞结构）']
C0230898	['胶原原纤维']
C0230900	['弹性纤维的非晶态成分']
C0230901	['弹性纤维，微丝成分（细胞结构）']
C0230902	['结缔组织微纤维（细胞结构）']
C0230903	['上皮细胞或组织的基膜（细胞结构）']
C0230904	['非上皮细胞或组织的基底层或外层（细胞结构）']
