C0000005	['(131)I-MAA', '(131)I-Macroaggregated Albumin']
C0000983	['acetic acid (otic) (medication)', 'acetic acid (otic)', 'Acetic acid (substance)', 'acetic acid ear', 'Acetic Acid Glacial', 'Acetic Acid Glacial', 'Acetic acid glacial', 'Acetic Acid Otic', 'acetic acid otic', 'acetic acid otic', 'Acetic Acid', 'acetic acid', 'Acetic acid', 'Acetic Acid', 'acetic acid', 'acetic acid', 'acetic acid', 'Acetic Acid', 'ACETIC ACID', 'Acetic Acid', 'acetic acid', 'acetic acid', 'Acetic Acid', 'Acetic acid', 'Acetic Acid', 'Acetic Acid', 'ACETIC ACID', 'acetic acid', 'acetic acid', 'Acetic acid', 'Acetic Acid', 'Acetic Acid', 'Acetic Acid, Glacial', 'Acetic Acid, Glacial', 'Acetic acid, glacial', 'Acetic Acid, Glacial', 'acetic acid, glacial', 'acetic acid,', 'ACETIC ACID,GLACIAL', 'Acetic acid-containing product in solution for irrigation', 'Acetic acid-containing product', 'Aceticum acidum', 'acide acétique', 'ácido acético', 'Essigsäure', 'ethanoic acid', 'Ethanoic acid', 'Ethanoic acid', 'Ethoic acid', 'Ethylic acid', 'glacial acetic acid (otic) (medication)', 'glacial acetic acid (otic)', 'Glacial acetic acid (substance)', 'Glacial Acetic Acid', 'Glacial Acetic Acid', 'Glacial acetic acid', 'Glacial acetic acid', 'glacial acetic acid', 'Glacial acetic acid', 'Glacial Acetic Acid', 'glacial acetic acid', 'Glacial acetic acid-containing product', 'Glacial, Acetic Acid', 'HOAc', 'Methanecarboxylic acid', 'otic preparations acetic acid glacial', 'otic preparations acetic acid', 'Product containing acetic acid (medicinal product)', 'Product containing acetic acid in conventional release solution for irrigation (medicinal product form)', 'Product containing glacial acetic acid (medicinal product)']
C0000987	['Acetic Anhydrides', 'Anhydrides, Acetic']
C0001017	['acetrizoic acid', 'Acetrizoic acid', 'acetrizoic acid', 'Acetrizoic Acid', 'Acetrizoic Acid', 'ACETRIZOIC ACID', 'Acid, Acetrizoic', 'Acide acetrizoique', 'Benzoic acid, 3-(acetylamino)-2,4,6-triiodo-', 'Urokonic acid']
C0001185	['3,6-Bis(dimethylamino)acridine', 'Acridine Diamine, Tetramethyl', 'Acridine Orange Base', 'Acridine orange stain (substance)', 'Acridine orange stain', 'Acridine Orange', 'Acridine Orange', 'acridine orange', 'ACRIDINE ORANGE', 'Acridine orange', 'Base, Acridine Orange', 'Basic orange 14', 'Diamine, Tetramethyl Acridine', 'Euchrysine', 'Euchrysine', 'orange acridine', 'Orange Base, Acridine', 'Orange, Acridine', 'Orange, Rhoduline', 'Rhoduline Orange', 'Tetramethyl Acridine Diamine']
C0001187	['2,8-Diamino-10-methylacridinium chloride mixture with 2,8-diaminoacridine', '2,8-Diamino-10-Methylacridinium Chloride Mixture With 2,8-Diaminoacridine', '3,6-Diamino-10-methylacridinium chloride mixture with 3,6-acridinediamine', 'Acridinium, 3,6-diamino-10-methyl-, chloride, mixt. with 3,6-acridinediamine', 'Acriflavine (substance)', 'Acriflavine stain (substance)', 'Acriflavine stain', 'Acriflavine', 'acriflavine', 'acriflavine', 'ACRIFLAVINE', 'Acriflavine', 'acriflavine', 'Acriflavine', 'ACRIFLAVINE', 'Acriflavine', 'Acriflavine', 'Acriflavine-containing product', 'Choliflavin', 'Diacrid', 'euflavine', 'euflavine', 'Flavacridinum Hydrochloricum', 'Panflavin', 'Product containing acriflavine (medicinal product)', 'Trypaflavine FS', 'Vetaflavin', 'Xanthacridinum', 'Xanthacridinum', 'Zoriflavin']
C0001204	['2 Propenal', '2-Propenal', '2-Propenal', '2-propenal', 'Acraldehyde', 'Acraldehyde', 'Acrolein (substance)', 'Acrolein', 'acrolein', 'Acrolein', 'Acrolein', 'acryaldehyde', 'Acrylaldehyde', 'Acrylaldehyde', 'Acrylaldehyde', 'Acrylaldehyde', 'Acrylaldehyde', 'acrylic aldehyde', 'Acrylic Aldehyde', 'Acrylic aldehyde', 'Aldehyde, Acrylic', 'Aldehyde, Allyl', 'Aldehyde, Ethylene', 'Allyl Aldehyde', 'Ethylene Aldehyde']
C0001595	['19-Norcholest-5(10)-en-3-ol, 6-(iodomethyl)-, (3beta,6beta)-', '6 Iodomethylnorcholesterol', '6-Iodomethylnorcholesterol', 'Adosterol']
C0001730	['Affinity Labeling Reagents', 'Affinity labeling', 'Affinity Labels', 'Affinity Labels', 'Labeling Reagents, Affinity', 'Labels, Affinity', 'Reagents, Affinity Labeling']
C0001771	['agar (medication)', 'Agar (substance)', 'agar', 'agar', 'Agar', 'AGAR', 'Agar', 'Agar', 'Agar', 'agar', 'agar', 'Agar', 'agar', 'Agar', 'Agar', 'Agar, Unspecified', 'agars', 'laxatives agar']
C0001933	['8GS, Alcian Blue', '8GX, Alcian Blue', 'Alcian Blue 8GS', 'Alcian blue 8GX stain (substance)', 'Alcian blue 8GX stain', 'Alcian Blue 8GX', 'Alcian blue 8GX', 'Alcian blue stain', 'Alcian Blue', 'Alcian Blue', 'Alcian Blue', 'ALCIAN BLUE', 'Alcian blue', 'Blue 8GS, Alcian', 'Blue 8GX, Alcian', 'Blue, Alcian']
C0002244	['alpha Aminotoluene', 'alpha-Aminotoluene']
C0002308	['Alpha Peroxidase', 'Alpha-Peroxidase']
C0002406	['1-(4-sulfo-1-naphthylazo)-2-naphthol-3,6-disulfonic Acid Trisodium Salt', '2,7-Naphthalenedisulfonic acid, 3-hydroxy-4-((4-sulfo-1-naphthalenyl)azo)-, trisodium salt', '3-hydroxy-4-(2-(4-sulfo-1-naphthalenyl)diazenyl)-2,7-naphthalenedisulfonic Acid Sodium Salt (1:3)', 'Acid Red 27', 'Acid Red 27', 'Acid red 27', 'Amaranth (substance)', 'amaranth dye', 'Amaranth Dye', 'amaranth dye', 'Amaranth Dye', 'amaranth dye', 'Amaranth', 'amaranth', 'Amaranth', 'amaranth', 'AMARANTH', 'Amaranth', 'AMARANTH', 'Amaranths', 'amaranths', 'AR27 Compound', 'Azorubin S stain (substance)', 'Azorubin S stain', 'Azorubin S', 'Azorubin S', 'C.I. 16185', 'C.I. Acid Red 27', 'C.I. Food Red 9', 'C.I. Food Red 9', 'Compound, AR27', 'FD and C red 2', 'Food Drug and Cosmetic red dye number 2', 'Naphthol red S', 'Naphthylamine red', 'Red No. 2', 'Trisodium 3-hydroxy-4-((e)-(4-sulfonato-1-naphthyl)diazenyl)naphthalene-2,7-disulfonate']
C0002485	['2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-3-((4-nitrophenyl)azo)-6-(phenylazo)-, disodium salt', 'Amido Black', 'Black, Amido']
C0002496	['Amidotrizoic acid (anhydrous)', 'Amidotrizoic acid (substance)', 'Amidotrizoic Acid', 'Amidotrizoic acid', 'Amidotrizoic Acid', 'Amidotrizoic acid-containing product', 'Product containing amidotrizoic acid (medicinal product)']
C0002503	['9 Aminoacridine', '9-Acridinamine', '9-Aminoacridine', '9-Aminoacridine', 'Acridinamine', 'aminacrine', 'aminacrine', 'aminacrine', 'AMINACRINE', 'Aminacrine', 'aminacrine', 'aminacrine', 'Aminacrine', 'AMINACRINE', 'Aminacrine', 'Aminacrine-containing product', 'Aminoacridine (substance)', 'Aminoacridine', 'aminoacridine', 'aminoacridine', 'Aminoacridine', 'Aminoacridine', 'Aminoacridine-containing product', 'aminoacridines', 'Aminoacrine', 'Product containing aminoacridine (medicinal product)']
C0002558	['Acids, Aminohippuric', 'Aminohippuric Acids', 'Aminohippuric Acids']
C0002560	['1H-Imidazole-4-carboxamide, 5-amino-', '5-Aminoimidazol-4-carboxamide', '5-Aminoimidazole-4-carboxamide', '5-Aminoimidazole-4-carboxamide', '5-Aminoimidazole-4-carboxamide', '5-Aminoimidazole-4-carboxamide', 'AIC', 'AICA', 'Aminoimidazole carboxamide', 'Aminoimidazole Carboxamide', 'Aminoimidazole Carboxamide', 'Carboxamide, Aminoimidazole']
C0002578	['3-Aminopropanenitrile', '3-AMINOPROPANENITRILE', '3-Aminopropionitrile', 'Aminopropionitrile', 'BAPN', 'beta Aminopropionitrile', 'beta aminopropionitrile', 'Beta-Aminopropionitrile', 'beta-Aminopropionitrile', 'Beta-aminopropionitrile', 'Propanenitrile, 3-amino-']
C0002593	['Aminotoluene', 'Aminotoluene', 'Toluidine (substance)', 'Toluidine']
C0002613	['Aluminon', 'Ammonium Aurintricarboxylate', 'Aurintricarboxylic Acid, Triammonium Salt']
C0002620	['Ammonium sulfate (substance)', 'Ammonium Sulfate', 'ammonium sulfate', 'ammonium sulfate', 'Ammonium Sulfate', 'Ammonium Sulfate', 'Ammonium Sulfate', 'ammonium sulfate', 'ammonium sulfate', 'Ammonium sulfate', 'Ammonium Sulfate', 'AMMONIUM SULFATE', 'Ammonium sulfate', 'ammonium sulfate', 'Ammonium sulphate', 'Sulfate, Ammonium', 'Sulfuric acid diammonium salt']
C0002676	['Agent, Isoelectric Focusing', 'Agents, Isoelectric Focusing', 'Ampholines', 'Ampholyte Mixture', 'Ampholyte Mixtures', 'Ampholyte, Carrier', 'Ampholytes, Carrier', 'Carrier Ampholyte', 'Carrier Ampholytes', 'Focusing Agent, Isoelectric', 'Focusing Agents, Isoelectric', 'Isoelectric Focusing Agent', 'Isoelectric Focusing Agents', 'Mixture, Ampholyte', 'Mixtures, Ampholyte']
C0002677	['Ampholyte', 'ampholyte', 'Ampholytes', 'ampholytes']
C0002696	['3H-Pyrazol-3-one, 4-amino-1,2-dihydro-1,5-dimethyl-2-phenyl-', '4 Amino 1,5 Dimethyl 2 Phenyl 3H Pyrazolone', '4 Aminoantipyrine', '4 Aminophenazone', '4-Amino-1,5-Dimethyl-2-Phenyl-3H-Pyrazolone', '4-Aminoantipyrine', '4-aminoantipyrine', '4-Aminophenazone', 'Aminoantipyrine', 'Ampyrone', 'ampyrone']
C0002710	['amyl alcohol', 'Pentanol (substance)', 'Pentanol', 'pentanol', 'Pentanol']
C0003162	['Anthracene (substance)', 'anthracene', 'anthracene', 'anthracene', 'Anthracene', 'Anthracene', 'ANTHRACENE', 'Anthracene', 'ANTHRACENE', 'Anthracin', 'Green Oil', 'Paranaphthalene', 'Tetra Olive N2G']
C0003817	['2,7-Naphthalenedisulfonic acid, 3,6-bis((2-arsonophenyl)azo)-4,5-dihydroxy-', 'Arsenazo III']
C0004334	['Acid, Aurin Tricarboxylic', 'Acid, Aurintricarboxylic', 'Aurin Tricarboxylic Acid', 'Aurintricarboxylic Acid', 'Benzoic acid, 5-((3-carboxy-4-hydroxyphenyl)(3-carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methyl)-2-hydroxy-']
C0004338	['Aurovertin', 'Aurovertins']
C0004524	['Azure Stains', 'Stains, Azure']
C0004754	['Bario sulfato', 'Barium sulfate (substance)', 'Barium Sulfate', 'barium sulfate', 'Barium sulfate', 'Barium Sulfate', 'barium sulfate', 'barium sulfate', 'barium sulfate', 'Barium Sulfate', 'BARIUM SULFATE', 'Barium Sulfate', 'barium sulfate', 'barium sulfate', 'Barium sulfate', 'Barium Sulfate', 'BARIUM SULFATE', 'barium sulfate', 'Barium sulfate', 'BARIUM SULFATE', 'Barium sulfate-containing product', 'barium sulphate', 'Barium sulphate', 'Product containing barium sulfate (medicinal product)', 'Sulfate, Barium', 'Sulfuric acid, barium salt (1:1)']
C0005023	['Benzaldehyde (substance)', 'Benzaldehyde', 'Benzaldehyde', 'benzaldehyde', 'benzaldehyde', 'Benzaldehyde', 'BENZALDEHYDE', 'Benzaldehyde', 'Benzaldehyde', 'Benzaldehyde', 'benzaldehyde', 'benzaldehyde', 'Benzaldehyde', 'Benzaldehyde', 'Benzaldehyde', 'BENZALDEHYDE', 'benzaldehyde', 'Benzaldehyde', 'benzaldehyde', 'BENZALDEHYDE', 'Benzaldehyde-containing product', 'Benzanoaldehyde', 'Benzene Carbaldehyde', 'Benzene Carboxaldehyde', 'Benzenecarbonal', 'Benzenecarboxaldehyde', 'Benzenemethylal', 'Benzoic Acid Aldehyde', 'Benzoic Aldehyde', 'Benzylaldehyde', 'Product containing benzaldehyde (medicinal product)']
C0005076	["Benzenamine, 4,4'-carbonimidoylbis(N,N-dimethyl)-, monohydrochloride", 'Benzophenoneidum']
C0005091	['BAPNA', 'Benzamide, N-(4-((aminoiminomethyl)amino)-1-(((4-nitrophenyl)amino)carbonyl)butyl)-, (+-)-', 'Benzoylarginine Nitroanilide', 'N Benzoylarginine 4 nitroanilide', 'N Benzoylarginyl 4 nitroanilide', 'N-Benzoylarginine-4-nitroanilide', 'N-Benzoylarginyl-4-nitroanilide', 'Nitroanilide, Benzoylarginine']
C0005092	['2 Naphthylamide, Benzoylarginine', 'Benzamide, N-(4-((aminoiminomethyl)amino)-1-((2-naphthalenylamino)carbonyl)butyl)-, (+-)-', 'Benzoylarginine 2 Naphthylamide', 'Benzoylarginine beta Naphthylamide', 'Benzoylarginine beta-Naphthylamide', 'Benzoylarginine-2-Naphthylamide', 'beta-Naphthylamide, Benzoylarginine', 'Naphthylamide, Benzoylarginine 2']
C0005104	["4,4'-Bipyridinium, 1,1'-bis(phenylmethyl)-", 'Benzyl Viologen', 'Viologen, Benzyl']
C0005429	['Bilignost']
C0005430	['Biligrafine']
C0005432	['Bilimin']
C0005436	['Bilipolinum']
C0005449	['Biloptin']
C0005667	['Allophanamide', 'Biuret', 'biuret', 'Carbamylurea', 'Imidodicarbonic diamide']
C0006032	['Acid, Boronic', 'Acids, Boronic', 'Boronic Acid', 'boronic acid', 'Boronic Acids']
C0006215	['Bromcresol Green', 'Bromocresol Green', 'Green, Bromcresol', 'Green, Bromocresol', "Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis(2,6-dibromo-3-methyl)-, S,S-dioxide", 'Tetrabromocresolsulfonphthalein']
C0006216	['Bromcresol Purple', 'Bromocresol Purple', "Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis(2-bromo-6-methyl)-, S,S-dioxide", 'Purple, Bromcresol', 'Purple, Bromocresol']
C0006239	['2,5-Pyrrolidinedione, bromo-', 'Bromosuccinimide', 'Bromosuccinimide', 'N Bromosuccinimide', 'N-Bromosuccinimide', 'Succinbromimide']
C0006247	['Blue, Bromophenol', 'Blue, Bromphenol', 'Blue, Tetrabromophenol', 'Bromophenol Blue', 'Bromphenol Blue', "Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis(2,6-dibromo)-, S,S-dioxide", 'Tetrabromophenol Blue']
C0006251	["4,4'-(3H-2,1-Benzoxathiol-3-ylidene)bis(2-bromo-3-methyl-6-(1-met-hylethyl)phenol) S,S-dioxide", 'Blue, Bromothymol', 'Blue, Bromthymol', 'Bromothymol Blue', 'Bromothymol Blue', 'Bromthymol Blue', 'Bromthymol Blue', 'BROMTHYMOL BLUE', 'Dibromothymolsulfonphthalein', 'Dibromothymolsulfophthalein', "Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis(2-bromo-3-methyl-6-(1-methylethyl))-, S,S-dioxide"]
C0006312	['10,11-dimethoxystrychnine', '10,11-Dimethoxystrychnine', 'Brucine (substance)', 'brucine', 'BRUCINE', 'brucine', 'Brucine', 'BRUCINE', 'Brucine', 'Brucinum / brucine', 'bruzin', 'dimethoxystrychnine', 'Strychnidin-10-One, 2,3-Dimethoxy-', 'Strychnidin-10-one, 2,3-dimethoxy-']
C0006353	['Buffer', 'buffer', 'Buffer', 'buffer', 'Buffered', 'Buffered', 'Buffering agent', 'buffers (medication)', 'Buffers', 'buffers', 'buffers', 'Buffers', 'buffers', 'buffers', 'chemical buffer']
C0006528	['(2-Mercaptoethyl)Trimethylammonium Butyrate', 'Butyrylthiocholine', 'Ethanaminium, N,N,N-trimethyl-2-((1-oxobutyl)thio)-']
C0006617	['Pentacin', 'Pentacine', 'Pentacine']
C0006692	['C10H12CaN2Na2O8', 'Calcium disodium edathamil', 'Calcium Disodium Edetate', 'calcium disodium edetate', 'Calcium disodium edetate', 'Calcium disodium edetate', 'Calcium Disodium Ethylenediaminetetraacetate', 'Calcium disodium ethylenediaminetetraacetate', 'Calcium edetate', 'calcium edta', 'Calcium EDTA', 'Calcium EDTA', 'Disodium calcium ethylenediaminetetraacetate', 'edetate calcium disodium (medication)', 'Edetate Calcium Disodium', 'Edetate Calcium Disodium', 'edetate calcium disodium', 'Edetate Calcium Disodium', 'edetate calcium disodium', 'edetate calcium disodium', 'Edetate Calcium Disodium', 'EDETATE CALCIUM DISODIUM', 'edetate calcium disodium', 'edetate calcium disodium', 'edetate calcium disodium', 'Edetate Calcium Disodium', 'EDETATE CALCIUM DISODIUM', 'edetate calcium disodium', 'Edetate calcium disodium', 'edetate calcium disodium', 'edetate calcium disodium', 'Edetate Disodium Calcium', 'Edetate, Calcium Disodium', 'edta calcium', 'EDTA Calcium', 'EDTA calcium', 'Sodium calcium edetate (substance)', 'sodium calcium edetate', 'Sodium calcium edetate']
C0006703	['Calcium iopodate (substance)', 'Calcium Iopodate', 'calcium iopodate', 'Calcium iopodate', 'calcium iopodate', 'Calcium Ipodate', 'calcium ipodate', 'calcium ipodate', 'Iopodate, Calcium', 'ipodate calcium (medication)', 'ipodate calcium', 'ipodate calcium', 'IPODATE CALCIUM', 'ipodate calcium', 'Ipodate Calcium', 'IPODATE CALCIUM', 'Ipodate, Calcium']
C0006714	['Calcium Phytate', 'Phytate, Calcium']
C0006926	['2H-Azepin-2-one, hexahydro-', 'Aminocaproic Lactam', 'Caprolactam (substance)', 'Caprolactam', 'Caprolactam', 'Caprolactam', 'Caprolactam', 'Caprolactam', 'Caprolactam', 'Hexahydro 2H Azepin 2 One', 'Hexahydro-2H-Azepin-2-One', 'Lactam, Aminocaproic']
C0006991	['Carbocyanine', 'Carbocyanines']
C0007010	['Amorphous carbon', 'black carbon', 'Black, Carbon', 'C.I. Pigment Black 6', 'C.I. Pigment Black 7', 'Carbon black (substance)', 'Carbon Black', 'carbon black', 'Carbon Black', 'carbon black', 'carbon black', 'Carbon black', 'Carbon Black', 'D&C Black No. 2', 'D&C BLACK NO. 2', 'D&C BLACK NO. 2', 'D&C black no. 2', 'Pigment Black 6', 'Pigment Black 7']
C0007250	['2-Anthracenecarboxylic acid, 7-beta-D-glucopyranosyl-9,10-dihydro-3,5,6,8-tetrahydroxy-1-methyl-9,10-dioxo-', '7-Glucopyranosyl-3,5,6,8-tetrahydroxyl-1-methyl-9,10-dioxoanthracene-2-carboxylic Acid', 'Carmine stain (substance)', 'Carmine stain', 'Carmine', 'carmine', 'Carmine', 'Carmine', 'Carmine', 'carmine', 'CARMINE', 'Carmine', 'Cochineal Dye', 'Dye, Cochineal', 'Natural Red 4']
C0007512	['cDNA Probes', 'Probes, cDNA']
C0007631	['Celloidin', 'CELLOIDIN']
C0007888	['Cesium isotope (substance)', 'Cesium isotope', 'Cesium Isotopes', 'Cesium--Isotopes', 'Isotopes, Cesium']
C0007974	['agent chelates', 'Agent, Chelating', 'agents chelating', 'Agents, Chelating', 'chelate agent', 'Chelates', 'Chelating Agent', 'chelating agent', 'chelating agent', 'Chelating Agent', 'Chelating agent', 'chelating agent', 'Chelating agent', 'Chelating agent-containing product', 'chelating agents (medication)', 'Chelating Agents', 'Chelating Agents', 'chelating agents', 'chelating agents', 'Chelator', 'chelator', 'Chelators', 'chelators', 'Chelators', 'Complexons', 'Metal Chelant', 'Metal Chelating Agent', 'Metal Chelator', 'Product containing chelating agent (product)', 'Substance with chelating agent mechanism of action (substance)', 'Substance with chelating agent mechanism of action']
C0008238	['1,1,1-trichloromethane', 'CHCl3', 'Chloroform (substance)', 'Chloroform', 'chloroform', 'Chloroform', 'Chloroform', 'chloroform', 'chloroform', 'CHLOROFORM', 'Chloroform', 'Chloroform', 'Chloroform', 'Chloroform', 'chloroform', 'chloroform', 'chloroform', 'Chloroform', 'Chloroform', 'CHLOROFORM', 'Chloroform', 'Chloroform', 'CHLOROFORM', 'Chloroform-containing product', 'Chloroforme', 'chloroformium pro narcosi', 'Methane, trichloro-', 'Product containing chloroform (medicinal product)', 'Trichlormethan', 'Trichloromethane', 'Trichloromethane', 'trichlorométhane', 'Trichloromethane', 'trichloromethane', 'Trichloromethane']
C0008247	['Chloromercuribenzoates']
C0008248	['Chloromercurinitrophenols']
C0008577	['Chromium EDTA', 'Edetic Acid, Chromium Salt', 'EDTA, Chromium']
C0008583	['Chromogenic Compound', 'Chromogenic Compounds', 'Chromogenic compounds', 'Compound, Chromogenic', 'Compounds, Chromogenic']
C0008584	['Chromogenic Substrate', 'Chromogenic Substrates', 'Substrate, Chromogenic', 'Substrates, Chromogenic']
C0008589	['Chromomycin Antineoplastic Antibiotic', 'Chromomycins', 'Chromomycins']
C0008599	['Chromosomal Probes', 'Probes, Chromosomal']
C0008762	['Cialit', 'Mercurate(1-), (2,3-dihydro-2-thioxo-5-benzoxazolecarboxylato(2-)-S)ethyl-, sodium']
C0008996	['2-Phenazinamine, 3,5-dihydro-N,5-bis(4-chlorophenyl)-3-((1-methylethyl)imino)-', '2-Phenazinamine, N,5-bis(4-chlorophenyl)-3,5-dihydro-3-((1-methylethyl)imino)-', '3-(p-Chloranilino)-10-(p-chlorophenyl)-2,10-dihydro-2-(isopropylimino)-phenazine', 'Clofazimin', 'Clofazimina', 'clofazimine (medication)', 'Clofazimine (substance)', 'Clofazimine', 'clofazimine', 'clofazimine', 'Clofazimine', 'Clofazimine', 'clofazimine', 'clofazimine', 'clofazimine', 'Clofazimine', 'CLOFAZIMINE', 'Clofazimine', 'Clofazimine', 'Clofazimine', 'clofazimine', 'clofazimine', 'clofazimine', 'Clofazimine', 'CLOFAZIMINE', 'Clofazimine', 'Clofazimine-containing product', 'Clofaziminum', 'N,5-Bis(4-chlorophenyl)-3,5-dihydro-3-((1-methylethyl)imino)-2-phenazinamine', 'Product containing clofazimine (medicinal product)', 'Riminophenazine']
C0009185	['Coccidioidin (substance)', 'coccidioidin', 'coccidioidin', 'Coccidioidin', 'coccidioidin', 'Coccidioidin', 'Coccidioidin-containing product', 'Product containing coccidioidin (medicinal product)']
C0009742	["1-Naphthalenesulfonic acid, 3,3'-((1,1'-biphenyl)-4,4'-diylbis(azo))bis(4-amino)-, disodium salt", 'Congo red stain (substance)', 'Congo red stain', 'congo red stain', 'congo red staining', 'congo red', 'Congo Red', 'Congo Red', 'congo red', 'Congo red', 'Congo Red', 'CONGO RED', 'CONGO RED', 'Congo red', 'Direct red 28', 'Red, Congo']
C0009801	['Conserved Gene Probes', 'Gene Probes, Conserved', 'Probes, Conserved Gene']
C0009924	['Agent, Contrast', 'Agents, Contrast', 'contrast agent (procedure)', 'Contrast Agent', 'Contrast Agent', 'contrast agent', 'Contrast Agent', 'Contrast Agent', 'contrast agent', 'Contrast Agents', 'Contrast Agents', 'contrast agents', 'contrast agents', 'Contrast Agents', 'Contrast Drugs', 'Contrast Material', 'contrast material', 'Contrast Materials', 'Contrast media (product)', 'Contrast media (substance)', 'Contrast media', 'Contrast Media', 'Contrast Media', 'CONTRAST MEDIA', 'contrast media', 'contrast media', 'Contrast media', 'Contrast Media', 'Contrast Medium', 'Contrast', 'Contrast', 'Material, Contrast', 'Materials, Contrast', 'Media, Contrast', 'radiographic contrast material', 'radiographic contrast media']
C0009979	['copper EDTA', 'Copper EDTA', 'copper EDTA', 'EDTA, Copper']
