C0002085	['等位基因', '等位基因', 'Allelomorph', '等位形']
C0079424	['基因，Rb', '视网膜母细胞瘤基因', '基因，Rb', '基因，视网膜母细胞瘤', 'Rb基因', 'Rb基因', '视网膜母细胞瘤基因', '视网膜母细胞瘤基因']
C0079425	['吉恩，雷克斯', '基因，雷克斯', 'rex基因', '雷克斯基因']
C0079427	['抑癌基因', '抑癌基因', '抑癌基因', '抑癌基因', '抑癌基因', '抑癌基因', '抑癌基因', '祖母质', '祖生菌', '基因，抑癌基因', '肿瘤抑制基因', '基因，肿瘤抑制', '基因，肿瘤抑制因子', '基因，癌症抑制剂', '肿瘤抑制基因', '肿瘤抑制基因', '基因，肿瘤抑制', '基因，肿瘤抑制因子', '抑癌基因', '抑癌基因', '癌基因，隐性', '癌基因，隐性', '隐性癌基因', '隐性癌基因', '抑癌基因', '抑癌基因', '肿瘤抑制基因', '肿瘤抑制基因', '抑癌基因', '肿瘤抑制基因']
C0079428	['吉恩，税', '基因税', '税收基因', '税收基因']
C0079429	['基因', 'A基因', '吉恩，一个', '基因，Q', '吉恩，索尔', '基因，vif', '基因', '基因，Q', '基因，sor', '基因', 'Q基因', 'Q基因', 'sor基因', 'sor基因', 'vif基因', 'vif基因']
C0079431	['基因，vpu', '基因', 'vpu基因', 'vpu基因']
C0079433	['基因，肾母细胞瘤', '基因，威尔斯瘤', '基因，威尔姆', '基因，威尔姆的', '基因，肾母细胞瘤', '基因，威尔斯', '基因，威尔斯瘤', '威尔斯的基因', '肿瘤基因', '肿瘤基因', '肿瘤基因', '肿瘤基因', '威尔斯基因', '肾母细胞瘤基因', '肾母细胞瘤基因', '威尔斯基因', '威尔姆斯肿瘤基因', '威尔斯肿瘤基因']
C0079471	[]
C0079472	['吉恩，哈哈', '基因，哈哈', 'Ha-ras基因', 'Ha-ras基因', 'Ha-ras基因']
C0079473	['Ha-ras癌基因', 'Ha-ras癌基因', 'Ha-ras癌基因']
C0079525	['元素，HIV rev响应', '元素，HIV rev响应', 'HIV反应元件', 'HIV反应元件', 'HIV反应元件', 'HIV反应元件', '艾滋病毒']
C0079556	['基因，HTLV-I rex', '基因，HTLV-I rex', 'HTLV I rex基因', 'HTLV-I rex基因', 'HTLV-I rex基因', 'rex基因，HTLV-I', 'rex基因，HTLV-I']
C0079559	['基因，HTLV-I税', '基因，HTLV-I税', 'HTLV I税基因', 'HTLV-I税基因', 'HTLV-I税基因', 'tax基因，HTLV-I', '税务基因']
C0079563	['基因，HTLV-II rex', '基因，HTLV-II rex', 'HTLV II rex基因', 'HTLV-II rex基因', 'HTLV-II rex基因', 'rex基因，HTLV-II', 'rex基因，HTLV-II']
C0079566	['基因，HTLV-II税', '基因，HTLV-II税', 'HTLV II税基因', 'HTLV-II tax基因', 'HTLV-II税基因', 'tax基因，HTLV-II', '税务基因，HTLV-II']
C0079656	['吉恩，基拉斯', '基因，基拉斯', 'Ki-ras基因', 'Ki-ras基因', 'Ki-ras基因']
C0079657	['Ki-ras癌基因', 'Ki-ras癌基因', 'Ki-ras癌基因']
C0079664	['基因，L-myc', '基因，L-myc', 'L-myc基因', 'L-myc基因', 'L-myc基因']
C0079666	['L myc原癌基因', 'L-myc原癌基因', 'L-myc原癌基因', '原癌基因', '原癌基因']
C0079884	['N-myc基因', '基因，N-myc', 'N-myc基因', 'N-myc基因', 'N-myc基因']
C0079886	['N-myc原癌基因', 'N-myc原癌基因', 'N-myc原癌基因', '原癌基因', '原癌基因']
C0079941	['编码区，蛋白质', '编码区，蛋白质', '框架，开放阅读', '框架，开放阅读', '开放式阅读框', '打开阅读框', 'ORF', '蛋白质编码区', '蛋白质编码区', '阅读框，打开', '阅读框，打开', '区域，蛋白质编码', '区域，蛋白质编码']
C0080117	['元件，转速响应', '元素，快速响应', '转速响应元件', '转速响应元件', '转速响应元件']
C0080279	['abl癌基因', 'abl癌基因', '基因，v-abl', '基因，v-abl', '癌基因', '癌基因', '癌基因', '癌基因', 'v-abl基因', 'v-abl癌基因', 'v-abl基因', 'v-abl基因', 'v-abl癌基因', 'v-abl癌基因']
C0080282	['基因，v-fms', '基因，v-fms', '癌基因', '癌基因', 'v-fms基因', 'v-fms癌基因', 'v-fms基因', 'v-fms基因', 'v-fms癌基因', 'v-fms癌基因']
C0080285	['v H ras基因', 'v-H-ras基因', 'v-H-ras基因']
C0080286	['v H ras癌基因', 'v-H-ras癌基因', 'v-H-ras癌基因']
C0080287	['基因，v-Ha-ras', '基因，v-Ha-ras', 'v-Ha-ras基因', 'v-Ha-ras基因', 'v-Ha-ras基因']
C0080288	['v-Ha-ras癌基因', 'v-Ha-ras癌基因', 'v-Ha-ras癌基因']
C0080289	['VK-ras基因', 'v-K-ras基因', 'v-K-ras基因']
C0080290	['v K ras癌基因', 'v-K-ras癌基因', 'v-K-ras癌基因']
C0080291	['基因，v-Ki-ras', '基因，v-Ki-ras', 'v Ki-ras基因', 'v-Ki-ras基因', 'v-Ki-ras基因']
C0080292	['v Ki-ras癌基因', 'v-Ki-ras癌基因', 'v-Ki-ras癌基因']
C0080293	['基因，v-mos', '基因，v-mos', 'v mos基因', 'v-mos基因', 'v-mos基因']
C0080294	['癌基因', '癌基因', 'v-mos癌基因', 'v-mos癌基因', 'v-mos癌基因']
C0080295	['基因，v-myc', '基因，v-myc', 'v-myc基因', 'v-myc基因', 'v-myc基因']
C0080296	['癌基因', '癌基因', 'v myc癌基因', 'v-myc癌基因', 'v-myc癌基因']
C0080298	[]
C0085113	['基因，nf 1', '基因，nf1', '基因，神经纤维瘤病1', '基因，nf 1', '基因，nf1', '神经纤维瘤病1基因', '神经纤维瘤病1基因', 'nf 1基因', 'nf 1基因', 'nf1基因', 'nf1基因']
C0085114	['基因，神经纤维瘤病2', '基因，nf 2', '基因，nf2', '基因，神经纤维瘤病2', '基因，nf 2', '基因，nf2', '神经纤维瘤病2基因', '神经纤维瘤病2基因', 'nf 2基因', 'nf 2基因', 'nf2基因', 'nf2基因']
C0085218	['基因，RAG-1', '基因，RAG 1', '基因，RAG-1', 'RAG 1基因', 'RAG-1基因', 'RAG-1基因', '重组激活基因1', '重组激活基因1', '重组激活基因-1', '重组激活基因-1']
C0085238	['细菌基因组', '细菌基因组', '细菌基因组', '细菌基因组']
C0085239	['真菌基因组', '真菌基因组', '真菌基因组', '真菌基因组']
C0085286	['位置，Mls', '洛斯，M', '麻省理工学院', '淋巴细胞刺激位点', 'M轨迹', '次要淋巴细胞刺激位点', 'Mls位点', 'Mls位点']
C0085299	['吉恩斯，小君', '君基因', 'jun基因']
C0085303	['fos基因', 'fos基因', '基因']
C0085940	['c-fos基因', 'c-fos原癌基因', 'c-fos基因', 'c-fos基因', 'c-fos原癌基因', 'c-fos原癌基因']
C0085943	['c-jun原癌基因', 'c-jun原癌基因', 'c-jun原癌基因']
C0086344	[]
C0086661	['myc癌基因', 'myc癌基因', '癌基因', '癌基因']
C0087140	['v-fos基因', 'v-fos癌基因', 'v-fos基因', 'v-fos基因', 'v-fos癌基因', 'v-fos癌基因']
C0087142	['v君基因', 'v-jun基因', 'v-jun基因']
C0087143	['v-jun癌基因', 'v-jun癌基因', 'v-jun癌基因']
C0144382	[]
C0162508	['jun癌基因', 'jun癌基因', '癌基因，jun', '癌基因，jun']
C0162572	['原生动物基因', '基因，原生动物', '原生动物基因', '原生动物基因']
C0162667	['基因，蠕虫', '基因，蠕虫', '蠕虫基因', '蠕虫基因']
C0162728	['基因，植物', '基因，植物', '植物基因', '植物基因']
C0162729	['基因，昆虫', '基因，昆虫', '昆虫基因', '昆虫基因']
C0162804	['基因，MCC', '基因，MCC', 'MCC基因', 'MCC基因']
C0162832	['APC基因', 'APC基因', '基因，APC', '基因，腺瘤性大肠息肉病', '基因']
C0178657	['吉恩，重申', '基因，重申', '重复基因', '重复基因']
C0178868	[]
C0206256	['早期基因，立即', '早期基因，即时', '吉恩，马上就来', '吉恩，马上就来', '基因，即刻早期', '基因，即刻早期', '即刻早期基因', '即刻早期基因', '即刻早期基因', '即刻早期基因']
C0206414	['吉恩，记者', '基因，记者', '报告基因', '报告基因']
C0206522	['正规军', '正规军']
C0221127	[]
C0242303	['同源盒序列', '同源盒序列', '顺势盒', '同源盒', '同源盒序列', '同源盒序列', '同源盒', '同源框', '序列，同源框', '同源框序列', '序列，同源框', '序列，同源框']
C0242711	['原生动物基因组', '原生动物基因组', '原生动物基因组', '原生动物基因组']
C0242957	['c erbB 2基因', 'c erbB 2原癌基因', 'c-erbB-2基因', 'c-erbB-2基因', 'c-erbB-2原癌基因', 'c-erbB-2原癌基因', 'erbB 2基因', 'erbB-2基因', 'erbB-2基因', 'erbb2基因', 'erbb2基因', '基因，erbb2', '基因，她2', '基因，erbB-2', '基因，erbb2', '基因，HER-2', '基因，HER2', '基因，neu', 'HER-2基因', 'HER-2基因', 'HER2基因', 'HER2基因', 'neu基因', 'neu基因']
C0242965	['基因组，植物', '基因组，植物', '植物基因组', '植物基因组']
C0242982	['c erbB 1基因', 'c erbB 1原癌基因', 'c-erbB-1基因', 'c-erbB-1基因', 'c-erbB-1原癌基因', 'c-erbB-1原癌基因', 'EGFR基因', 'EGFR基因', '表皮生长因子受体基因', '基因，EGFR']
C0242983	['v-erbB基因', 'v erbB癌基因', 'v-erbB基因', 'v-erbB基因', 'v-erbB癌基因', 'v-erbB癌基因']
C0242984	['erbB 1基因', 'erbB-1基因', 'erbB-1基因', 'erbB1基因', 'erbB1基因', 'erbB1基因', '基因，erbB-1', '基因，erbB1']
C0242987	['阿尔法基因', 'α基因', '阿尔法基因', 'α基因', 'erbAα基因', 'erbAα基因', 'erbAα基因', 'erbAα基因', 'Gene，THRA', '基因，erbAα', '基因，erbAα', '基因，THRA', '基因', '基因', 'THRA基因', 'THRA基因', 'TRα基因', 'TRα基因', 'TRα基因', 'TRα基因']
C0242988	['β基因', 'β基因', 'β基因', 'β基因', 'erbAβ基因', 'erbAβ基因', 'erbAβ基因', 'erbAβ基因', '基因，THRB', '基因，erbAβ', '基因，erbAβ', '基因', '基因', '基因', 'THRB基因', 'THRB基因', 'TRβ基因', 'TRβ基因', 'TRβ基因', 'TRβ基因']
C0242989	['c erbA基因', 'c erbA原癌基因', 'c-erbA基因', 'c-erbA基因', 'c-erbA原癌基因', 'c-erbA原癌基因']
C0242990	['v erbA基因', 'v erbA癌基因', 'v-erbA基因', 'v-erbA基因', 'v-erbA癌基因', 'v-erbA癌基因']
C0242991	['erbA基因', 'erbA基因', '基因，erbA']
C0243035	['erbB 3基因', 'erbB-3基因', 'erbB-3基因']
C0243036	['erbB基因', 'erbB基因', '基因']
C0243037	['cdc基因', 'cdc基因', '细胞周期基因', '细胞周期基因', '细胞分裂周期基因', '基因疾病控制中心', '基因，细胞分裂周期']
C0249197	[]
C0282641	['转基因', '转基因']
C0301973	[]
C0302291	[]
C0312655	[]
C0312656	[]
C0312657	[]
C0312658	[]
C0312700	[]
C0314604	[]
C0314605	[]
C0314606	[]
C0314607	[]
C0314608	[]
C0314609	[]
C0314610	[]
C0314612	[]
C0314614	[]
C0314617	[]
C0314619	[]
C0314620	[]
C0314621	[]
C0314622	[]
C0314681	[]
C0376514	['bcl-2基因', 'c bcl-2原癌基因', 'c-bcl-2基因', 'c-bcl-2基因', 'c-bcl-2原癌基因', 'c-bcl-2原癌基因', '基因，c-bcl-2', '基因，c-bcl-2', '原癌基因c-bcl-2', '原癌基因c-bcl-2']
C0376515	['bcl-2基因', 'bcl-2基因', 'bcl-2基因', 'bcl-2基因', '基因，bcl-2', '基因，bcl-2']
C0376571	['BRCA1基因', 'BRCA1基因', '基因，BRCA1', '基因，BRCA1']
C0376622	[]
C0376623	['基因，MDR', '基因，多药耐药性', '基因，MDR', '基因，多药耐药性', '耐多药基因', '耐多药基因', '多药外排泵基因', '多药耐药基因', '多药耐药基因', '多药耐药基因', '多药耐药基因']
C0380093	[]
C0440471	['遗传物质', '遗传物质', '遗传物质', '材料，基因']
C0440472	[]
C0440473	[]
C0440474	[]
C0440475	[]
C0440476	[]
C0440477	[]
C0440479	[]
C0440480	[]
C0440481	[]
C0440482	[]
C0440483	[]
C0440484	[]
C0440485	[]
C0440486	[]
C0440487	[]
C0440488	[]
C0440489	[]
C0440490	[]
C0440491	[]
C0440492	[]
C0440493	[]
C0440494	[]
C0440495	[]
C0440496	[]
C0440497	[]
C0440498	[]
C0440499	[]
C0440500	[]
C0440501	[]
C0440502	[]
C0440503	[]
C0440504	[]
C0440505	[]
C0440506	[]
C0440507	[]
C0440508	[]
C0440509	[]
C0440510	[]
C0440511	[]
C0440512	[]
C0440513	[]
C0440514	[]
C0440516	[]
C0440517	[]
C0440518	[]
C0440519	[]
C0440520	[]
C0440521	[]
C0440522	[]
C0440523	[]
C0440524	[]
C0440525	[]
C0440526	[]
C0440527	[]
C0440528	[]
C0440529	[]
C0440530	[]
C0440531	[]
C0440532	[]
C0440533	[]
C0440534	[]
C0440535	[]
C0440536	[]
C0440537	[]
C0440538	[]
C0440539	[]
C0440540	[]
C0440541	[]
C0440542	[]
C0440543	[]
C0440544	[]
C0440545	[]
C0440546	[]
C0440547	[]
C0440548	[]
C0440549	[]
C0440550	[]
C0440551	[]
C0440552	[]
C0440553	[]
C0440554	[]
C0440555	[]
C0440556	[]
C0440557	[]
C0440558	[]
C0440559	[]
C0440560	[]
C0440561	[]
C0440563	[]
C0440565	[]
C0440566	[]
C0440567	[]
C0440568	[]
C0440569	[]
C0440570	[]
C0440571	[]
C0440572	[]
C0440573	[]
C0440574	[]
C0440575	[]
C0440576	[]
C0440577	[]
C0440578	[]
C0440579	[]
C0440580	[]
C0440581	[]
C0440582	[]
C0440583	[]
C0440584	[]
C0440585	[]
C0440587	[]
C0440588	[]
C0440589	[]
C0440590	[]
C0440591	[]
C0440592	[]
C0440593	[]
C0440594	[]
C0440595	[]
C0440596	[]
C0440597	[]
C0440598	[]
C0440599	[]
C0440600	[]
C0440601	[]
C0440602	[]
C0440603	[]
C0440604	[]
C0440605	[]
C0440606	[]
C0440607	[]
C0440608	[]
C0440609	[]
C0440610	[]
C0440611	[]
C0440612	[]
C0440613	[]
C0440614	[]
C0440615	[]
C0440616	[]
C0440617	[]
C0440618	[]
C0440619	[]
C0440620	[]
C0440621	[]
C0440622	[]
C0440623	[]
C0440624	[]
C0440625	[]
C0440626	[]
C0440627	[]
C0440628	[]
C0440629	[]
C0440630	[]
C0440631	[]
C0440632	[]
C0440633	[]
C0440634	[]
C0440635	[]
C0440636	[]
C0440637	[]
C0440638	[]
C0440639	[]
C0440640	[]
C0440641	[]
C0440642	[]
C0440643	[]
C0440645	[]
C0440646	[]
C0440647	[]
C0440648	[]
C0440649	[]
C0440650	[]
C0440651	[]
C0440652	[]
C0440653	[]
C0440654	[]
C0440655	[]
C0440656	[]
C0440657	[]
C0440658	[]
C0440659	[]
C0440660	[]
C0440661	[]
C0440662	[]
C0440663	[]
C0440664	[]
C0440665	[]
C0440666	[]
C0440667	[]
C0440668	[]
C0440669	[]
C0440670	[]
C0440671	[]
C0440672	[]
C0440673	[]
C0440674	[]
C0440675	[]
C0440676	[]
C0440677	[]
C0440678	[]
C0440679	[]
C0440680	[]
C0440681	[]
C0440682	[]
C0440683	[]
C0440684	[]
C0440685	[]
C0440686	[]
C0440687	[]
C0440688	[]
C0440689	[]
C0440690	[]
C0440691	[]
C0440692	[]
C0440693	[]
C0440694	[]
C0440695	[]
C0440696	[]
C0440697	[]
C0440698	[]
C0440699	[]
C0440700	[]
C0440701	[]
C0440702	[]
C0440703	[]
C0440704	[]
C0440705	[]
C0440706	[]
C0440707	[]
C0440708	[]
C0440709	[]
C0440710	[]
C0440711	[]
C0440712	[]
C0440713	[]
C0440714	[]
C0440715	[]
C0440716	[]
C0440717	[]
C0440718	[]
C0440719	[]
C0440720	[]
C0440721	[]
C0440722	[]
C0440723	[]
C0440724	[]
C0440725	[]
C0440726	[]
C0440727	[]
C0440728	[]
C0444051	[]
C0444052	[]
C0444060	[]
C0444905	[]
C0450238	[]
C0457459	[]
C0473780	[]
C0524628	['基恩，拉克', '基因', 'Lac基因', 'Lac基因']
C0524889	['基因，T细胞受体', '基因，TcR', '基因，T细胞受体', '基因，T细胞受体', '基因', 'T细胞受体基因', 'T细胞受体基因', 'T细胞受体基因', 'TcR基因', 'TcR基因']
C0524890	['基因，TcRα', '基因，T细胞受体α', '基因，T细胞受体α', '基因，TcRα', 'T细胞受体α链基因', 'T细胞受体α基因', 'T细胞受体α基因', 'T细胞受体α链基因', 'TcRα基因', 'TcRα基因']
C0524891	['基因，TcRβ', '基因，T细胞受体β', '基因，T细胞受体β', '基因，TcRβ', 'T细胞受体β链基因', 'T细胞受体β基因', 'T细胞受体β基因', 'T细胞受体β链基因', 'TcRβ基因', 'TcRβ基因']
C0524892	['基因，TcRγ', '基因，T细胞受体γ', '基因，T细胞受体γ', '基因，TcRγ', 'T细胞受体γ链基因', 'T细胞受体γ基因', 'T细胞受体γ基因', 'T细胞受体γ链基因', 'TcRγ基因', 'TcRγ基因']
C0524893	['基因，TcRδ', '基因，T细胞受体δ', '基因，T细胞受体δ', '基因，TcRδ', 'T细胞受体δ链基因', 'T细胞受体δ基因', 'T细胞受体δ基因', 'T细胞受体δ链基因', 'TcRδ基因', 'TcRδ基因']
C0524947	['古细菌基因', '古细菌基因', '基因，古细菌', '古细菌基因']
C0525035	['bcl-1基因', 'c bcl-1原癌基因', 'c-bcl-1基因', 'c-bcl-1基因', 'c-bcl-1原癌基因', 'c-bcl-1原癌基因', '基因，c-bcl-1', '基因，c-bcl-1', '原癌基因c-bcl-1', '原癌基因，c-bcl-1']
C0525036	['bcl-1基因', 'bcl-1基因', 'bcl-1基因', '细胞周期蛋白D1基因', '细胞周期蛋白D1基因', 'bcl-1基因', '细胞周期蛋白D1基因', '基因，PRAD1', '基因，bcl-1', '基因，bcl-1', '基因，细胞周期蛋白D1', '基因，PRAD1', 'PRAD1基因', 'PRAD1基因']
